	class	0.2_0	0.7_0	0.5_0	1_0	0.1_0	0.07_0	0.05_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	0.02_0	Pfam_desc	cor
PF04883	+	0.096	0.172	0.085	0.170	0.052	0.032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacteriophage HK97-gp10, putative tail-component	0.447
PF05065	+	0.185	0.000	0.093	0.163	0.193	0.166	0.139	0.000	0.000	0.000	0.000	0.000	0.000	Phage capsid family	0.441
PF13483	+	0.294	0.203	0.452	0.304	0.320	0.352	0.373	0.000	0.000	0.000	0.000	0.000	0.251	Beta-lactamase superfamily domain	0.418
PF06445	+	0.451	0.692	0.550	0.632	0.344	0.279	0.232	0.000	0.000	0.000	0.000	0.000	0.000	GyrI-like small molecule binding domain	0.371
PF12895	+	0.063	0.000	0.018	0.000	0.014	0.005	0.003	0.000	0.000	0.000	0.000	0.000	0.000	Anaphase-promoting complex, cyclosome, subunit 3	0.369
PF13353	+	0.000	0.011	0.000	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4Fe-4S single cluster domain	0.361
PF02274	+	0.248	0.282	0.377	0.419	0.232	0.208	0.182	0.000	0.000	0.000	0.000	0.000	0.000	Amidinotransferase	0.357
PF14635	+	0.590	0.684	0.713	0.694	0.355	0.234	0.167	0.000	0.000	0.000	0.000	0.000	0.000	Helix-hairpin-helix motif	0.352
PF03354	+	0.000	0.082	0.086	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage Terminase	0.346
PF02475	+	0.000	0.017	0.000	0.000	0.044	0.058	0.053	0.000	0.000	0.000	0.000	0.000	0.000	Met-10+ like-protein	0.343
PF02737	+	0.044	0.024	0.041	0.015	0.022	0.035	0.060	0.000	0.000	0.000	0.000	0.000	0.000	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain	0.340
PF00196	+	0.000	0.067	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial regulatory proteins, luxR family	0.338
PF10662	+	0.000	0.000	0.000	0.000	0.101	0.091	0.010	0.000	0.000	0.000	0.000	0.000	0.000	Ethanolamine utilisation - propanediol utilisation	0.333
PF01865	+	0.000	0.046	0.081	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function DUF47	0.330
PF13597	+	0.000	0.000	0.000	0.000	0.050	0.054	0.005	0.000	0.000	0.000	0.000	0.000	0.000	Anaerobic ribonucleoside-triphosphate reductase	0.328
PF03845	+	0.057	0.057	0.019	0.000	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Spore germination protein	0.315
PF01385	+	0.124	0.318	0.184	0.270	0.028	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Probable transposase	0.312
PF01156	+	0.000	0.109	0.000	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Inosine-uridine preferring nucleoside hydrolase	0.298
PF01844	+	0.000	0.111	0.034	0.197	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	HNH endonuclease	0.285
PF01894	+	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterised protein family UPF0047	0.284
PF14659	+	0.147	0.163	0.102	0.187	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage integrase, N-terminal SAM-like domain	0.276
PF01420	+	0.055	0.175	0.000	0.130	0.006	0.019	0.062	0.000	0.000	0.000	0.000	0.000	0.000	Type I restriction modification DNA specificity domain	0.272
PF00480	+	0.029	0.000	0.000	0.000	0.018	0.034	0.028	0.000	0.000	0.000	0.000	0.000	0.000	ROK family	0.250
PF04326	+	0.109	0.056	0.016	0.118	0.091	0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Divergent AAA domain	0.241
PF13246	+	0.368	0.446	0.564	0.506	0.304	0.243	0.198	0.000	0.000	0.000	0.000	0.000	0.000	Putative hydrolase of sodium-potassium ATPase alpha subunit	0.239
PF13280	+	0.000	0.060	0.017	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	WYL domain	0.231
PF02583	+	0.044	0.106	0.058	0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Metal-sensitive transcriptional repressor	0.227
PF04072	+	0.229	0.176	0.245	0.279	0.070	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Leucine carboxyl methyltransferase	0.220
PF01867	+	0.000	0.005	0.038	0.000	0.048	0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CRISPR associated protein Cas1	0.219
PF04342	+	0.058	0.000	0.073	0.109	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function, DUF486	0.217
PF12481	+	0.000	0.132	0.064	0.247	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Aluminium induced protein	0.205
PF01235	+	0.148	0.130	0.066	0.001	0.142	0.138	0.056	0.000	0.000	0.000	0.000	0.000	0.000	Sodium:alanine symporter family	0.203
PF03096	+	0.000	0.000	0.071	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ndr family	0.197
PF02652	+	0.000	0.126	0.000	0.154	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	L-lactate permease	0.192
PF01676	+	0.000	0.156	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Metalloenzyme superfamily	0.180
PF01910	+	0.000	0.000	0.086	0.134	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function DUF77	0.176
PF12728	+	0.000	0.152	0.118	0.155	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Helix-turn-helix domain	0.176
PF00990	+	0.087	0.000	0.099	0.062	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GGDEF domain	0.176
PF03453	+	0.000	0.000	0.087	0.122	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	MoeA N-terminal region (domain I and II)	0.176
PF00176	+	0.170	0.078	0.242	0.066	0.099	0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	SNF2 family N-terminal domain	0.176
PF01174	-	0.000	0.000	0.000	-0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	SNO glutamine amidotransferase family	0.168
PF01883	+	0.387	0.372	0.332	0.360	0.178	0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function DUF59	0.167
