	class	0.02_0	0.05_0	0.07_0	0.1_0	0.5_0	0.7_0	0.2_0	1_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	Pfam_desc	cor
PF03306	+	0.417	1.021	1.069	1.059	1.060	1.238	1.090	1.317	0.000	0.000	0.000	0.000	0.000	Alpha-acetolactate decarboxylase	0.746
PF07099	+	0.000	0.000	0.000	0.032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1361)	0.603
PF05709	+	0.000	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage tail protein	0.487
PF13303	+	0.000	0.000	0.000	0.045	0.220	0.062	0.153	0.069	0.000	0.000	0.000	0.000	0.000	Phosphotransferase system, EIIC	0.486
PF06993	+	0.000	0.000	0.000	0.065	0.161	0.118	0.113	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1304)	0.486
PF02742	+	0.000	0.000	0.000	0.000	0.153	0.231	0.092	0.192	0.000	0.000	0.000	0.000	0.000	Iron dependent repressor, metal binding and dimerisation domain	0.473
PF12464	+	0.000	0.031	0.055	0.000	0.000	0.000	0.033	0.000	0.000	0.000	0.000	0.000	0.000	Maltose acetyltransferase	0.440
PF08660	+	0.000	0.000	0.000	0.029	0.079	0.081	0.000	0.120	0.000	0.000	0.000	0.000	0.000	Oligosaccharide biosynthesis protein Alg14 like	0.417
PF09966	+	0.000	0.000	0.000	0.000	0.249	0.255	0.139	0.244	0.000	0.000	0.000	0.000	0.000	Uncharacterized protein conserved in bacteria (DUF2200)	0.416
PF02664	+	0.000	0.000	0.054	0.209	0.469	0.422	0.471	0.332	0.000	0.000	0.000	0.000	0.000	S-Ribosylhomocysteinase (LuxS)	0.383
PF13578	+	0.000	0.000	0.000	0.000	0.137	0.115	0.037	0.122	0.000	0.000	0.000	0.000	0.000	Methyltransferase domain	0.379
PF08481	+	0.000	0.000	0.000	0.000	0.111	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GBS Bsp-like repeat	0.349
PF13791	+	0.000	0.000	0.000	0.000	0.228	0.142	0.000	0.148	0.000	0.000	0.000	0.000	0.000	Sigma factor regulator C-terminal	0.282
PF00854	+	0.000	0.000	0.000	0.000	0.082	0.014	0.048	0.049	0.000	0.000	0.000	0.000	0.000	POT family	0.276
PF07081	+	0.000	0.000	0.000	0.000	0.165	0.209	0.073	0.301	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1349)	0.265
PF03706	+	0.000	0.108	0.174	0.222	0.292	0.228	0.310	0.258	0.000	0.000	0.000	0.000	0.000	Uncharacterised protein family (UPF0104)	0.251
PF08546	+	0.000	0.000	0.000	0.000	0.250	0.379	0.000	0.394	0.000	0.000	0.000	0.000	0.000	Ketopantoate reductase PanE/ApbA C terminal	0.236
PF02350	+	0.000	0.000	0.000	0.000	0.042	0.166	0.000	0.181	0.000	0.000	0.000	0.000	0.000	UDP-N-acetylglucosamine 2-epimerase	0.223
PF08533	+	0.000	0.000	0.000	0.050	0.192	0.061	0.135	0.000	0.000	0.000	0.000	0.000	0.000	Beta-galactosidase C-terminal domain	0.221
PF12799	+	0.000	0.000	0.000	0.000	0.101	0.219	0.000	0.210	0.000	0.000	0.000	0.000	0.000	Leucine Rich repeats (2 copies)	0.215
PF03632	+	0.000	0.000	0.070	0.064	0.052	0.069	0.099	0.202	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolase family 65 central catalytic domain	0.215
PF03636	+	0.000	0.000	0.016	0.065	0.069	0.084	0.014	0.013	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolase family 65, N-terminal domain	0.215
PF13367	-	0.000	0.000	0.000	0.000	-0.178	-0.052	0.000	-0.033	0.000	0.000	0.000	0.000	0.000	Protease prsW family	0.159
PF10020	+	0.000	0.000	0.000	0.000	0.215	0.226	0.000	0.313	0.000	0.000	0.000	0.000	0.000	Uncharacterized protein conserved in bacteria (DUF2262)	0.148
PF10371	-	0.000	0.000	0.000	0.000	-0.087	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function	0.096
PF14567	+	0.000	0.000	0.000	0.191	1.143	1.223	0.747	1.219	0.000	0.000	0.000	0.000	0.000	SMI1-KNR4 cell-wall	0.096
PF13380	+	0.000	0.000	0.000	0.000	0.143	0.065	0.023	0.084	0.000	0.000	0.000	0.000	0.000	CoA binding domain	0.082
PF07358	+	0.000	0.000	0.000	0.000	0.172	0.313	0.000	0.275	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1482)	0.081
PF10551	+	0.000	0.000	0.000	0.000	0.205	0.164	0.104	0.168	0.000	0.000	0.000	0.000	0.000	MULE transposase domain	0.077
PF07669	-	0.000	0.000	0.000	0.000	-0.213	-0.207	-0.110	-0.200	0.000	0.000	0.000	0.000	0.000	Eco57I restriction-modification methylase	0.052
PF00703	-	0.000	0.000	0.000	0.000	-0.082	-0.044	0.000	-0.070	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 2	0.032
PF11958	+	0.000	0.000	0.000	0.000	0.229	0.272	0.000	0.391	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF3472)	0.024
PF01637	-	0.000	0.000	0.000	0.000	-0.136	-0.048	0.000	-0.070	0.000	0.000	0.000	0.000	0.000	Archaeal ATPase	0.021
PF05145	-	0.000	0.000	0.000	0.000	-0.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative ammonia monooxygenase	0.018
PF01641	-	0.000	0.000	0.000	0.000	-0.235	-0.077	-0.079	-0.036	0.000	0.000	0.000	0.000	0.000	SelR domain	0.015
PF13754	-	0.000	0.000	0.000	0.000	-0.065	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial Ig-like domain (group 3)	-0.007
PF03767	-	0.000	0.000	0.000	0.000	-0.085	-0.093	0.000	-0.095	0.000	0.000	0.000	0.000	0.000	HAD superfamily, subfamily IIIB (Acid phosphatase)	-0.010
PF01478	-	0.000	0.000	0.000	0.000	-0.056	-0.070	-0.051	-0.053	0.000	0.000	0.000	0.000	0.000	Type IV leader peptidase family	-0.027
PF08535	-	0.000	0.000	0.000	0.000	-0.118	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	KorB domain	-0.031
PF00082	-	0.000	0.000	0.000	-0.108	-0.454	-0.590	-0.252	-0.623	0.000	0.000	0.000	0.000	0.000	Subtilase family	-0.035
PF09995	+	0.000	0.000	0.000	0.000	0.198	0.149	0.000	0.200	0.000	0.000	0.000	0.000	0.000	Uncharacterized protein conserved in bacteria (DUF2236)	-0.053
PF00210	-	0.000	0.000	0.000	-0.079	0.000	0.000	-0.076	0.000	0.000	0.000	0.000	0.000	0.000	Ferritin-like domain	-0.055
