	class	0.2_0	0.5_0	0.7_0	1_0	0.1_0	0.07_0	0.05_0	0.02_0	0.01_0	0.001_0	0.002_0	0.005_0	0.007_0	Pfam_desc	cor
PF02449	+	0.193	0.236	0.081	0.317	0.195	0.246	0.297	0.349	0.043	0.000	0.000	0.000	0.000	Beta-galactosidase	0.606
PF04616	+	0.254	0.189	0.232	0.264	0.232	0.228	0.246	0.122	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 43	0.517
PF05870	+	0.000	0.000	0.000	0.104	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phenolic acid decarboxylase (PAD)	0.500
PF02903	+	0.000	0.000	0.000	0.000	0.055	0.101	0.122	0.000	0.000	0.000	0.000	0.000	0.000	Alpha amylase, N-terminal ig-like domain	0.493
PF12558	+	0.309	0.287	0.309	0.319	0.295	0.230	0.112	0.000	0.000	0.000	0.000	0.000	0.000	ATP-binding cassette cobalt transporter	0.471
PF07470	+	0.000	0.033	0.130	0.059	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl Hydrolase Family 88	0.470
PF00135	+	0.279	0.423	0.322	0.402	0.296	0.271	0.230	0.089	0.000	0.000	0.000	0.000	0.000	Carboxylesterase family	0.458
PF03390	+	0.106	0.000	0.091	0.000	0.090	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2-hydroxycarboxylate transporter family	0.457
PF06161	+	0.000	0.000	0.000	0.090	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF975)	0.452
PF06134	+	0.060	0.000	0.074	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	L-rhamnose isomerase (RhaA)	0.438
PF11975	+	0.134	0.118	0.145	0.157	0.118	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Family 4 glycosyl hydrolase C-terminal domain	0.427
