	class	0.2_0	0.1_0	1_0	0.07_0	0.5_0	0.7_0	0.05_0	0.02_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	Pfam_desc	cor
PF13456	+	0.669	0.625	0.399	0.513	0.586	0.540	0.483	0.273	0.000	0.000	0.000	0.000	0.000	Reverse transcriptase-like	0.721
PF13743	+	0.263	0.301	0.225	0.316	0.128	0.276	0.271	0.044	0.000	0.000	0.000	0.000	0.000	Thioredoxin	0.699
PF04306	+	0.000	0.000	0.000	0.000	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF456)	0.620
PF02700	+	0.000	0.000	0.043	0.000	0.031	0.000	0.040	0.100	0.000	0.000	0.000	0.000	0.000	Phosphoribosylformylglycinamidine (FGAM) synthase	0.579
PF03881	+	0.202	0.288	0.052	0.300	0.218	0.049	0.252	0.000	0.000	0.000	0.000	0.000	0.000	Fructosamine kinase	0.535
PF11716	+	0.016	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Mycothiol maleylpyruvate isomerase N-terminal domain	0.529
PF09685	+	0.000	0.000	0.000	0.000	0.064	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tic20-like protein	0.527
PF01910	+	0.120	0.082	0.000	0.035	0.203	0.140	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function DUF77	0.509
PF13398	+	0.099	0.000	0.310	0.000	0.025	0.164	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Peptidase M50B-like	0.506
PF08338	+	0.029	0.079	0.127	0.101	0.000	0.000	0.110	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF1731)	0.504
PF03806	+	0.087	0.003	0.209	0.000	0.000	0.067	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AbgT putative transporter family	0.488
PF07831	+	0.085	0.071	0.066	0.045	0.098	0.066	0.043	0.000	0.000	0.000	0.000	0.000	0.000	Pyrimidine nucleoside phosphorylase C-terminal domain	0.476
PF13653	+	0.083	0.146	0.114	0.187	0.160	0.048	0.129	0.000	0.000	0.000	0.000	0.000	0.000	Glycerophosphoryl diester phosphodiesterase family	0.475
PF14827	+	0.061	0.087	0.000	0.133	0.000	0.029	0.126	0.000	0.000	0.000	0.000	0.000	0.000	Sensory domain of two-component sensor kinase	0.467
PF02436	+	0.105	0.075	0.175	0.026	0.000	0.118	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Conserved carboxylase domain	0.464
PF04893	+	0.049	0.002	0.142	0.000	0.099	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Yip1 domain	0.445
PF14689	+	0.000	0.000	0.000	0.000	0.054	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Sensor_kinase_SpoOB-type, alpha-helical domain	0.437
PF07907	+	0.087	0.033	0.000	0.000	0.183	0.216	0.000	0.000	0.000	0.000	0.000	0.000	0.000	YibE/F-like protein	0.436
PF06930	+	0.000	0.000	0.000	0.000	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1282)	0.436
PF00282	+	0.059	0.030	0.174	0.029	0.125	0.124	0.022	0.000	0.000	0.000	0.000	0.000	0.000	Pyridoxal-dependent decarboxylase conserved domain	0.428
PF13806	+	0.000	0.000	0.164	0.000	0.028	0.069	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Rieske-like [2Fe-2S] domain	0.428
PF09922	+	0.218	0.083	0.282	0.000	0.201	0.217	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cell wall-active antibiotics response protein (DUF2154)	0.428
PF13530	+	0.000	0.000	0.108	0.000	0.137	0.043	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Sterol carrier protein domain	0.413
PF03102	+	0.022	0.000	0.000	0.000	0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NeuB family	0.404
PF04039	+	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain related to MnhB subunit of Na+/H+ antiporter	0.397
PF13244	+	0.028	0.106	0.000	0.151	0.144	0.062	0.134	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4040)	0.397
PF01899	+	0.000	0.000	0.000	0.000	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Na+/H+ ion antiporter subunit	0.397
PF03334	+	0.003	0.000	0.000	0.000	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Na+/H+ antiporter subunit	0.397
PF13468	+	0.093	0.119	0.084	0.121	0.084	0.117	0.088	0.000	0.000	0.000	0.000	0.000	0.000	Glyoxalase-like domain	0.391
PF03632	+	0.150	0.109	0.000	0.037	0.000	0.090	0.014	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolase family 65 central catalytic domain	0.381
PF03636	+	0.000	0.000	0.198	0.012	0.000	0.030	0.010	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolase family 65, N-terminal domain	0.381
