	class	1_0	0.7_0	0.2_0	0.5_0	0.05_0	0.1_0	0.07_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	0.02_0	Pfam_desc	cor
PF11397	+	0.326	0.288	0.000	0.234	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyltransferase (GlcNAc)	0.399
PF03283	+	0.386	0.142	0.000	0.122	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Pectinacetylesterase	0.394
PF13823	+	0.222	0.193	0.394	0.270	0.173	0.370	0.288	0.000	0.000	0.000	0.000	0.000	0.000	Alcohol dehydrogenase GroES-associated	0.388
PF08450	+	0.000	0.000	0.000	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	SMP-30/Gluconolaconase/LRE-like region	0.363
PF13453	+	0.467	0.367	0.295	0.400	0.097	0.240	0.196	0.000	0.000	0.000	0.000	0.000	0.000	Transcription factor zinc-finger	0.335
PF05449	+	0.000	0.000	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF754)	0.330
PF09995	+	0.000	0.000	0.000	0.000	0.010	0.000	0.040	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized protein conserved in bacteria (DUF2236)	0.320
PF09811	+	0.228	0.155	0.031	0.132	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Essential protein Yae1, N terminal	0.302
PF00494	+	0.275	0.282	0.274	0.281	0.229	0.240	0.275	0.000	0.000	0.000	0.000	0.000	0.000	Squalene/phytoene synthase	0.292
PF03583	+	0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Secretory lipase	0.276
PF06243	+	0.132	0.273	0.209	0.244	0.000	0.134	0.025	0.000	0.000	0.000	0.000	0.000	0.000	Phenylacetic acid degradation B	0.275
PF07652	+	0.131	0.354	0.000	0.177	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Flavivirus DEAD domain	0.268
PF13428	+	0.000	0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tetratricopeptide repeat	0.254
PF04264	+	0.274	0.181	0.057	0.178	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	YceI-like domain	0.247
PF02656	+	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF202)	0.232
PF07077	+	0.208	0.103	0.026	0.070	0.000	0.033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1345)	0.232
PF00875	+	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DNA photolyase	0.231
PF06150	+	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ChaB	0.230
PF04328	+	0.000	0.000	0.000	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF466)	0.225
PF13176	+	0.330	0.298	0.239	0.328	0.000	0.062	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tetratricopeptide repeat	0.224
PF01323	+	0.101	0.071	0.000	0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DSBA-like thioredoxin domain	0.219
PF14022	+	0.060	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF4238)	0.212
PF01719	+	0.303	0.256	0.205	0.262	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Plasmid replication protein	0.212
PF05067	+	0.000	0.149	0.024	0.087	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Manganese containing catalase	0.204
PF11867	+	0.000	0.152	0.200	0.149	0.000	0.110	0.024	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF3387)	0.204
PF04464	+	0.250	0.224	0.248	0.223	0.000	0.204	0.129	0.000	0.000	0.000	0.000	0.000	0.000	CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase	0.201
PF09250	+	0.222	0.173	0.196	0.175	0.000	0.094	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bifunctional DNA primase/polymerase, N-terminal	0.187
PF13587	+	0.186	0.194	0.191	0.198	0.097	0.220	0.211	0.000	0.000	0.000	0.000	0.000	0.000	N-terminal domain of DJ-1_PfpI family	0.187
PF06356	+	0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1064)	0.181
PF13011	+	0.000	0.067	0.001	0.068	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	leucine-zipper of insertion element IS481	0.180
PF09152	+	0.867	0.574	0.000	0.485	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF1937)	0.174
PF07582	+	0.000	0.068	0.146	0.096	0.000	0.143	0.022	0.000	0.000	0.000	0.000	0.000	0.000	AP endonuclease family 2 C terminus	0.173
PF07081	+	0.198	0.124	0.022	0.140	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1349)	0.172
PF10026	+	0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Predicted Zn-dependent protease (DUF2268)	0.169
PF11533	+	0.388	0.375	0.327	0.379	0.000	0.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3225)	0.169
PF13079	+	0.104	0.064	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3916)	0.164
PF02567	+	0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phenazine biosynthesis-like protein	0.160
PF10459	+	0.264	0.189	0.000	0.095	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Peptidase S46	0.157
PF13565	+	0.000	0.000	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Homeodomain-like domain	0.153
PF09330	+	0.322	0.266	0.188	0.286	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	D-lactate dehydrogenase, membrane binding	0.151
PF06993	+	0.138	0.106	0.000	0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1304)	0.144
PF13020	+	0.000	0.093	0.000	0.077	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF3883)	0.127
PF06983	-	-0.066	-0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3-demethylubiquinone-9 3-methyltransferase	0.124
PF13551	+	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Winged helix-turn helix	0.123
PF13391	+	0.143	0.135	0.162	0.137	0.000	0.191	0.101	0.000	0.000	0.000	0.000	0.000	0.000	HNH endonuclease	0.114
PF01051	-	-0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Initiator Replication protein	0.101
PF04199	+	0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative cyclase	0.093
PF07015	-	-0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	VirC1 protein	0.091
PF07559	-	0.000	-0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Flagellar basal body protein FlaE	0.086
PF09587	+	0.000	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial capsule synthesis protein PGA_cap	0.079
PF07729	-	-0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	FCD domain	0.078
PF07308	+	0.000	0.000	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1456)	0.071
PF06078	-	0.000	-0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial protein of unknown function (DUF937)	0.071
