	class	0.1_0	0.07_0	0.05_0	0.02_0	0.2_0	1_0	0.7_0	0.5_0	0.01_0	0.001_0	0.002_0	0.005_0	0.007_0	Pfam_desc	cor
PF02274	+	0.658	0.736	0.773	0.459	0.585	0.492	0.537	0.554	0.110	0.000	0.000	0.000	0.000	Amidinotransferase	0.492
PF03577	+	0.334	0.272	0.187	0.000	0.384	0.353	0.436	0.418	0.000	0.000	0.000	0.000	0.000	Peptidase family C69	0.250
PF13306	+	0.032	0.000	0.000	0.000	0.097	0.154	0.063	0.102	0.000	0.000	0.000	0.000	0.000	Leucine rich repeats (6 copies)	0.241
PF04140	+	0.152	0.126	0.063	0.000	0.178	0.239	0.138	0.106	0.000	0.000	0.000	0.000	0.000	Isoprenylcysteine carboxyl methyltransferase (ICMT) family	0.226
PF06715	+	0.440	0.197	0.000	0.000	0.753	0.738	0.759	0.704	0.000	0.000	0.000	0.000	0.000	Gp5 C-terminal repeat (3 copies)	0.216
PF01326	+	0.330	0.283	0.194	0.000	0.381	0.462	0.333	0.316	0.000	0.000	0.000	0.000	0.000	Pyruvate phosphate dikinase, PEP/pyruvate binding domain	0.215
PF01921	+	0.092	0.109	0.098	0.000	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	tRNA synthetases class I (K)	0.208
PF10340	+	0.000	0.000	0.000	0.000	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2424)	0.202
PF13582	+	0.068	0.000	0.000	0.000	0.293	0.265	0.000	0.330	0.000	0.000	0.000	0.000	0.000	Metallo-peptidase family M12B Reprolysin-like	0.192
PF13574	+	0.087	0.084	0.000	0.000	0.000	0.000	0.051	0.000	0.000	0.000	0.000	0.000	0.000	Metallo-peptidase family M12B Reprolysin-like	0.192
PF12277	+	0.000	0.000	0.000	0.000	0.062	0.415	0.270	0.394	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3618)	0.183
PF08020	+	0.194	0.144	0.089	0.000	0.255	0.199	0.209	0.245	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1706)	0.154
PF04464	+	0.052	0.052	0.017	0.000	0.067	0.055	0.134	0.143	0.000	0.000	0.000	0.000	0.000	CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase	0.154
PF10397	+	0.024	0.000	0.000	0.000	0.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Adenylosuccinate lyase C-terminus	0.145
PF03845	+	0.117	0.054	0.000	0.000	0.087	0.000	0.000	0.140	0.000	0.000	0.000	0.000	0.000	Spore germination protein	0.134
PF13688	+	0.000	0.000	0.000	0.000	0.005	0.262	0.371	0.000	0.000	0.000	0.000	0.000	0.000	Metallo-peptidase family M12	0.130
PF00565	+	0.516	0.465	0.383	0.000	0.556	0.515	0.556	0.542	0.000	0.000	0.000	0.000	0.000	Staphylococcal nuclease homologue	0.115
PF14072	+	0.015	0.000	0.000	0.000	0.036	0.048	0.038	0.022	0.000	0.000	0.000	0.000	0.000	DNA-sulfur modification-associated	0.104
