	class	0.7_0	0.5_0	1_0	0.1_0	0.2_0	0.07_0	0.05_0	0.02_0	0.01_0	0.001_0	0.002_0	0.005_0	0.007_0	Pfam_desc	cor
PF02929	+	0.406	0.578	0.611	0.598	0.633	0.553	0.505	0.406	0.168	0.000	0.000	0.000	0.000	Beta galactosidase small chain	0.781
PF00703	+	0.663	0.535	0.479	0.372	0.460	0.359	0.311	0.188	0.067	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 2	0.704
PF02836	+	0.040	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 2, TIM barrel domain	0.674
PF02610	+	0.215	0.000	0.250	0.123	0.095	0.162	0.175	0.000	0.000	0.000	0.000	0.000	0.000	L-arabinose isomerase	0.666
PF02837	+	0.000	0.000	0.174	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 2, sugar binding domain	0.659
PF04616	+	0.499	0.424	0.420	0.327	0.378	0.278	0.227	0.145	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 43	0.652
PF08532	+	0.101	0.000	0.126	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Beta-galactosidase trimerisation domain	0.607
PF10509	+	0.104	0.139	0.150	0.000	0.000	0.000	0.037	0.076	0.000	0.000	0.000	0.000	0.000	Galactokinase galactose-binding signature	0.594
PF01055	+	0.235	0.288	0.048	0.182	0.250	0.168	0.153	0.069	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 31	0.582
PF02449	+	0.201	0.131	0.131	0.157	0.199	0.140	0.148	0.000	0.000	0.000	0.000	0.000	0.000	Beta-galactosidase	0.573
PF08533	+	0.000	0.236	0.000	0.265	0.244	0.194	0.075	0.000	0.000	0.000	0.000	0.000	0.000	Beta-galactosidase C-terminal domain	0.543
PF01915	+	0.079	0.219	0.191	0.000	0.045	0.000	0.028	0.010	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolase family 3 C-terminal domain	0.529
