	class	0.7_0	0.5_0	1_0	0.2_0	0.1_0	0.07_0	0.05_0	0.02_0	0.01_0	0.001_0	0.002_0	0.005_0	0.007_0	Pfam_desc	cor
PF11162	+	0.402	0.297	0.353	0.203	0.216	0.286	0.330	0.281	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2946)	0.790
PF08521	+	0.164	0.332	0.465	0.269	0.128	0.040	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Two-component sensor kinase N-terminal	0.694
PF14535	+	0.000	0.000	0.000	0.000	0.044	0.076	0.084	0.000	0.000	0.000	0.000	0.000	0.000	AMP-binding enzyme C-terminal domain	0.648
PF04828	+	0.000	0.000	0.040	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glutathione-dependent formaldehyde-activating enzyme	0.637
PF10617	+	0.263	0.357	0.282	0.448	0.333	0.224	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2474)	0.631
PF13577	+	0.009	0.113	0.134	0.024	0.051	0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	SnoaL-like domain	0.631
PF05232	+	0.282	0.190	0.191	0.000	0.000	0.000	0.056	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial Transmembrane Pair family	0.626
PF03746	+	0.000	0.000	0.000	0.067	0.018	0.003	0.000	0.133	0.027	0.000	0.000	0.000	0.000	LamB/YcsF family	0.622
PF12852	+	0.000	0.000	0.000	0.135	0.133	0.109	0.068	0.000	0.000	0.000	0.000	0.000	0.000	Cupin	0.617
PF04116	+	0.000	0.000	0.000	0.000	0.025	0.057	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Fatty acid hydroxylase superfamily	0.600
PF07080	+	0.000	0.000	0.000	0.000	0.043	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1348)	0.597
PF09994	+	0.290	0.317	0.315	0.339	0.236	0.182	0.177	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized alpha/beta hydrolase domain (DUF2235)	0.597
PF14518	+	0.096	0.000	0.104	0.256	0.168	0.067	0.063	0.000	0.000	0.000	0.000	0.000	0.000	Iron-containing redox enzyme	0.595
PF05787	+	0.000	0.089	0.015	0.000	0.023	0.000	0.014	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial protein of unknown function (DUF839)	0.584
PF07311	+	0.000	0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Dodecin	0.576
PF05726	+	0.153	0.167	0.057	0.135	0.108	0.076	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Pirin C-terminal cupin domain	0.563
PF03450	+	0.130	0.158	0.173	0.000	0.000	0.000	0.079	0.000	0.000	0.000	0.000	0.000	0.000	CO dehydrogenase flavoprotein C-terminal domain	0.553
PF03401	+	0.444	0.344	0.310	0.366	0.371	0.364	0.267	0.000	0.000	0.000	0.000	0.000	0.000	Tripartite tricarboxylate transporter family receptor	0.553
PF07287	+	0.067	0.000	0.191	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1446)	0.544
PF03972	+	0.000	0.000	0.000	0.000	0.008	0.027	0.012	0.000	0.000	0.000	0.000	0.000	0.000	MmgE/PrpD family	0.527
PF06175	+	0.460	0.418	0.454	0.289	0.088	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	tRNA-(MS[2]IO[6]A)-hydroxylase (MiaE)	0.521
PF00576	+	0.174	0.149	0.250	0.080	0.029	0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	HIUase/Transthyretin family	0.511
PF02805	+	0.328	0.291	0.289	0.158	0.092	0.103	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Metal binding domain of Ada	0.506
PF13703	+	0.000	0.000	0.162	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PepSY-associated TM helix	0.504
PF04328	+	0.174	0.180	0.097	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF466)	0.491
PF13622	+	0.000	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Thioesterase-like superfamily	0.476
PF01928	+	0.457	0.509	0.564	0.423	0.245	0.171	0.175	0.005	0.000	0.000	0.000	0.000	0.000	CYTH domain	0.476
PF12729	+	0.132	0.000	0.161	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Four helix bundle sensory module for signal transduction	0.473
PF07077	+	0.000	0.000	0.000	0.221	0.245	0.228	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1345)	0.467
PF05899	+	0.000	0.000	0.079	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF861)	0.419
PF08808	+	0.370	0.341	0.270	0.172	0.110	0.067	0.000	0.000	0.000	0.000	0.000	0.000	0.000	RES domain	0.419
PF11160	+	0.000	0.000	0.000	0.111	0.069	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2945)	0.417
PF09859	+	0.000	0.000	0.000	0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Oxygenase, catalysing oxidative methylation of damaged DNA	0.411
PF06808	+	0.109	0.054	0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DctM-like transporters	0.406
PF12568	+	0.000	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Acetyltransferase (GNAT) domain	0.391
PF02667	+	0.000	0.000	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Short chain fatty acid transporter	0.372
PF08386	+	0.179	0.221	0.217	0.202	0.169	0.123	0.121	0.000	0.000	0.000	0.000	0.000	0.000	TAP-like protein	0.370
PF05048	-	0.000	-0.055	-0.120	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Periplasmic copper-binding protein (NosD)	0.364
PF02040	+	0.000	0.012	0.078	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Arsenical pump membrane protein	0.362
PF01804	+	0.073	0.023	0.099	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Penicillin amidase	0.349
PF04267	+	0.000	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Sarcosine oxidase, delta subunit family	0.324
PF06983	-	0.000	0.000	-0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3-demethylubiquinone-9 3-methyltransferase	0.318
PF00394	-	0.000	0.000	-0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Multicopper oxidase	0.316
PF00821	+	0.249	0.000	0.000	0.053	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phosphoenolpyruvate carboxykinase	0.308
PF13305	+	0.010	0.000	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	WHG domain	0.308
PF00449	-	-0.143	-0.100	-0.078	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Urease alpha-subunit, N-terminal domain	0.306
PF00547	-	-0.060	-0.043	-0.145	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Urease, gamma subunit	0.306
PF00699	-	0.000	-0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Urease beta subunit	0.306
PF04250	+	0.000	0.000	0.062	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF429)	0.303
PF11528	+	0.000	0.000	0.172	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3224)	0.303
PF14864	-	-0.025	0.000	-0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Alkyl sulfatase C-terminal	0.299
PF03788	-	0.000	0.000	-0.299	-0.105	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	LrgA family	0.289
PF03412	-	-0.156	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Peptidase C39 family	0.287
PF02133	-	0.000	0.000	0.000	-0.094	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Permease for cytosine/purines, uracil, thiamine, allantoin	0.285
