	class	0.2_0	1_0	0.5_0	0.7_0	0.1_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	0.02_0	0.07_0	0.05_0	Pfam_desc	cor
PF09818	+	0.134	0.229	0.327	0.000	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Predicted ATPase of the ABC class	0.481
PF05547	+	0.294	0.282	0.294	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Immune inhibitor A peptidase M6	0.476
PF07070	+	0.033	0.040	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	SpoOM protein	0.423
PF01731	+	0.628	0.863	0.902	0.949	0.249	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Arylesterase	0.414
PF00801	+	0.000	0.056	0.007	0.181	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PKD domain	0.378
PF00850	+	0.193	0.190	0.199	0.093	0.114	0.000	0.000	0.000	0.000	0.000	0.000	0.062	0.000	Histone deacetylase domain	0.357
PF04018	+	0.000	0.000	0.000	0.078	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF368)	0.346
PF03174	+	0.071	0.159	0.086	0.000	0.104	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Chitobiase/beta-hexosaminidase C-terminal domain	0.346
PF10517	+	0.000	0.020	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Electron transfer DM13	0.343
PF01769	+	0.166	0.219	0.191	0.214	0.181	0.000	0.000	0.000	0.000	0.000	0.000	0.212	0.183	Divalent cation transporter	0.337
PF08449	+	0.131	0.249	0.285	0.276	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	UAA transporter family	0.336
PF03929	+	0.000	0.548	0.242	0.572	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PepSY-associated TM helix	0.336
PF12458	+	0.000	0.000	0.000	0.237	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ATPase involved in DNA repair	0.336
PF11074	+	0.000	0.650	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function(DUF2779)	0.336
PF00949	+	0.000	0.000	0.000	0.066	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Peptidase S7, Flavivirus NS3 serine protease	0.336
PF07198	+	0.000	0.000	0.216	0.177	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1410)	0.336
PF00209	+	0.024	0.000	0.000	0.000	0.176	0.000	0.000	0.000	0.000	0.000	0.000	0.195	0.185	Sodium:neurotransmitter symporter family	0.335
PF01752	+	0.000	0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Collagenase	0.311
PF03496	+	0.000	0.211	0.142	0.121	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ADP-ribosyltransferase exoenzyme	0.311
PF10552	+	0.448	0.748	0.640	0.556	0.252	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	ORF6C domain	0.311
PF05569	+	0.000	0.000	0.000	0.000	0.068	0.000	0.000	0.000	0.000	0.000	0.000	0.134	0.000	BlaR1 peptidase M56	0.295
PF13772	+	0.075	0.028	0.055	0.241	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AIG2-like family	0.279
PF03767	+	0.225	0.182	0.171	0.349	0.142	0.000	0.000	0.000	0.000	0.000	0.000	0.152	0.038	HAD superfamily, subfamily IIIB (Acid phosphatase)	0.261
PF00932	+	0.371	0.267	0.331	0.344	0.353	0.000	0.000	0.000	0.000	0.000	0.000	0.192	0.000	Lamin Tail Domain	0.257
PF09903	+	0.367	0.094	0.223	0.063	0.217	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized protein conserved in bacteria (DUF2130)	0.243
PF02958	+	0.002	0.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ecdysteroid kinase	0.243
PF04191	+	0.052	0.055	0.064	0.089	0.086	0.000	0.000	0.000	0.000	0.000	0.000	0.114	0.082	Phospholipid methyltransferase	0.243
PF02544	+	0.025	0.165	0.136	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3-oxo-5-alpha-steroid 4-dehydrogenase	0.235
PF12811	+	0.075	0.077	0.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bax inhibitor 1 like	0.216
PF05219	+	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DREV methyltransferase	0.212
PF02568	+	0.335	0.447	0.447	0.449	0.156	0.000	0.000	0.000	0.000	0.000	0.000	0.050	0.000	Thiamine biosynthesis protein (ThiI)	0.208
PF02030	+	0.000	0.011	0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Hypothetical lipoprotein (MG045 family)	0.204
PF14337	+	0.066	0.000	0.005	0.088	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4393)	0.199
