	class	1_0	0.5_0	0.7_0	0.2_0	0.05_0	0.07_0	0.1_0	0.002_0	0.005_0	0.007_0	0.01_0	0.02_0	0.001_0	Pfam_desc	cor
PF01177	+	0.000	0.000	0.000	0.000	0.199	0.055	0.000	0.110	0.808	0.810	0.740	0.562	0.000	Asp/Glu/Hydantoin racemase	0.608
PF12704	+	0.000	0.006	0.354	0.000	0.062	0.053	0.000	0.000	0.022	0.098	0.120	0.000	0.000	MacB-like periplasmic core domain	0.573
PF03471	+	0.223	0.130	0.000	0.231	0.246	0.238	0.260	0.000	0.000	0.091	0.173	0.234	0.000	Transporter associated domain	0.541
PF01545	+	0.687	0.575	0.551	0.494	0.421	0.439	0.456	0.000	0.067	0.197	0.297	0.378	0.000	Cation efflux family	0.535
PF02620	+	0.180	0.152	0.271	0.070	0.041	0.043	0.043	0.000	0.000	0.000	0.011	0.047	0.000	Uncharacterized ACR, COG1399	0.496
PF00892	+	0.244	0.000	0.031	0.026	0.135	0.133	0.115	0.000	0.000	0.000	0.080	0.146	0.000	EamA-like transporter family	0.493
PF01451	+	0.107	0.165	0.215	0.151	0.110	0.128	0.163	0.000	0.000	0.000	0.000	0.067	0.000	Low molecular weight phosphotyrosine protein phosphatase	0.480
PF02787	+	0.349	0.176	0.308	0.104	0.102	0.112	0.124	0.000	0.000	0.000	0.000	0.066	0.000	Carbamoyl-phosphate synthetase large chain, oligomerisation domain	0.469
PF00924	+	0.000	0.000	0.000	0.000	0.039	0.034	0.005	0.000	0.000	0.000	0.000	0.007	0.000	Mechanosensitive ion channel	0.447
PF01113	+	0.000	0.000	0.000	0.000	0.025	0.021	0.000	0.000	0.000	0.000	0.000	0.005	0.000	Dihydrodipicolinate reductase, N-terminus	0.442
PF00710	+	0.169	0.181	0.119	0.150	0.082	0.104	0.118	0.000	0.000	0.000	0.000	0.000	0.000	Asparaginase	0.435
PF12698	+	0.160	0.171	0.229	0.105	0.014	0.037	0.044	0.000	0.000	0.000	0.000	0.000	0.000	ABC-2 family transporter protein	0.427
PF02576	+	0.000	0.000	0.000	0.000	0.086	0.086	0.063	0.000	0.000	0.000	0.000	0.058	0.000	Uncharacterised BCR, YhbC family COG0779	0.419
PF05173	+	0.000	0.000	0.000	0.027	0.000	0.000	0.017	0.000	0.000	0.000	0.000	0.000	0.000	Dihydrodipicolinate reductase, C-terminus	0.418
PF03668	+	0.797	0.679	0.736	0.464	0.144	0.199	0.287	0.000	0.000	0.000	0.000	0.066	0.000	P-loop ATPase protein family	0.414
PF01205	+	0.000	0.000	0.000	0.005	0.119	0.114	0.085	0.000	0.000	0.000	0.002	0.090	0.000	Uncharacterized protein family UPF0029	0.413
PF00781	+	0.219	0.150	0.123	0.097	0.029	0.057	0.077	0.000	0.000	0.000	0.000	0.000	0.000	Diacylglycerol kinase catalytic domain	0.405
