	class	0.2_0	0.7_0	0.5_0	1_0	0.1_0	0.07_0	0.05_0	0.02_0	0.01_0	0.001_0	0.002_0	0.005_0	0.007_0	Pfam_desc	cor
PF06279	+	0.004	0.000	0.000	0.144	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1033)	0.630
PF08820	+	0.000	0.000	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF1803)	0.614
PF10031	+	0.313	0.183	0.224	0.086	0.236	0.157	0.123	0.000	0.000	0.000	0.000	0.000	0.000	Small integral membrane protein (DUF2273)	0.564
PF04260	+	0.000	0.000	0.000	0.144	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF436)	0.558
PF06962	+	0.015	0.000	0.000	0.000	0.062	0.117	0.173	0.126	0.000	0.000	0.000	0.000	0.000	Putative rRNA methylase	0.558
PF11217	+	0.000	0.000	0.000	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3013)	0.551
PF01487	+	0.320	0.169	0.193	0.076	0.442	0.498	0.569	0.421	0.178	0.000	0.000	0.000	0.000	Type I 3-dehydroquinase	0.543
PF02388	+	0.110	0.094	0.098	0.145	0.096	0.066	0.081	0.000	0.000	0.000	0.000	0.000	0.000	FemAB family	0.538
PF06949	+	0.000	0.291	0.284	0.506	0.000	0.000	0.000	0.079	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1292)	0.499
PF08866	+	0.178	0.247	0.178	0.000	0.067	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative amino acid metabolism	0.494
PF15432	+	0.461	0.877	0.835	0.867	0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Accessory Sec secretory system ASP3	0.492
PF06737	+	0.418	0.513	0.488	0.516	0.360	0.292	0.173	0.000	0.000	0.000	0.000	0.000	0.000	Transglycosylase-like domain	0.471
PF09419	+	0.000	0.029	0.035	0.116	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Mitochondrial PGP phosphatase	0.457
PF03596	+	0.000	0.045	0.000	0.000	0.007	0.041	0.051	0.000	0.000	0.000	0.000	0.000	0.000	Cadmium resistance transporter	0.456
PF06177	+	0.195	0.090	0.124	0.059	0.205	0.179	0.166	0.000	0.000	0.000	0.000	0.000	0.000	QueT transporter	0.442
PF08353	+	0.000	0.000	0.007	0.000	0.000	0.000	0.001	0.021	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF1727)	0.438
PF06115	+	0.000	0.000	0.000	0.102	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF956)	0.428
PF02229	+	0.000	0.000	0.000	0.114	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transcriptional Coactivator p15 (PC4)	0.419
PF02486	+	0.100	0.016	0.041	0.121	0.082	0.087	0.013	0.000	0.000	0.000	0.000	0.000	0.000	Replication initiation factor	0.409
PF08363	+	0.055	0.207	0.175	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glucan-binding protein C	0.403
PF09223	+	0.064	0.206	0.194	0.255	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	YodA lipocalin-like domain	0.400
PF05257	+	0.039	0.058	0.000	0.127	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CHAP domain	0.398
PF05816	+	0.000	0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Toxic anion resistance protein (TelA)	0.366
PF08503	+	0.420	0.517	0.508	0.392	0.220	0.133	0.039	0.000	0.000	0.000	0.000	0.000	0.000	Tetrahydrodipicolinate succinyltransferase N-terminal	0.359
PF08535	+	0.058	0.000	0.000	0.000	0.095	0.062	0.000	0.000	0.000	0.000	0.000	0.000	0.000	KorB domain	0.356
PF10552	+	0.000	0.000	0.036	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ORF6C domain	0.332
PF08708	+	0.014	0.012	0.029	0.074	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Primase C terminal 1 (PriCT-1)	0.309
PF14131	+	0.000	0.000	0.000	0.000	0.002	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4298)	0.288
PF02677	+	0.003	0.000	0.000	0.000	0.049	0.044	0.023	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized BCR, COG1636	0.280
PF02686	+	0.000	0.000	0.003	0.000	0.000	0.000	0.054	0.000	0.000	0.000	0.000	0.000	0.000	Glu-tRNAGln amidotransferase C subunit	0.277
PF06961	+	0.235	0.219	0.236	0.080	0.134	0.088	0.025	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1294)	0.258
PF03352	+	0.025	0.109	0.094	0.153	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Methyladenine glycosylase	0.242
PF00781	+	0.000	0.000	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Diacylglycerol kinase catalytic domain	0.240
PF10576	+	0.089	0.159	0.125	0.054	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Iron-sulfur binding domain of endonuclease III	0.239
PF06044	+	0.046	0.390	0.338	0.471	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Dam-replacing family	0.231
PF01910	+	0.214	0.138	0.157	0.169	0.218	0.191	0.158	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function DUF77	0.229
PF06100	+	0.000	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Streptococcal 67 kDa myosin-cross-reactive antigen like family	0.217
PF04392	+	0.047	0.000	0.000	0.000	0.081	0.087	0.033	0.000	0.000	0.000	0.000	0.000	0.000	ABC transporter substrate binding protein	0.215
PF15569	+	0.488	0.571	0.564	0.529	0.297	0.101	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Immunity protein 21	0.194
PF12358	+	0.038	0.075	0.069	0.088	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3644)	0.186
PF04306	+	0.127	0.175	0.169	0.163	0.091	0.078	0.053	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF456)	0.179
PF03610	-	-0.070	-0.197	-0.169	-0.180	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PTS system fructose IIA component	0.160
PF04226	+	0.000	0.072	0.069	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transglycosylase associated protein	0.158
PF07532	+	0.092	0.154	0.165	0.205	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial Ig-like domain (group 4)	0.154
PF08367	+	0.351	0.331	0.312	0.370	0.351	0.323	0.160	0.000	0.000	0.000	0.000	0.000	0.000	Peptidase M16C associated	0.149
PF07523	+	0.000	0.068	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial Ig-like domain (group 3)	0.143
PF00413	-	0.000	-0.022	0.000	-0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Matrixin	0.142
PF01515	+	0.000	0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phosphate acetyl/butaryl transferase	0.140
PF10989	+	0.000	0.000	0.000	0.613	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2808)	0.135
PF09557	+	0.040	0.000	0.000	0.045	0.060	0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF2382)	0.126
PF01633	-	0.000	0.000	0.000	-0.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Choline/ethanolamine kinase	0.122
PF08797	+	0.210	0.098	0.099	0.144	0.132	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	HIRAN domain	0.122
PF13556	+	0.020	0.039	0.048	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PucR C-terminal helix-turn-helix domain	0.115
PF06810	-	0.000	0.000	0.000	-0.125	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage minor structural protein GP20	0.115
PF02498	+	0.068	0.096	0.070	0.109	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	BRO family, N-terminal domain	0.104
PF02092	+	0.000	0.000	0.000	0.120	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycyl-tRNA synthetase beta subunit	0.099
PF14133	-	0.000	-0.120	-0.070	-0.268	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4300)	0.085
PF11840	+	0.000	0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3360)	0.083
