	class	1_0	0.5_0	0.7_0	0.2_0	0.1_0	0.07_0	0.05_0	0.02_0	0.01_0	0.001_0	0.002_0	0.005_0	0.007_0	Pfam_desc	cor
PF13345	+	0.443	0.391	0.386	0.303	0.321	0.311	0.320	0.329	0.097	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4098)	0.554
PF02449	+	0.080	0.071	0.044	0.103	0.070	0.095	0.083	0.014	0.000	0.000	0.000	0.000	0.000	Beta-galactosidase	0.510
PF06993	+	0.000	0.000	0.000	0.000	0.013	0.020	0.019	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1304)	0.507
PF02065	+	0.409	0.430	0.424	0.388	0.389	0.360	0.287	0.098	0.000	0.000	0.000	0.000	0.000	Melibiase	0.490
PF04616	+	0.238	0.236	0.193	0.224	0.195	0.199	0.214	0.130	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 43	0.487
PF00232	+	0.000	0.130	0.020	0.128	0.089	0.133	0.184	0.310	0.151	0.000	0.000	0.000	0.002	Glycosyl hydrolase family 1	0.472
PF08503	+	0.090	0.031	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tetrahydrodipicolinate succinyltransferase N-terminal	0.453
PF13802	+	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Galactose mutarotase-like	0.453
PF02903	+	0.297	0.344	0.371	0.258	0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Alpha amylase, N-terminal ig-like domain	0.439
PF03306	+	0.361	0.399	0.395	0.363	0.292	0.258	0.209	0.000	0.000	0.000	0.000	0.000	0.000	Alpha-acetolactate decarboxylase	0.439
PF12558	+	0.047	0.126	0.112	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ATP-binding cassette cobalt transporter	0.428
PF08713	+	0.277	0.151	0.242	0.184	0.254	0.251	0.227	0.059	0.000	0.000	0.000	0.000	0.000	DNA alkylation repair enzyme	0.426
PF00150	+	0.000	0.000	0.000	0.000	0.028	0.051	0.073	0.000	0.000	0.000	0.000	0.000	0.000	Cellulase (glycosyl hydrolase family 5)	0.417
PF07697	+	0.179	0.000	0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7TM-HD extracellular	0.399
PF03932	+	0.242	0.154	0.183	0.138	0.098	0.077	0.060	0.006	0.000	0.000	0.000	0.000	0.000	CutC family	0.387
PF14310	+	0.236	0.214	0.200	0.185	0.228	0.216	0.207	0.110	0.000	0.000	0.000	0.000	0.000	Fibronectin type III-like domain	0.383
PF09966	+	0.031	0.112	0.063	0.102	0.074	0.043	0.016	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized protein conserved in bacteria (DUF2200)	0.379
PF14501	+	0.143	0.181	0.149	0.135	0.030	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GHKL domain	0.372
PF04024	+	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PspC domain	0.365
PF04041	+	0.000	0.092	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF377)	0.340
