	class	0.2_0	0.5_0	1_0	0.1_0	0.07_0	0.7_0	0.05_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	0.02_0	Pfam_desc	cor
PF06833	+	0.943	1.155	1.182	0.793	0.614	1.186	0.392	0.000	0.000	0.000	0.000	0.000	0.000	Malonate decarboxylase gamma subunit (MdcE)	0.749
PF09995	+	0.011	0.026	0.000	0.011	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized protein conserved in bacteria (DUF2236)	0.607
PF06906	+	0.732	0.918	0.983	0.480	0.244	0.955	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1272)	0.525
PF14493	+	0.024	0.131	0.259	0.000	0.000	0.169	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Helix-turn-helix domain	0.462
PF07582	+	0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AP endonuclease family 2 C terminus	0.420
PF04284	+	0.082	0.049	0.045	0.000	0.000	0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF441)	0.416
PF06993	+	0.060	0.000	0.000	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1304)	0.373
PF06772	+	0.131	0.078	0.000	0.126	0.000	0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial low temperature requirement A protein (LtrA)	0.368
PF10397	+	0.190	0.265	0.323	0.000	0.000	0.306	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Adenylosuccinate lyase C-terminus	0.362
PF02588	+	0.000	0.000	0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized BCR, YitT family COG1284	0.311
PF04404	+	0.246	0.379	0.471	0.005	0.000	0.413	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ERF superfamily	0.275
PF12343	+	0.016	0.234	0.348	0.000	0.000	0.285	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cold shock protein DEAD box A	0.263
PF09364	+	0.208	0.487	0.491	0.073	0.000	0.530	0.000	0.000	0.000	0.000	0.000	0.000	0.000	XFP N-terminal domain	0.250
PF09907	+	0.179	0.124	0.123	0.063	0.000	0.126	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized protein conserved in bacteria (DUF2136)	0.248
PF05866	+	0.085	0.140	0.131	0.000	0.000	0.140	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Endodeoxyribonuclease RusA	0.231
PF00932	+	0.000	0.000	0.135	0.000	0.000	0.062	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Lamin Tail Domain	0.158
PF02028	+	0.000	0.077	0.031	0.000	0.000	0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	BCCT family transporter	0.102
PF13350	+	0.000	0.000	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tyrosine phosphatase family	0.086
PF03918	+	0.000	0.000	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cytochrome C biogenesis protein	0.037
PF13637	-	0.000	0.000	-0.028	0.000	0.000	-0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ankyrin repeats (many copies)	-0.006
PF03435	-	0.000	-0.005	-0.055	0.000	0.000	-0.041	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Saccharopine dehydrogenase	-0.101
PF04606	-	-0.043	-0.018	-0.070	0.000	0.000	-0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ogr/Delta-like zinc finger	-0.118
PF03230	-	-0.238	-0.418	-0.461	0.000	0.000	-0.450	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Antirestriction protein	-0.160
PF02413	-	0.000	0.000	0.000	-0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Caudovirales tail fibre assembly protein	-0.199
PF05932	-	0.000	-0.071	-0.111	0.000	0.000	-0.091	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tir chaperone protein (CesT) family	-0.226
PF05016	-	0.000	0.000	-0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Plasmid stabilisation system protein	-0.252
PF06048	-	-0.062	-0.185	-0.260	0.000	0.000	-0.227	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF927)	-0.274
PF01522	-	0.000	-0.032	-0.015	0.000	0.000	-0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Polysaccharide deacetylase	-0.275
PF13231	-	-0.029	-0.087	-0.078	0.000	0.000	-0.078	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Dolichyl-phosphate-mannose-protein mannosyltransferase	-0.392
PF13356	-	-0.187	-0.202	-0.183	-0.095	0.000	-0.190	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4102)	-0.444
