	class	0.1_0	0.07_0	0.5_0	0.2_0	1_0	0.05_0	0.7_0	0.02_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	Pfam_desc	cor
PF07745	+	0.152	0.088	0.151	0.246	0.236	0.016	0.204	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolase family 53	0.554
PF02065	+	0.037	0.074	0.000	0.000	0.000	0.125	0.053	0.063	0.000	0.000	0.000	0.000	0.000	Melibiase	0.547
PF01055	+	0.400	0.387	0.311	0.378	0.378	0.372	0.325	0.207	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 31	0.539
PF08532	+	0.226	0.221	0.333	0.212	0.353	0.219	0.286	0.000	0.000	0.000	0.000	0.000	0.000	Beta-galactosidase trimerisation domain	0.536
PF08244	+	0.391	0.412	0.283	0.323	0.159	0.375	0.254	0.093	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 32 C terminal	0.520
PF03051	+	0.034	0.000	0.183	0.118	0.228	0.000	0.205	0.000	0.000	0.000	0.000	0.000	0.000	Peptidase C1-like family	0.435
PF14897	+	0.114	0.095	0.000	0.064	0.058	0.033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	EpsG family	0.418
PF01223	+	0.015	0.055	0.074	0.000	0.061	0.081	0.018	0.000	0.000	0.000	0.000	0.000	0.000	DNA/RNA non-specific endonuclease	0.393
PF04204	+	0.276	0.223	0.451	0.337	0.476	0.126	0.442	0.000	0.000	0.000	0.000	0.000	0.000	Homoserine O-succinyltransferase	0.375
PF11175	+	0.186	0.032	0.465	0.355	0.542	0.000	0.561	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2961)	0.358
PF03629	+	0.000	0.000	0.106	0.030	0.072	0.000	0.048	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF303)	0.331
PF05870	+	0.371	0.286	0.490	0.478	0.472	0.150	0.466	0.000	0.000	0.000	0.000	0.000	0.000	Phenolic acid decarboxylase (PAD)	0.323
PF05402	+	0.103	0.054	0.222	0.183	0.278	0.000	0.230	0.000	0.000	0.000	0.000	0.000	0.000	Coenzyme PQQ synthesis protein D (PqqD)	0.287
PF03825	+	0.000	0.000	0.052	0.000	0.038	0.000	0.127	0.000	0.000	0.000	0.000	0.000	0.000	Nucleoside H+ symporter	0.285
PF06458	+	0.124	0.050	0.210	0.189	0.364	0.000	0.427	0.000	0.000	0.000	0.000	0.000	0.000	MucBP domain	0.273
PF11240	+	0.000	0.000	0.000	0.078	0.021	0.000	0.006	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3042)	0.265
PF00520	+	0.065	0.027	0.123	0.143	0.113	0.000	0.086	0.000	0.000	0.000	0.000	0.000	0.000	Ion transport protein	0.260
PF06993	+	0.000	0.000	0.000	0.000	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1304)	0.242
PF00781	-	0.000	0.000	0.000	0.000	-0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Diacylglycerol kinase catalytic domain	0.236
PF04991	+	0.000	0.029	0.000	0.000	0.061	0.016	0.004	0.000	0.000	0.000	0.000	0.000	0.000	LicD family	0.234
PF13320	+	0.043	0.000	0.122	0.142	0.177	0.000	0.137	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4091)	0.233
PF03162	+	0.013	0.000	0.176	0.105	0.240	0.000	0.125	0.000	0.000	0.000	0.000	0.000	0.000	Tyrosine phosphatase family	0.233
PF13811	+	0.000	0.000	0.418	0.226	0.351	0.000	0.262	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4186)	0.229
PF01174	+	0.083	0.000	0.317	0.244	0.344	0.000	0.293	0.000	0.000	0.000	0.000	0.000	0.000	SNO glutamine amidotransferase family	0.223
PF04630	+	0.000	0.000	0.083	0.000	0.098	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage major tail protein	0.212
PF07358	+	0.000	0.000	0.009	0.000	0.477	0.000	0.277	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1482)	0.211
PF11694	+	0.000	0.000	0.238	0.067	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3290)	0.201
PF14253	+	0.000	0.000	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacteriophage abortive infection AbiH	0.196
PF03070	+	0.063	0.000	0.351	0.239	0.379	0.000	0.284	0.000	0.000	0.000	0.000	0.000	0.000	TENA/THI-4/PQQC family	0.195
PF11622	+	0.000	0.000	0.296	0.000	0.198	0.000	0.471	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3251)	0.190
PF04170	+	0.000	0.000	0.000	0.000	0.292	0.000	0.092	0.000	0.000	0.000	0.000	0.000	0.000	NlpE N-terminal domain	0.178
PF02899	+	0.000	0.000	0.000	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage integrase, N-terminal SAM-like domain	0.171
PF07302	+	0.000	0.000	0.089	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AroM protein	0.171
PF13556	-	0.000	0.000	-0.007	0.000	-0.073	0.000	-0.001	0.000	0.000	0.000	0.000	0.000	0.000	PucR C-terminal helix-turn-helix domain	0.168
PF10091	+	0.063	0.000	0.317	0.205	0.303	0.000	0.442	0.000	0.000	0.000	0.000	0.000	0.000	Putative glucoamylase	0.167
PF07555	+	0.000	0.000	0.096	0.000	0.003	0.000	0.027	0.000	0.000	0.000	0.000	0.000	0.000	beta-N-acetylglucosaminidase	0.160
PF09681	+	0.112	0.047	0.372	0.231	0.350	0.000	0.382	0.000	0.000	0.000	0.000	0.000	0.000	N-terminal phage replisome organiser (Phage_rep_org_N)	0.160
PF14501	-	0.000	0.000	-0.087	-0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GHKL domain	0.159
PF04262	+	0.000	0.000	0.000	0.005	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glutamate-cysteine ligase	0.157
PF03288	+	0.193	0.125	0.229	0.257	0.304	0.051	0.290	0.000	0.000	0.000	0.000	0.000	0.000	Poxvirus D5 protein-like	0.156
PF12459	+	0.000	0.000	0.063	0.000	0.052	0.000	0.220	0.000	0.000	0.000	0.000	0.000	0.000	D-Ala-teichoic acid biosynthesis protein	0.149
PF14845	+	0.000	0.000	0.335	0.145	0.259	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	beta-acetyl hexosaminidase like	0.145
PF01814	+	0.018	0.000	0.000	0.028	0.121	0.000	0.128	0.000	0.000	0.000	0.000	0.000	0.000	Hemerythrin HHE cation binding domain	0.138
PF13727	+	0.000	0.000	0.112	0.030	0.012	0.000	0.031	0.000	0.000	0.000	0.000	0.000	0.000	CoA-binding domain	0.138
PF03721	+	0.000	0.000	0.122	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain	0.137
PF03649	-	0.000	0.000	-0.105	-0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterised protein family (UPF0014)	0.134
PF06580	-	0.000	0.000	-0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Histidine kinase	0.132
PF03613	-	0.000	0.000	-0.051	0.000	-0.143	0.000	-0.118	0.000	0.000	0.000	0.000	0.000	0.000	PTS system mannose/fructose/sorbose family IID component	0.129
PF00078	-	0.000	0.000	-0.140	-0.091	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Reverse transcriptase (RNA-dependent DNA polymerase)	0.125
PF13181	+	0.000	0.000	0.000	0.000	0.091	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tetratricopeptide repeat	0.125
PF00756	-	0.000	0.000	0.000	-0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative esterase	0.121
PF07885	+	0.000	0.000	0.000	0.000	0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ion channel	0.119
PF00195	+	0.111	0.056	0.148	0.141	0.037	0.000	0.078	0.000	0.000	0.000	0.000	0.000	0.000	Chalcone and stilbene synthases, N-terminal domain	0.118
PF09643	+	0.000	0.000	0.067	0.000	0.150	0.000	0.116	0.000	0.000	0.000	0.000	0.000	0.000	YopX protein	0.115
PF04464	-	0.000	0.000	-0.068	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase	0.115
PF13480	-	0.000	0.000	-0.045	-0.005	-0.121	0.000	-0.073	0.000	0.000	0.000	0.000	0.000	0.000	Acetyltransferase (GNAT) domain	0.112
PF00988	-	0.000	0.000	0.000	0.000	-0.083	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Carbamoyl-phosphate synthase small chain, CPSase domain	0.102
PF00232	-	-0.012	0.000	-0.172	-0.120	0.000	0.000	-0.154	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolase family 1	0.096
PF13434	+	0.000	0.000	0.022	0.000	0.000	0.000	0.067	0.000	0.000	0.000	0.000	0.000	0.000	L-lysine 6-monooxygenase (NADPH-requiring)	0.091
PF10127	-	0.000	0.000	-0.040	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Predicted nucleotidyltransferase	0.081
PF00092	-	0.000	0.000	0.000	0.000	-0.081	0.000	-0.047	0.000	0.000	0.000	0.000	0.000	0.000	von Willebrand factor type A domain	0.074
PF08984	+	0.045	0.000	0.165	0.118	0.198	0.000	0.214	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF1858)	0.070
PF10417	-	0.000	0.000	-0.043	0.000	-0.219	0.000	-0.079	0.000	0.000	0.000	0.000	0.000	0.000	C-terminal domain of 1-Cys peroxiredoxin	0.068
PF13380	-	0.000	0.000	0.000	0.000	-0.086	0.000	-0.021	0.000	0.000	0.000	0.000	0.000	0.000	CoA binding domain	0.066
PF13899	+	0.026	0.000	0.142	0.089	0.214	0.000	0.231	0.000	0.000	0.000	0.000	0.000	0.000	Thioredoxin-like	0.058
PF09669	-	0.000	0.000	0.000	0.000	-0.128	0.000	-0.046	0.000	0.000	0.000	0.000	0.000	0.000	Phage regulatory protein Rha (Phage_pRha)	0.057
PF08212	-	0.000	0.000	0.000	0.000	-0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Lipocalin-like domain	0.051
PF06769	+	0.000	0.000	0.000	0.000	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Plasmid encoded toxin Txe	0.045
PF13280	-	0.000	0.000	-0.069	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	WYL domain	0.044
PF01593	+	0.000	0.000	0.000	0.000	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Flavin containing amine oxidoreductase	0.041
PF12727	-	-0.012	0.000	-0.069	-0.055	-0.098	0.000	-0.115	0.000	0.000	0.000	0.000	0.000	0.000	PBP superfamily domain	0.040
PF03382	+	0.000	0.000	0.000	0.000	0.050	0.000	0.008	0.000	0.000	0.000	0.000	0.000	0.000	Mycoplasma protein of unknown function, DUF285	0.040
PF02255	-	0.000	0.000	0.000	-0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PTS system, Lactose/Cellobiose specific IIA subunit	0.039
PF04820	+	0.000	0.000	0.000	0.000	0.063	0.000	0.146	0.000	0.000	0.000	0.000	0.000	0.000	Tryptophan halogenase	0.038
PF02016	-	0.000	0.000	-0.178	-0.106	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	LD-carboxypeptidase	0.035
PF08448	+	0.000	0.000	0.059	0.000	0.080	0.000	0.055	0.000	0.000	0.000	0.000	0.000	0.000	PAS fold	0.033
PF03013	+	0.027	0.000	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Pyrimidine dimer DNA glycosylase	0.031
PF14399	+	0.000	0.000	0.232	0.146	0.172	0.000	0.193	0.000	0.000	0.000	0.000	0.000	0.000	NlpC/p60-like transpeptidase	0.019
PF11638	+	0.000	0.000	0.019	0.038	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DnaA N-terminal domain	0.014
PF10933	+	0.000	0.000	0.000	0.000	0.327	0.000	0.194	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2827)	0.013
PF06912	-	0.000	0.000	-0.079	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1275)	0.011
PF13345	-	0.000	0.000	-0.048	-0.011	-0.074	0.000	-0.050	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4098)	0.010
PF03237	-	-0.005	0.000	-0.055	-0.071	-0.258	0.000	-0.196	0.000	0.000	0.000	0.000	0.000	0.000	Terminase-like family	0.008
PF13193	+	0.000	0.000	0.102	0.085	0.209	0.000	0.160	0.000	0.000	0.000	0.000	0.000	0.000	AMP-binding enzyme C-terminal domain	0.008
PF03829	-	0.000	0.000	-0.220	-0.046	-0.198	0.000	-0.209	0.000	0.000	0.000	0.000	0.000	0.000	PTS system glucitol/sorbitol-specific IIA component	0.004
PF14864	-	0.000	0.000	0.000	0.000	-0.079	0.000	-0.092	0.000	0.000	0.000	0.000	0.000	0.000	Alkyl sulfatase C-terminal	0.003
PF02056	-	0.000	0.000	0.000	-0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Family 4 glycosyl hydrolase	0.001
