	class	0.7_0	1_0	0.5_0	0.2_0	0.1_0	0.07_0	0.05_0	0.02_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	Pfam_desc	cor
PF10118	+	0.132	0.125	0.114	0.000	0.000	0.000	0.078	0.000	0.000	0.000	0.000	0.000	0.000	Predicted metal-dependent hydrolase	0.814
PF12391	+	0.061	0.077	0.049	0.091	0.130	0.206	0.248	0.220	0.000	0.000	0.000	0.000	0.000	Protocatechuate 3,4-dioxygenase beta subunit N terminal	0.769
PF13298	+	0.065	0.081	0.076	0.037	0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DNA polymerase Ligase (LigD)	0.737
PF13628	+	0.121	0.159	0.097	0.023	0.078	0.171	0.189	0.189	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4142)	0.705
PF03168	+	0.070	0.061	0.078	0.046	0.070	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Late embryogenesis abundant protein	0.691
PF06155	+	0.308	0.369	0.253	0.147	0.044	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF971)	0.675
PF11583	+	0.000	0.000	0.000	0.192	0.054	0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	P-aminobenzoate N-oxygenase AurF	0.657
PF01028	+	0.000	0.000	0.000	0.083	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Eukaryotic DNA topoisomerase I, catalytic core	0.630
PF04185	+	0.181	0.153	0.203	0.258	0.259	0.169	0.065	0.000	0.000	0.000	0.000	0.000	0.000	Phosphoesterase family	0.628
PF09490	+	0.248	0.247	0.247	0.184	0.076	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Probable cobalt transporter subunit (CbtA)	0.606
PF08494	+	0.035	0.001	0.072	0.192	0.318	0.318	0.277	0.037	0.000	0.000	0.000	0.000	0.000	DEAD/H associated	0.588
PF07077	+	0.360	0.358	0.367	0.406	0.400	0.350	0.306	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1345)	0.581
PF10129	+	0.240	0.245	0.205	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	OpgC protein	0.562
PF08450	+	0.184	0.167	0.195	0.236	0.306	0.293	0.275	0.022	0.000	0.000	0.000	0.000	0.000	SMP-30/Gluconolaconase/LRE-like region	0.526
