	class	1_0	0.5_0	0.07_0	0.7_0	0.1_0	0.2_0	0.05_0	0.02_0	0.007_0	0.01_0	0.001_0	0.002_0	0.005_0	Pfam_desc	cor
PF00032	+	0.098	0.000	0.016	0.083	0.000	0.000	0.051	0.125	0.000	0.085	0.000	0.000	0.000	Cytochrome b(C-terminal)/b6/petD	0.805
PF11614	+	1.424	1.327	0.934	1.367	1.049	1.236	0.833	0.488	0.000	0.176	0.000	0.000	0.000	IG-like fold at C-terminal of FixG, putative oxidoreductase	0.798
PF01329	+	0.603	0.655	0.656	0.611	0.738	0.751	0.540	0.149	0.000	0.000	0.000	0.000	0.000	Pterin 4 alpha carbinolamine dehydratase	0.655
PF01068	+	0.001	0.043	0.158	0.075	0.124	0.015	0.153	0.000	0.000	0.000	0.000	0.000	0.000	ATP dependent DNA ligase domain	0.612
PF01292	+	0.025	0.019	0.000	0.000	0.000	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Prokaryotic cytochrome b561	0.575
PF00033	+	0.000	0.000	0.181	0.000	0.110	0.000	0.225	0.158	0.000	0.000	0.000	0.000	0.000	Cytochrome b(N-terminal)/b6/petB	0.572
PF02600	+	0.000	0.000	0.114	0.000	0.093	0.000	0.093	0.000	0.000	0.000	0.000	0.000	0.000	Disulfide bond formation protein DsbB	0.536
PF13386	+	0.000	0.000	0.047	0.000	0.020	0.000	0.062	0.000	0.000	0.000	0.000	0.000	0.000	Cytochrome C biogenesis protein transmembrane region	0.510
PF04820	+	0.063	0.176	0.000	0.161	0.000	0.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tryptophan halogenase	0.493
PF05157	+	0.078	0.033	0.031	0.083	0.029	0.030	0.009	0.000	0.000	0.000	0.000	0.000	0.000	Type II secretion system (T2SS), protein E, N-terminal domain	0.490
PF13356	+	0.232	0.204	0.000	0.276	0.000	0.104	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4102)	0.475
PF03435	+	0.000	0.151	0.144	0.143	0.155	0.144	0.114	0.000	0.000	0.000	0.000	0.000	0.000	Saccharopine dehydrogenase	0.474
PF04982	+	0.172	0.120	0.000	0.129	0.112	0.198	0.000	0.000	0.000	0.000	0.000	0.000	0.000	HPP family	0.462
PF01220	+	0.000	0.000	0.052	0.000	0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Dehydroquinase class II	0.438
PF02754	+	0.000	0.000	0.068	0.000	0.038	0.000	0.053	0.000	0.000	0.000	0.000	0.000	0.000	Cysteine-rich domain	0.438
PF02190	+	0.000	0.000	0.000	0.000	0.012	0.000	0.013	0.000	0.000	0.000	0.000	0.000	0.000	ATP-dependent protease La (LON) domain	0.432
PF13505	+	0.000	0.000	0.017	0.000	0.000	0.056	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Outer membrane protein beta-barrel domain	0.431
PF05726	+	0.039	0.058	0.021	0.097	0.038	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Pirin C-terminal cupin domain	0.413
PF05618	+	0.426	0.222	0.000	0.398	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative ATP-dependant zinc protease	0.408
PF10675	+	0.402	0.306	0.080	0.371	0.376	0.440	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2489)	0.400
PF01078	+	0.000	0.000	0.000	0.001	0.000	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Magnesium chelatase, subunit ChlI	0.385
PF08645	+	0.000	0.000	0.000	0.000	0.020	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Polynucleotide kinase 3 phosphatase	0.376
PF00199	+	0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Catalase	0.364
PF10071	+	1.115	1.044	0.000	0.944	0.000	0.434	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Zn-ribbon-containing, possibly nucleic-acid-binding protein (DUF2310)	0.363
PF13637	+	0.000	0.000	0.009	0.000	0.011	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	Ankyrin repeats (many copies)	0.360
PF04173	+	0.000	0.000	0.052	0.000	0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	TQO small subunit DoxD	0.359
PF01124	+	0.145	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	MAPEG family	0.343
PF06472	+	0.041	0.036	0.000	0.000	0.000	0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ABC transporter transmembrane region 2	0.336
PF09835	+	0.155	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized protein conserved in bacteria (DUF2062)	0.331
PF06628	+	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Catalase-related immune-responsive	0.330
PF04191	+	0.000	0.000	0.002	0.000	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phospholipid methyltransferase	0.329
PF00394	+	0.180	0.136	0.000	0.160	0.011	0.061	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Multicopper oxidase	0.326
PF11870	+	0.000	0.000	0.000	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF3390)	0.324
PF03899	+	0.035	0.092	0.000	0.060	0.008	0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ATP synthase I chain	0.297
PF03413	+	0.207	0.234	0.074	0.211	0.126	0.208	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Peptidase propeptide and YPEB domain	0.297
PF09527	+	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative F0F1-ATPase subunit (ATPase_gene1)	0.296
PF03737	+	0.000	0.000	0.000	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Demethylmenaquinone methyltransferase	0.281
PF02696	+	0.061	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized ACR, YdiU/UPF0061 family	0.281
