	class	1_0	0.7_0	0.5_0	0.2_0	0.05_0	0.1_0	0.07_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	0.02_0	Pfam_desc	cor
PF13166	+	0.000	0.000	0.000	0.027	0.000	0.109	0.044	0.000	0.000	0.000	0.000	0.000	0.000	AAA domain	0.522
PF02355	+	0.000	0.173	0.257	0.304	0.153	0.276	0.160	0.000	0.000	0.000	0.000	0.000	0.000	Protein export membrane protein	0.520
PF04324	+	0.000	0.156	0.121	0.148	0.080	0.059	0.091	0.000	0.000	0.000	0.000	0.000	0.000	BFD-like [2Fe-2S] binding domain	0.496
PF10150	+	0.000	0.000	0.000	0.000	0.054	0.000	0.029	0.000	0.000	0.000	0.000	0.000	0.000	Ribonuclease E/G family	0.491
PF08669	+	0.000	0.000	0.000	0.000	0.147	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycine cleavage T-protein C-terminal barrel domain	0.491
PF03781	+	0.313	0.165	0.175	0.223	0.049	0.241	0.218	0.000	0.000	0.000	0.000	0.000	0.000	Sulfatase-modifying factor enzyme 1	0.467
PF01323	+	0.000	0.000	0.046	0.042	0.000	0.067	0.113	0.000	0.000	0.000	0.000	0.000	0.000	DSBA-like thioredoxin domain	0.463
PF02910	+	0.000	0.000	0.000	0.039	0.075	0.260	0.254	0.000	0.000	0.000	0.000	0.000	0.000	Fumarate reductase flavoprotein C-term	0.436
PF13378	+	0.144	0.000	0.000	0.023	0.000	0.089	0.044	0.000	0.000	0.000	0.000	0.000	0.000	Enolase C-terminal domain-like	0.418
PF00733	+	0.000	0.000	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Asparagine synthase	0.418
PF02900	+	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Catalytic LigB subunit of aromatic ring-opening dioxygenase	0.409
PF01593	+	0.000	0.000	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Flavin containing amine oxidoreductase	0.406
PF01188	+	0.000	0.000	0.000	0.054	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Mandelate racemase / muconate lactonizing enzyme, C-terminal domain	0.385
PF11185	+	0.000	0.000	0.117	0.173	0.000	0.070	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2971)	0.344
PF10604	+	0.387	0.477	0.487	0.541	0.173	0.392	0.322	0.000	0.000	0.000	0.000	0.000	0.000	Polyketide cyclase / dehydrase and lipid transport	0.344
PF07638	+	0.099	0.065	0.067	0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ECF sigma factor	0.342
PF01471	+	0.000	0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative peptidoglycan binding domain	0.329
PF14489	+	0.175	0.177	0.150	0.132	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	QueF-like protein	0.325
PF13263	+	0.603	0.509	0.450	0.312	0.000	0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PHP-associated	0.299
PF03423	+	0.000	0.276	0.166	0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Carbohydrate binding domain (family 25)	0.299
PF13588	+	0.106	0.115	0.066	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Type I restriction enzyme R protein N terminus (HSDR_N)	0.296
PF13428	+	0.235	0.134	0.130	0.007	0.012	0.130	0.126	0.000	0.000	0.000	0.000	0.000	0.000	Tetratricopeptide repeat	0.289
PF05973	+	0.085	0.071	0.091	0.060	0.000	0.053	0.019	0.000	0.000	0.000	0.000	0.000	0.000	Phage derived protein Gp49-like (DUF891)	0.283
PF07833	+	0.195	0.119	0.083	0.057	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Copper amine oxidase N-terminal domain	0.278
PF14907	+	0.250	0.093	0.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterised nucleotidyltransferase	0.278
PF09563	+	0.171	0.099	0.147	0.169	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	LlaJI restriction endonuclease	0.274
PF09707	+	0.019	0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CRISPR-associated protein (Cas_Cas2CT1978)	0.274
PF13855	+	0.000	0.030	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Leucine rich repeat	0.271
PF01758	+	0.000	0.036	0.035	0.073	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Sodium Bile acid symporter family	0.264
PF08645	+	0.000	0.062	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Polynucleotide kinase 3 phosphatase	0.262
PF03600	+	0.154	0.129	0.144	0.047	0.000	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Citrate transporter	0.259
PF06144	+	0.000	0.000	0.045	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DNA polymerase III, delta subunit	0.247
PF13714	+	0.197	0.245	0.221	0.137	0.000	0.062	0.015	0.000	0.000	0.000	0.000	0.000	0.000	Phosphoenolpyruvate phosphomutase	0.239
PF00501	+	0.000	0.000	0.120	0.120	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AMP-binding enzyme	0.223
PF01032	+	1.002	0.298	0.171	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	FecCD transport family	0.223
PF07683	+	0.000	0.000	0.000	0.018	0.000	0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cobalamin synthesis protein cobW C-terminal domain	0.223
PF03008	+	0.000	0.055	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Archaea bacterial proteins of unknown function	0.203
PF12568	+	0.184	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Acetyltransferase (GNAT) domain	0.203
PF02746	+	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Mandelate racemase / muconate lactonizing enzyme, N-terminal domain	0.198
PF00468	+	0.000	0.066	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ribosomal protein L34	0.197
PF01614	+	0.469	0.305	0.295	0.190	0.000	0.141	0.028	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial transcriptional regulator	0.186
PF13193	+	0.000	0.092	0.021	0.070	0.000	0.071	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AMP-binding enzyme C-terminal domain	0.176
PF02870	+	0.082	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6-O-methylguanine DNA methyltransferase, ribonuclease-like domain	0.130
PF09439	+	0.168	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Signal recognition particle receptor beta subunit	0.099
PF02274	+	0.269	0.345	0.330	0.198	0.000	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Amidinotransferase	0.098
PF02624	+	0.233	0.354	0.357	0.284	0.000	0.128	0.000	0.000	0.000	0.000	0.000	0.000	0.000	YcaO-like family	0.092
PF11335	+	0.054	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3137)	0.081
PF09190	+	0.096	0.159	0.126	0.056	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DALR domain	0.081
PF02604	+	0.066	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Antitoxin Phd_YefM, type II toxin-antitoxin system	0.063
PF13787	+	0.000	0.105	0.077	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function with HXXEE motif	0.056
PF03812	+	0.000	0.226	0.218	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2-keto-3-deoxygluconate permease	0.015
PF07090	+	0.000	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1355)	0.011
PF01914	-	0.000	-0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	MarC family integral membrane protein	0.003
PF12895	-	0.000	0.000	-0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Anaphase-promoting complex, cyclosome, subunit 3	0.003
PF01094	+	0.086	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Receptor family ligand binding region	-0.013
PF13521	+	0.000	0.069	0.039	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AAA domain	-0.018
PF09674	-	-0.115	-0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2400)	-0.024
PF01262	-	-0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Alanine dehydrogenase/PNT, C-terminal domain	-0.045
PF05107	-	-0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Family of unknown function (DUF694)	-0.046
PF13277	-	-0.273	-0.082	-0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	YmdB-like protein	-0.059
PF00108	+	0.000	0.274	0.312	0.193	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Thiolase, N-terminal domain	-0.060
PF13591	-	-0.139	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	MerR HTH family regulatory protein	-0.065
PF10551	-	-0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	MULE transposase domain	-0.065
PF03734	-	0.000	-0.101	-0.094	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	L,D-transpeptidase catalytic domain	-0.120
PF03235	-	0.000	-0.053	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function DUF262	-0.129
PF03733	-	-0.156	-0.062	-0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF307)	-0.146
PF13612	-	-0.193	-0.062	-0.110	-0.151	0.000	-0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transposase DDE domain	-0.149
PF00724	-	-0.130	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NADH:flavin oxidoreductase / NADH oxidase family	-0.156
PF02230	-	-0.132	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phospholipase/Carboxylesterase	-0.158
PF01496	-	-0.129	-0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	V-type ATPase 116kDa subunit family	-0.197
PF03814	-	-0.076	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Potassium-transporting ATPase A subunit	-0.202
PF01638	-	0.000	0.000	-0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	HxlR-like helix-turn-helix	-0.207
PF13509	-	-0.203	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	S1 domain	-0.208
PF00596	-	0.000	-0.067	-0.109	-0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Class II Aldolase and Adducin N-terminal domain	-0.208
PF02225	+	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PA domain	-0.209
PF00962	-	0.000	-0.022	0.000	-0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Adenosine/AMP deaminase	-0.234
PF02311	-	0.000	-0.024	-0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AraC-like ligand binding domain	-0.239
PF06293	-	0.000	-0.066	-0.062	-0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Lipopolysaccharide kinase (Kdo/WaaP) family	-0.259
PF02275	-	0.000	-0.115	-0.138	-0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Linear amide C-N hydrolases, choloylglycine hydrolase family	-0.259
PF01076	-	0.000	-0.009	0.000	-0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Plasmid recombination enzyme	-0.275
PF13587	-	-0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	N-terminal domain of DJ-1_PfpI family	-0.292
PF06199	-	0.000	-0.084	-0.072	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage major tail protein 2	-0.292
PF00071	-	-0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ras family	-0.296
PF07022	-	0.000	-0.262	-0.232	-0.078	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacteriophage CI repressor helix-turn-helix domain	-0.298
PF03729	-	-0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Short repeat of unknown function (DUF308)	-0.299
PF05065	-	-0.131	-0.054	-0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage capsid family	-0.325
PF00459	-	-0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Inositol monophosphatase family	-0.363
PF03590	-	-0.118	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Aspartate-ammonia ligase	-0.383
PF06971	-	-0.175	-0.151	-0.097	-0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative DNA-binding protein N-terminus	-0.473
PF01219	-	-0.883	-0.940	-0.849	-0.631	0.000	-0.251	-0.084	0.000	0.000	0.000	0.000	0.000	0.000	Prokaryotic diacylglycerol kinase	-0.626
