	class	0.7_0	0.2_0	0.5_0	0.1_0	1_0	0.07_0	0.05_0	0.02_0	0.01_0	0.001_0	0.002_0	0.005_0	0.007_0	Pfam_desc	cor
PF04295	+	0.220	0.208	0.249	0.181	0.293	0.194	0.218	0.352	0.204	0.000	0.000	0.000	0.000	D-galactarate dehydratase / Altronate hydrolase, C terminus	0.613
PF14310	+	0.153	0.156	0.195	0.171	0.095	0.185	0.202	0.245	0.061	0.000	0.000	0.000	0.000	Fibronectin type III-like domain	0.566
PF06995	+	0.000	0.084	0.000	0.007	0.000	0.088	0.155	0.000	0.000	0.000	0.000	0.000	0.000	Phage P2 GpU	0.531
PF05229	+	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Spore Coat Protein U domain	0.528
PF06719	+	0.098	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AraC-type transcriptional regulator N-terminus	0.519
PF04985	+	0.000	0.000	0.033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage tail tube protein FII	0.514
PF05489	+	0.000	0.000	0.023	0.137	0.000	0.059	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage Tail Protein X	0.514
PF03825	+	0.241	0.229	0.180	0.182	0.330	0.225	0.238	0.194	0.001	0.000	0.000	0.000	0.000	Nucleoside H+ symporter	0.504
PF02610	+	0.079	0.000	0.000	0.000	0.089	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	L-arabinose isomerase	0.499
PF11762	+	0.240	0.181	0.352	0.149	0.356	0.137	0.113	0.000	0.000	0.000	0.000	0.000	0.000	L-arabinose isomerase C-terminal domain	0.499
PF04984	+	0.170	0.195	0.180	0.183	0.230	0.203	0.194	0.154	0.000	0.000	0.000	0.000	0.000	Phage tail sheath protein	0.496
PF00295	+	0.000	0.000	0.000	0.064	0.000	0.090	0.065	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 28	0.496
PF01232	+	0.197	0.238	0.163	0.154	0.262	0.081	0.033	0.000	0.000	0.000	0.000	0.000	0.000	Mannitol dehydrogenase Rossmann domain	0.493
PF07944	+	0.196	0.206	0.217	0.184	0.000	0.135	0.065	0.000	0.000	0.000	0.000	0.000	0.000	Putative glycosyl hydrolase of unknown function (DUF1680)	0.487
PF13229	+	0.069	0.152	0.115	0.110	0.008	0.106	0.128	0.105	0.000	0.000	0.000	0.000	0.000	Right handed beta helix region	0.485
PF08125	+	0.082	0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Mannitol dehydrogenase C-terminal domain	0.484
PF13802	+	0.233	0.245	0.217	0.148	0.202	0.115	0.068	0.000	0.000	0.000	0.000	0.000	0.000	Galactose mutarotase-like	0.470
PF06964	+	0.000	0.174	0.000	0.219	0.110	0.242	0.267	0.000	0.000	0.000	0.000	0.000	0.000	Alpha-L-arabinofuranosidase C-terminus	0.449
PF13391	+	0.000	0.000	0.000	0.056	0.000	0.105	0.121	0.000	0.000	0.000	0.000	0.000	0.000	HNH endonuclease	0.448
PF08450	+	0.181	0.148	0.152	0.000	0.241	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	SMP-30/Gluconolaconase/LRE-like region	0.446
PF02694	+	0.000	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterised BCR, YnfA/UPF0060 family	0.438
PF04616	+	0.231	0.105	0.079	0.076	0.214	0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 43	0.430
PF07582	+	0.140	0.000	0.200	0.175	0.000	0.178	0.194	0.000	0.000	0.000	0.000	0.000	0.000	AP endonuclease family 2 C terminus	0.418
PF08379	+	0.302	0.000	0.260	0.165	0.000	0.133	0.078	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial transglutaminase-like N-terminal region	0.418
PF05195	+	0.053	0.000	0.000	0.000	0.033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Aminopeptidase P, N-terminal domain	0.415
PF02614	+	0.000	0.000	0.000	0.000	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glucuronate isomerase	0.407
PF02659	+	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function DUF	0.403
PF00182	+	0.000	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Chitinase class I	0.403
PF04168	+	0.000	0.288	0.000	0.000	0.331	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	A predicted alpha-helical domain with a conserved ER motif.	0.403
PF11198	+	0.434	0.204	0.367	0.121	0.487	0.040	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2857)	0.402
PF01081	+	0.068	0.000	0.080	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	KDPG and KHG aldolase	0.400
PF02746	+	0.000	0.000	0.000	0.000	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Mandelate racemase / muconate lactonizing enzyme, N-terminal domain	0.399
PF04230	+	0.000	0.000	0.022	0.038	0.000	0.036	0.014	0.000	0.000	0.000	0.000	0.000	0.000	Polysaccharide pyruvyl transferase	0.394
PF08401	+	0.000	0.272	0.288	0.273	0.000	0.255	0.184	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF1738)	0.388
PF14535	+	0.000	0.002	0.038	0.000	0.139	0.005	0.027	0.000	0.000	0.000	0.000	0.000	0.000	AMP-binding enzyme C-terminal domain	0.388
PF07196	+	0.000	0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Flagellin hook IN motif	0.387
PF04492	+	0.351	0.261	0.394	0.145	0.262	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacteriophage replication protein O	0.387
PF00959	+	0.068	0.000	0.007	0.000	0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage lysozyme	0.376
PF01008	+	0.047	0.000	0.000	0.000	0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Initiation factor 2 subunit family	0.367
PF12708	+	0.218	0.141	0.132	0.111	0.000	0.060	0.030	0.000	0.000	0.000	0.000	0.000	0.000	Pectate lyase superfamily protein	0.362
