	class	0.7_0	0.2_0	0.5_0	1_0	0.1_0	0.05_0	0.07_0	0.02_0	0.005_0	0.01_0	0.007_0	0.001_0	0.002_0	Pfam_desc	cor
PF00251	+	0.070	0.145	0.134	0.064	0.210	0.261	0.250	0.201	0.000	0.039	0.000	0.000	0.000	Glycosyl hydrolases family 32 N-terminal domain	0.567
PF01228	+	0.112	0.000	0.046	0.000	0.028	0.085	0.065	0.142	0.000	0.123	0.033	0.000	0.000	Glycine radical	0.554
PF01238	+	0.030	0.119	0.082	0.000	0.174	0.193	0.188	0.149	0.000	0.080	0.000	0.000	0.000	Phosphomannose isomerase type I	0.531
PF05116	+	0.000	0.000	0.018	0.000	0.000	0.000	0.000	0.082	0.000	0.080	0.047	0.000	0.000	Sucrose-6F-phosphate phosphohydrolase	0.527
PF01263	+	0.090	0.110	0.165	0.048	0.104	0.095	0.105	0.050	0.000	0.041	0.000	0.000	0.000	Aldose 1-epimerase	0.508
PF02836	+	0.000	0.056	0.000	0.065	0.077	0.091	0.089	0.104	0.000	0.011	0.000	0.000	0.000	Glycosyl hydrolases family 2, TIM barrel domain	0.500
PF02837	+	0.063	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 2, sugar binding domain	0.489
PF03932	+	0.067	0.000	0.000	0.137	0.043	0.079	0.076	0.019	0.000	0.000	0.000	0.000	0.000	CutC family	0.461
PF00532	+	0.135	0.000	0.094	0.145	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Periplasmic binding proteins and sugar binding domain of LacI family	0.451
PF13377	+	0.118	0.000	0.169	0.339	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Periplasmic binding protein-like domain	0.448
PF00230	+	0.000	0.010	0.054	0.002	0.014	0.009	0.013	0.000	0.000	0.000	0.000	0.000	0.000	Major intrinsic protein	0.399
PF02449	+	0.164	0.069	0.097	0.124	0.043	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Beta-galactosidase	0.390
PF01418	+	0.475	0.331	0.417	0.430	0.217	0.153	0.174	0.130	0.000	0.067	0.000	0.000	0.000	Helix-turn-helix domain, rpiR family	0.385
PF00393	+	0.169	0.136	0.000	0.000	0.058	0.048	0.022	0.060	0.000	0.000	0.000	0.000	0.000	6-phosphogluconate dehydrogenase, C-terminal domain	0.383
PF07702	+	0.285	0.182	0.249	0.337	0.104	0.009	0.054	0.000	0.000	0.000	0.000	0.000	0.000	UTRA domain	0.374
PF08211	+	0.100	0.215	0.142	0.038	0.117	0.081	0.103	0.000	0.000	0.000	0.000	0.000	0.000	Cytidine and deoxycytidylate deaminase zinc-binding region	0.369
PF00186	+	0.000	0.000	0.000	0.000	0.040	0.051	0.089	0.000	0.000	0.000	0.000	0.000	0.000	Dihydrofolate reductase	0.364
PF02446	+	0.814	0.681	0.687	0.781	0.586	0.445	0.513	0.143	0.000	0.000	0.000	0.000	0.000	4-alpha-glucanotransferase	0.359
PF03610	+	0.013	0.000	0.005	0.061	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PTS system fructose IIA component	0.344
PF13735	+	0.106	0.116	0.000	0.034	0.120	0.122	0.092	0.015	0.000	0.000	0.000	0.000	0.000	tRNA nucleotidyltransferase domain 2 putative	0.340
PF00854	+	0.000	0.013	0.051	0.035	0.018	0.000	0.014	0.000	0.000	0.000	0.000	0.000	0.000	POT family	0.336
PF13189	+	0.032	0.000	0.000	0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cytidylate kinase-like family	0.330
PF01915	+	0.411	0.355	0.435	0.400	0.302	0.243	0.297	0.069	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolase family 3 C-terminal domain	0.323
PF05656	+	0.051	0.000	0.000	0.072	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF805)	0.322
