	class	0.5_0	0.7_0	1_0	0.2_0	0.1_0	0.05_0	0.07_0	0.02_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	Pfam_desc	cor
PF14241	+	0.000	0.000	0.000	0.000	0.054	0.000	0.090	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4341)	0.734
PF05724	+	0.302	0.293	0.256	0.401	0.468	0.493	0.512	0.211	0.000	0.000	0.000	0.000	0.000	Thiopurine S-methyltransferase (TPMT)	0.697
PF13661	+	0.461	0.410	0.337	0.507	0.504	0.237	0.374	0.000	0.000	0.000	0.000	0.000	0.000	2OG-Fe(II) oxygenase superfamily	0.665
PF04377	+	0.186	0.126	0.191	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Arginine-tRNA-protein transferase, C terminus	0.636
PF04376	+	0.000	0.118	0.164	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Arginine-tRNA-protein transferase, N terminus	0.636
PF12973	+	0.248	0.252	0.259	0.157	0.061	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ChrR Cupin-like domain	0.627
PF13745	+	0.000	0.000	0.000	0.117	0.172	0.089	0.141	0.000	0.000	0.000	0.000	0.000	0.000	HxxPF-repeated domain	0.621
PF00850	+	0.128	0.136	0.136	0.170	0.131	0.120	0.122	0.000	0.000	0.000	0.000	0.000	0.000	Histone deacetylase domain	0.572
PF04191	+	0.015	0.000	0.000	0.104	0.131	0.116	0.110	0.000	0.000	0.000	0.000	0.000	0.000	Phospholipid methyltransferase	0.556
PF09413	+	0.240	0.266	0.274	0.139	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF2007)	0.542
PF03413	+	0.030	0.045	0.031	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Peptidase propeptide and YPEB domain	0.540
PF11744	+	0.000	0.000	0.000	0.000	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Aluminium activated malate transporter	0.528
PF09917	+	0.000	0.000	0.000	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized protein conserved in bacteria (DUF2147)	0.504
PF08449	+	1.005	0.956	0.905	0.897	0.558	0.000	0.357	0.000	0.000	0.000	0.000	0.000	0.000	UAA transporter family	0.503
PF05922	+	0.000	0.040	0.063	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Peptidase inhibitor I9	0.497
PF04072	+	0.000	0.000	0.007	0.004	0.019	0.000	0.033	0.000	0.000	0.000	0.000	0.000	0.000	Leucine carboxyl methyltransferase	0.478
PF03583	+	0.144	0.116	0.114	0.152	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Secretory lipase	0.460
PF04214	+	0.019	0.000	0.000	0.066	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function, DUF	0.453
PF12787	+	0.000	0.000	0.043	0.000	0.000	0.108	0.036	0.000	0.000	0.000	0.000	0.000	0.000	EcsC protein family	0.453
PF00080	+	0.000	0.000	0.000	0.003	0.054	0.077	0.057	0.000	0.000	0.000	0.000	0.000	0.000	Copper/zinc superoxide dismutase (SODC)	0.439
PF00668	+	0.145	0.166	0.189	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Condensation domain	0.432
PF02805	+	0.061	0.080	0.146	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Metal binding domain of Ada	0.424
PF06056	+	0.000	0.000	0.000	0.000	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative ATPase subunit of terminase (gpP-like)	0.380
