	class	0.2_0	1_0	0.5_0	0.7_0	0.1_0	0.07_0	0.02_0	0.01_0	0.05_0	0.007_0	0.001_0	0.002_0	0.005_0	Pfam_desc	cor
PF00703	+	0.294	0.247	0.305	0.189	0.325	0.349	0.440	0.299	0.338	0.106	0.000	0.000	0.000	Glycosyl hydrolases family 2	0.573
PF03051	+	0.136	0.186	0.119	0.075	0.196	0.204	0.089	0.000	0.189	0.000	0.000	0.000	0.000	Peptidase C1-like family	0.549
PF08244	+	0.074	0.000	0.053	0.081	0.134	0.175	0.120	0.000	0.199	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 32 C terminal	0.517
PF13906	+	0.134	0.000	0.107	0.079	0.155	0.205	0.140	0.000	0.204	0.000	0.000	0.000	0.000	C-terminus of AA_permease	0.488
PF06824	+	0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1237)	0.485
PF04616	+	0.325	0.352	0.420	0.394	0.291	0.284	0.139	0.000	0.286	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 43	0.477
PF02929	+	0.363	0.430	0.446	0.501	0.245	0.136	0.000	0.000	0.134	0.000	0.000	0.000	0.000	Beta galactosidase small chain	0.454
PF01154	+	0.016	0.078	0.000	0.094	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Hydroxymethylglutaryl-coenzyme A synthase N terminal	0.435
PF13636	-	-0.065	0.000	-0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	pre-rRNA processing and ribosome biogenesis	0.432
PF04854	+	0.000	0.000	0.070	0.122	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function, DUF624	0.427
PF02903	+	0.000	0.000	0.000	0.000	0.064	0.054	0.000	0.000	0.073	0.000	0.000	0.000	0.000	Alpha amylase, N-terminal ig-like domain	0.422
PF08532	+	0.075	0.185	0.137	0.203	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Beta-galactosidase trimerisation domain	0.392
PF00401	+	0.000	0.034	0.000	0.000	0.134	0.171	0.115	0.000	0.192	0.000	0.000	0.000	0.000	ATP synthase, Delta/Epsilon chain, long alpha-helix domain	0.387
PF14498	+	0.000	0.183	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolase family 65, N-terminal domain	0.386
PF02901	+	0.000	0.125	0.018	0.096	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Pyruvate formate lyase	0.362
PF11694	+	0.083	0.000	0.000	0.000	0.000	0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3290)	0.358
PF08455	+	0.000	0.013	0.000	0.033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial SNF2 helicase associated	0.344
PF01263	+	0.003	0.004	0.000	0.000	0.035	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Aldose 1-epimerase	0.337
PF07929	+	0.006	0.000	0.000	0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Plasmid pRiA4b ORF-3-like protein	0.327
PF07944	+	0.392	0.268	0.426	0.303	0.242	0.116	0.000	0.000	0.003	0.000	0.000	0.000	0.000	Putative glycosyl hydrolase of unknown function (DUF1680)	0.326
PF02486	+	0.010	0.000	0.000	0.033	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Replication initiation factor	0.323
PF07532	+	0.075	0.120	0.033	0.052	0.135	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial Ig-like domain (group 4)	0.319
PF13248	+	0.000	0.000	0.000	0.000	0.031	0.057	0.000	0.000	0.079	0.000	0.000	0.000	0.000	zinc-ribbon domain	0.313
PF01487	+	0.000	0.000	0.027	0.099	0.039	0.027	0.000	0.000	0.012	0.000	0.000	0.000	0.000	Type I 3-dehydroquinase	0.311
PF04205	+	0.140	0.118	0.131	0.189	0.147	0.027	0.000	0.000	0.023	0.000	0.000	0.000	0.000	FMN-binding domain	0.310
PF00413	+	0.000	0.000	0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Matrixin	0.306
PF03590	+	0.039	0.000	0.047	0.000	0.000	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Aspartate-ammonia ligase	0.298
PF13173	+	0.053	0.002	0.000	0.000	0.000	0.085	0.000	0.000	0.022	0.000	0.000	0.000	0.000	AAA domain	0.296
PF06962	+	0.260	0.258	0.270	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative rRNA methylase	0.286
PF02475	+	0.000	0.156	0.041	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Met-10+ like-protein	0.283
PF00722	+	0.050	0.000	0.000	0.000	0.034	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 16	0.273
PF00532	+	0.000	0.033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Periplasmic binding proteins and sugar binding domain of LacI family	0.272
PF14393	+	0.223	0.434	0.336	0.421	0.080	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4422)	0.272
PF13154	+	0.014	0.109	0.031	0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3991)	0.272
PF13088	+	0.165	0.202	0.212	0.185	0.184	0.123	0.000	0.000	0.082	0.000	0.000	0.000	0.000	BNR repeat-like domain	0.272
PF03050	+	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transposase IS66 family	0.267
PF01928	+	0.032	0.000	0.000	0.000	0.035	0.024	0.000	0.000	0.013	0.000	0.000	0.000	0.000	CYTH domain	0.266
PF12733	+	0.111	0.134	0.078	0.091	0.082	0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cadherin-like beta sandwich domain	0.262
PF01915	+	0.000	0.091	0.039	0.072	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolase family 3 C-terminal domain	0.257
PF13377	+	0.000	0.123	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Periplasmic binding protein-like domain	0.257
PF02595	+	0.004	0.157	0.000	0.092	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycerate kinase family	0.257
PF01289	+	0.125	0.000	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Thiol-activated cytolysin	0.254
PF06874	+	0.196	0.165	0.220	0.212	0.168	0.122	0.000	0.000	0.052	0.000	0.000	0.000	0.000	Firmicute fructose-1,6-bisphosphatase	0.250
