	class	0.2_0	0.1_0	0.07_0	0.05_0	0.7_0	0.5_0	1_0	0.02_0	0.01_0	0.007_0	0.001_0	0.002_0	0.005_0	Pfam_desc	cor
PF11762	+	1.404	1.366	1.301	1.202	1.416	1.401	1.381	0.827	0.409	0.152	0.000	0.000	0.000	L-arabinose isomerase C-terminal domain	0.841
PF04295	+	0.183	0.119	0.089	0.132	0.223	0.201	0.335	0.184	0.000	0.000	0.000	0.000	0.000	D-galactarate dehydratase / Altronate hydrolase, C terminus	0.585
PF01011	+	0.032	0.000	0.000	0.000	0.218	0.203	0.212	0.000	0.000	0.000	0.000	0.000	0.000	PQQ enzyme repeat	0.582
PF13802	+	0.058	0.028	0.000	0.000	0.076	0.074	0.130	0.000	0.000	0.000	0.000	0.000	0.000	Galactose mutarotase-like	0.546
PF11941	+	0.121	0.145	0.125	0.073	0.034	0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF3459)	0.534
PF14310	+	0.000	0.024	0.054	0.070	0.000	0.000	0.000	0.023	0.000	0.000	0.000	0.000	0.000	Fibronectin type III-like domain	0.514
PF08362	+	0.000	0.000	0.000	0.000	0.086	0.055	0.181	0.000	0.000	0.000	0.000	0.000	0.000	YcdC-like protein, C-terminal region	0.506
PF00930	+	0.000	0.000	0.000	0.000	0.180	0.158	0.257	0.000	0.000	0.000	0.000	0.000	0.000	Dipeptidyl peptidase IV (DPP IV) N-terminal region	0.470
PF06964	+	0.242	0.167	0.125	0.047	0.268	0.256	0.316	0.000	0.000	0.000	0.000	0.000	0.000	Alpha-L-arabinofuranosidase C-terminus	0.465
PF01963	+	0.125	0.167	0.200	0.207	0.125	0.119	0.177	0.090	0.000	0.000	0.000	0.000	0.000	TraB family	0.433
PF02929	-	0.000	0.000	0.000	0.000	-0.066	-0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Beta galactosidase small chain	0.417
PF01614	+	0.011	0.048	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial transcriptional regulator	0.416
PF00982	+	0.000	0.000	0.031	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyltransferase family 20	0.398
PF06276	+	0.228	0.027	0.000	0.000	0.367	0.342	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ferric iron reductase FhuF-like transporter	0.379
PF10694	-	0.000	0.000	0.000	0.000	-0.015	0.000	-0.107	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2500)	0.372
PF01931	-	0.000	0.000	0.000	0.000	-0.190	-0.125	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function DUF84	0.356
PF04230	+	0.099	0.020	0.000	0.000	0.177	0.155	0.195	0.000	0.000	0.000	0.000	0.000	0.000	Polysaccharide pyruvyl transferase	0.350
PF02381	+	0.000	0.000	0.000	0.000	0.061	0.029	0.153	0.000	0.000	0.000	0.000	0.000	0.000	MraZ protein	0.342
PF12835	+	0.337	0.416	0.439	0.415	0.267	0.266	0.343	0.000	0.000	0.000	0.000	0.000	0.000	Integrase	0.340
PF01566	+	0.034	0.000	0.000	0.000	0.111	0.102	0.120	0.000	0.000	0.000	0.000	0.000	0.000	Natural resistance-associated macrophage protein	0.325
PF07005	+	0.232	0.213	0.179	0.102	0.175	0.192	0.150	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function, DUF1537	0.323
PF02586	+	0.000	0.000	0.000	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterised ACR, COG2135	0.318
PF03551	+	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transcriptional regulator PadR-like family	0.310
PF06808	+	0.059	0.000	0.000	0.000	0.138	0.122	0.190	0.000	0.000	0.000	0.000	0.000	0.000	DctM-like transporters	0.306
PF07015	+	0.054	0.007	0.000	0.000	0.019	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	VirC1 protein	0.303
PF00135	+	0.031	0.004	0.000	0.000	0.074	0.065	0.152	0.000	0.000	0.000	0.000	0.000	0.000	Carboxylesterase family	0.297
PF02595	+	0.017	0.000	0.000	0.000	0.001	0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycerate kinase family	0.281
PF13565	+	0.000	0.000	0.000	0.000	0.047	0.022	0.129	0.000	0.000	0.000	0.000	0.000	0.000	Homeodomain-like domain	0.268
PF13005	+	0.117	0.099	0.102	0.053	0.062	0.076	0.054	0.000	0.000	0.000	0.000	0.000	0.000	zinc-finger binding domain of transposase IS66	0.266
PF00848	+	0.000	0.000	0.000	0.000	0.012	0.000	0.084	0.000	0.000	0.000	0.000	0.000	0.000	Ring hydroxylating alpha subunit (catalytic domain)	0.266
PF10145	+	0.037	0.019	0.000	0.000	0.040	0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage-related minor tail protein	0.259
PF01627	-	0.000	0.000	0.000	0.000	-0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Hpt domain	0.258
PF05534	+	0.004	0.009	0.000	0.000	0.000	0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	HicB family	0.249
PF01472	-	-0.007	0.000	0.000	0.000	-0.037	-0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PUA domain	0.247
PF05985	+	0.000	0.000	0.000	0.000	0.038	0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ethanolamine ammonia-lyase light chain (EutC)	0.247
PF14497	-	0.000	0.000	0.000	0.000	-0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glutathione S-transferase, C-terminal domain	0.244
PF00703	-	0.000	0.000	0.000	0.000	-0.025	-0.070	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 2	0.244
PF01081	-	-0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	KDPG and KHG aldolase	0.241
PF13391	+	0.000	0.000	0.000	0.000	0.034	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	HNH endonuclease	0.237
PF13744	-	0.000	0.000	0.000	0.000	-0.016	-0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Helix-turn-helix domain	0.236
PF13434	+	0.203	0.091	0.016	0.000	0.323	0.276	0.290	0.000	0.000	0.000	0.000	0.000	0.000	L-lysine 6-monooxygenase (NADPH-requiring)	0.232
PF00296	+	0.000	0.000	0.000	0.000	0.079	0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Luciferase-like monooxygenase	0.219
PF11373	+	0.139	0.138	0.112	0.000	0.088	0.070	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3175)	0.213
PF08323	+	0.219	0.084	0.000	0.000	0.272	0.242	0.283	0.000	0.000	0.000	0.000	0.000	0.000	Starch synthase catalytic domain	0.211
PF11902	+	0.000	0.080	0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3422)	0.210
PF10263	+	0.000	0.000	0.000	0.000	0.014	0.040	0.033	0.000	0.000	0.000	0.000	0.000	0.000	SprT-like family	0.195
PF03320	-	0.000	0.000	0.000	0.000	-0.026	-0.041	-0.135	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial fructose-1,6-bisphosphatase, glpX-encoded	0.195
PF00394	-	-0.021	0.000	0.000	0.000	-0.121	-0.130	-0.124	0.000	0.000	0.000	0.000	0.000	0.000	Multicopper oxidase	0.192
PF05145	+	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative ammonia monooxygenase	0.190
PF02219	-	0.000	0.000	0.000	0.000	-0.082	-0.078	-0.175	0.000	0.000	0.000	0.000	0.000	0.000	Methylenetetrahydrofolate reductase	0.190
PF01324	+	0.000	0.000	0.000	0.000	0.363	0.196	0.456	0.000	0.000	0.000	0.000	0.000	0.000	Diphtheria toxin, R domain	0.182
PF02763	+	0.022	0.000	0.000	0.000	0.125	0.005	0.282	0.000	0.000	0.000	0.000	0.000	0.000	Diphtheria toxin, C domain	0.182
PF04402	-	0.000	0.000	0.000	0.000	-0.108	-0.073	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF541)	0.181
PF12696	+	0.000	0.000	0.000	0.000	0.043	0.000	0.142	0.000	0.000	0.000	0.000	0.000	0.000	TraM recognition site of TraD and TraG	0.179
PF13628	+	0.000	0.000	0.024	0.066	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4142)	0.177
PF12281	+	0.159	0.063	0.000	0.000	0.299	0.266	0.404	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3620)	0.170
PF03773	+	0.000	0.000	0.000	0.000	0.091	0.052	0.058	0.000	0.000	0.000	0.000	0.000	0.000	Predicted permease	0.169
PF02733	+	0.030	0.000	0.000	0.000	0.000	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Dak1 domain	0.165
PF10387	+	0.000	0.000	0.000	0.000	0.121	0.092	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2442)	0.158
PF09413	+	0.370	0.190	0.065	0.000	0.569	0.533	0.472	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF2007)	0.158
PF05988	+	0.000	0.000	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial protein of unknown function (DUF899)	0.154
PF03613	-	0.000	0.000	0.000	0.000	-0.010	0.000	-0.091	0.000	0.000	0.000	0.000	0.000	0.000	PTS system mannose/fructose/sorbose family IID component	0.153
PF06628	-	-0.018	0.000	0.000	0.000	-0.163	-0.171	-0.234	0.000	0.000	0.000	0.000	0.000	0.000	Catalase-related immune-responsive	0.149
PF03830	-	-0.043	0.000	0.000	0.000	0.000	-0.022	-0.030	0.000	0.000	0.000	0.000	0.000	0.000	PTS system sorbose subfamily IIB component	0.148
PF07748	-	0.000	0.000	0.000	0.000	-0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 38 C-terminal domain	0.146
PF00732	-	0.000	0.000	0.000	0.000	-0.035	-0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GMC oxidoreductase	0.139
PF00190	+	0.000	0.000	0.000	0.000	0.100	0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cupin	0.131
PF13470	+	0.104	0.163	0.142	0.105	0.000	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PIN domain	0.131
