	class	1_0	0.5_0	0.7_0	0.1_0	0.2_0	0.05_0	0.07_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	0.02_0	Pfam_desc	cor
PF02872	+	0.937	0.943	0.971	0.731	0.906	0.497	0.594	0.000	0.000	0.000	0.000	0.000	0.247	5'-nucleotidase, C-terminal domain	0.589
PF03767	+	0.000	0.103	0.088	0.117	0.196	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	HAD superfamily, subfamily IIIB (Acid phosphatase)	0.481
PF13172	+	0.000	0.000	0.000	0.090	0.084	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PepSY-associated TM helix	0.414
PF01075	+	0.000	0.040	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyltransferase family 9 (heptosyltransferase)	0.385
PF00485	+	0.031	0.000	0.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phosphoribulokinase / Uridine kinase family	0.354
PF13905	+	0.402	0.497	0.410	0.024	0.201	0.063	0.038	0.000	0.000	0.000	0.000	0.000	0.000	Thioredoxin-like	0.350
PF01738	+	0.089	0.089	0.066	0.000	0.000	0.000	0.022	0.000	0.000	0.000	0.000	0.000	0.000	Dienelactone hydrolase family	0.348
PF00756	+	0.136	0.000	0.000	0.000	0.000	0.099	0.050	0.000	0.000	0.000	0.000	0.000	0.000	Putative esterase	0.347
PF01906	+	0.000	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative heavy-metal-binding	0.328
PF13519	+	0.150	0.091	0.133	0.093	0.075	0.008	0.071	0.000	0.000	0.000	0.000	0.000	0.000	von Willebrand factor type A domain	0.324
PF02353	+	0.000	0.000	0.000	0.106	0.000	0.141	0.166	0.000	0.000	0.000	0.000	0.000	0.000	Mycolic acid cyclopropane synthetase	0.320
PF01551	+	0.000	0.000	0.000	0.047	0.000	0.110	0.085	0.000	0.000	0.000	0.000	0.000	0.000	Peptidase family M23	0.320
PF00723	+	0.231	0.077	0.105	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 15	0.303
PF08211	+	0.237	0.333	0.347	0.305	0.353	0.077	0.198	0.000	0.000	0.000	0.000	0.000	0.000	Cytidine and deoxycytidylate deaminase zinc-binding region	0.300
PF07819	+	0.382	0.413	0.429	0.128	0.279	0.000	0.016	0.000	0.000	0.000	0.000	0.000	0.000	PGAP1-like protein	0.289
PF10423	+	0.000	0.000	0.160	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial AMP nucleoside phosphorylase N-terminus	0.277
PF13545	+	0.190	0.090	0.122	0.031	0.031	0.000	0.025	0.000	0.000	0.000	0.000	0.000	0.000	Crp-like helix-turn-helix domain	0.256
PF13280	+	0.000	0.000	0.000	0.000	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	WYL domain	0.256
PF01192	+	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	RNA polymerase Rpb6	0.256
PF04140	+	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Isoprenylcysteine carboxyl methyltransferase (ICMT) family	0.253
PF13506	+	0.032	0.026	0.032	0.000	0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl transferase family 21	0.251
PF12481	+	0.165	0.124	0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Aluminium induced protein	0.250
PF08363	+	0.347	0.264	0.285	0.000	0.121	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glucan-binding protein C	0.250
PF07786	+	0.144	0.189	0.214	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1624)	0.250
PF01464	+	0.000	0.000	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transglycosylase SLT domain	0.238
PF03824	+	0.112	0.155	0.147	0.000	0.091	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	High-affinity nickel-transport protein	0.230
PF01597	+	0.000	0.049	0.000	0.000	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycine cleavage H-protein	0.221
PF14399	+	0.000	0.000	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NlpC/p60-like transpeptidase	0.221
PF12846	+	0.104	0.071	0.104	0.089	0.074	0.026	0.050	0.000	0.000	0.000	0.000	0.000	0.000	AAA-like domain	0.213
PF01262	+	0.245	0.196	0.165	0.041	0.208	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Alanine dehydrogenase/PNT, C-terminal domain	0.192
PF13601	+	0.000	0.073	0.086	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Winged helix DNA-binding domain	0.189
PF03848	+	0.008	0.149	0.131	0.097	0.186	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tellurite resistance protein TehB	0.189
PF14559	+	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tetratricopeptide repeat	0.189
PF13500	+	0.385	0.363	0.391	0.246	0.328	0.020	0.142	0.000	0.000	0.000	0.000	0.000	0.000	AAA domain	0.189
PF13185	+	0.216	0.036	0.123	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GAF domain	0.189
PF13632	+	0.000	0.049	0.082	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl transferase family group 2	0.173
PF03949	+	0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Malic enzyme, NAD binding domain	0.173
PF02347	+	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycine cleavage system P-protein	0.158
PF13515	+	0.158	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Fusaric acid resistance protein-like	0.146
PF01730	+	0.049	0.000	0.000	0.000	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	UreF	0.139
PF05015	-	0.000	0.000	-0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Plasmid maintenance system killer protein	0.107
PF00311	-	-0.346	-0.241	-0.302	0.000	-0.106	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phosphoenolpyruvate carboxylase	0.094
PF00515	+	0.000	0.025	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tetratricopeptide repeat	0.094
