	class	0.1_0	0.5_0	0.2_0	0.7_0	1_0	0.07_0	0.05_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	0.02_0	Pfam_desc	cor
PF11074	+	0.469	0.522	0.493	0.735	0.537	0.387	0.221	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function(DUF2779)	0.475
PF07672	+	0.000	0.109	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Mycoplasma MFS transporter	0.406
PF13118	+	0.000	0.000	0.000	0.000	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3972)	0.351
PF08966	+	0.000	0.000	0.000	0.046	0.088	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF1882)	0.351
PF10788	+	0.000	0.067	0.000	0.151	0.148	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2603)	0.351
PF03498	+	0.000	0.000	0.000	0.000	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cytolethal distending toxin A/C family	0.250
PF14131	+	0.269	0.315	0.288	0.321	0.371	0.230	0.083	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4298)	0.249
PF13252	+	0.000	0.286	0.105	0.381	0.268	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF4043)	0.231
PF07669	+	0.193	0.161	0.189	0.000	0.000	0.189	0.173	0.000	0.000	0.000	0.000	0.000	0.000	Eco57I restriction-modification methylase	0.217
PF09936	+	0.000	0.136	0.002	0.230	0.114	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	SAM-dependent RNA methyltransferase	0.193
PF13277	+	0.071	0.035	0.154	0.000	0.135	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	YmdB-like protein	0.185
PF13086	+	0.000	0.162	0.064	0.189	0.190	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AAA domain	0.184
PF10119	+	0.153	0.330	0.267	0.340	0.462	0.124	0.124	0.000	0.000	0.000	0.000	0.000	0.000	Predicted methyltransferase regulatory domain	0.181
PF13173	+	0.054	0.006	0.000	0.000	0.000	0.030	0.027	0.000	0.000	0.000	0.000	0.000	0.000	AAA domain	0.160
PF09527	+	0.000	0.000	0.008	0.046	0.056	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative F0F1-ATPase subunit (ATPase_gene1)	0.160
PF01921	+	0.000	0.076	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	tRNA synthetases class I (K)	0.142
PF00719	+	0.298	0.255	0.251	0.283	0.217	0.291	0.242	0.000	0.000	0.000	0.000	0.000	0.017	Inorganic pyrophosphatase	0.132
PF05990	+	0.000	0.142	0.069	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Alpha/beta hydrolase of unknown function (DUF900)	0.124
PF05860	+	0.236	0.175	0.206	0.212	0.163	0.203	0.058	0.000	0.000	0.000	0.000	0.000	0.000	haemagglutination activity domain	0.107
PF12762	+	0.000	0.000	0.000	0.066	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ISXO2-like transposase domain	0.107
PF10592	+	0.176	0.260	0.246	0.267	0.278	0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AIPR protein	0.100
PF13505	+	0.028	0.123	0.039	0.250	0.160	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Outer membrane protein beta-barrel domain	0.098
PF08439	+	0.000	0.000	0.003	0.000	0.054	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Oligopeptidase F	0.091
PF09848	+	0.089	0.085	0.135	0.000	0.119	0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized conserved protein (DUF2075)	0.085
PF13346	+	0.000	0.016	0.013	0.069	0.082	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ABC-2 family transporter protein	0.085
PF05658	+	0.064	0.092	0.062	0.062	0.096	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Head domain of trimeric autotransporter adhesin	0.083
PF06230	+	0.000	0.000	0.000	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1009)	0.081
PF02677	+	0.014	0.000	0.042	0.000	0.000	0.023	0.021	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized BCR, COG1636	0.072
PF02794	+	0.000	0.000	0.000	0.070	0.096	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	RTX toxin acyltransferase family	0.072
PF13310	+	0.227	0.263	0.265	0.177	0.209	0.153	0.018	0.000	0.000	0.000	0.000	0.000	0.000	Virulence protein RhuM family	0.071
PF04830	+	0.000	0.000	0.000	0.121	0.083	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Possible hemagglutinin (DUF637)	0.065
PF08346	+	0.120	0.245	0.236	0.283	0.334	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AntA/AntB antirepressor	0.062
PF09439	+	0.094	0.228	0.166	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Signal recognition particle receptor beta subunit	0.062
PF13726	+	0.000	0.148	0.131	0.153	0.181	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Na+-H+ antiporter family	0.060
PF03672	+	0.000	0.000	0.000	0.000	0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterised protein family (UPF0154)	0.052
PF03968	+	0.047	0.168	0.236	0.000	0.130	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	OstA-like protein	0.042
