	class	1_0	0.2_0	0.5_0	0.7_0	0.1_0	0.07_0	0.005_0	0.007_0	0.01_0	0.02_0	0.05_0	0.001_0	0.002_0	Pfam_desc	cor
PF13677	+	0.119	0.227	0.152	0.075	0.309	0.305	0.000	0.000	0.052	0.234	0.302	0.000	0.000	Membrane MotB of proton-channel complex MotA/MotB	0.803
PF03963	+	0.000	0.108	0.222	0.000	0.256	0.393	0.224	0.284	0.391	0.482	0.511	0.000	0.000	Flagellar hook capping protein - N-terminal region	0.802
PF02561	+	0.397	0.273	0.000	0.467	0.325	0.410	0.000	0.000	0.079	0.258	0.402	0.000	0.000	Flagellar protein FliS	0.796
PF02050	+	0.714	0.583	0.738	0.697	0.309	0.174	0.000	0.000	0.000	0.000	0.072	0.000	0.000	Flagellar FliJ protein	0.724
PF07559	+	0.166	0.086	0.154	0.236	0.066	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Flagellar basal body protein FlaE	0.681
PF07238	+	0.053	0.000	0.000	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PilZ domain	0.590
PF02743	+	0.000	0.000	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cache domain	0.561
PF08269	+	0.032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cache domain	0.557
PF13682	+	0.143	0.080	0.139	0.136	0.084	0.073	0.000	0.000	0.000	0.000	0.018	0.000	0.000	Chemoreceptor zinc-binding domain	0.493
PF03350	+	0.408	0.312	0.357	0.401	0.197	0.130	0.000	0.000	0.000	0.000	0.028	0.000	0.000	Uncharacterized protein family, UPF0114	0.464
PF05226	+	0.353	0.128	0.376	0.330	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CHASE2 domain	0.455
PF04116	+	0.009	0.000	0.000	0.000	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Fatty acid hydroxylase superfamily	0.450
PF08666	+	0.000	0.000	0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	SAF domain	0.449
PF07194	+	0.936	0.768	0.941	0.927	0.479	0.315	0.000	0.000	0.000	0.000	0.090	0.000	0.000	P2 response regulator binding domain	0.448
PF04982	+	0.000	0.151	0.149	0.067	0.084	0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	HPP family	0.445
PF13103	+	0.000	0.000	0.000	0.029	0.043	0.024	0.000	0.000	0.000	0.000	0.046	0.000	0.000	TonB C terminal	0.440
PF03972	+	0.023	0.000	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	MmgE/PrpD family	0.417
PF08521	+	0.017	0.000	0.074	0.119	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Two-component sensor kinase N-terminal	0.407
PF03401	+	0.353	0.225	0.340	0.369	0.156	0.100	0.000	0.000	0.000	0.000	0.028	0.000	0.000	Tripartite tricarboxylate transporter family receptor	0.405
PF09994	+	0.317	0.333	0.313	0.294	0.276	0.184	0.000	0.000	0.000	0.000	0.074	0.000	0.000	Uncharacterized alpha/beta hydrolase domain (DUF2235)	0.401
PF09976	+	0.340	0.085	0.243	0.252	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tetratricopeptide repeat	0.398
PF04187	+	0.245	0.032	0.153	0.093	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function, DUF399	0.379
PF01062	+	0.211	0.197	0.160	0.132	0.083	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bestrophin, RFP-TM, chloride channel	0.371
PF12860	+	0.000	0.000	0.000	0.000	0.044	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PAS fold	0.365
