	class	0.5_0	0.7_0	1_0	0.2_0	0.1_0	0.07_0	0.05_0	0.02_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	Pfam_desc	cor
PF05547	+	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Immune inhibitor A peptidase M6	0.528
PF05922	+	0.067	0.064	0.077	0.067	0.032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Peptidase inhibitor I9	0.523
PF13638	+	0.290	0.291	0.277	0.243	0.227	0.226	0.184	0.134	0.000	0.000	0.000	0.000	0.000	PIN domain	0.478
PF04389	+	0.225	0.225	0.285	0.187	0.175	0.175	0.157	0.198	0.000	0.000	0.000	0.000	0.057	Peptidase family M28	0.474
PF08014	+	0.000	0.000	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF1704)	0.465
PF08392	+	0.123	0.105	0.116	0.207	0.266	0.280	0.309	0.169	0.000	0.000	0.000	0.000	0.000	FAE1/Type III polyketide synthase-like protein	0.464
PF00801	+	0.081	0.093	0.236	0.128	0.123	0.097	0.049	0.000	0.000	0.000	0.000	0.000	0.000	PKD domain	0.464
PF04209	+	0.090	0.069	0.043	0.090	0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	homogentisate 1,2-dioxygenase	0.452
PF01175	+	0.015	0.000	0.046	0.090	0.142	0.169	0.151	0.048	0.000	0.000	0.000	0.000	0.000	Urocanase	0.446
PF00704	+	0.163	0.172	0.180	0.108	0.077	0.072	0.067	0.035	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 18	0.425
PF13385	+	0.170	0.163	0.102	0.093	0.053	0.030	0.038	0.000	0.000	0.000	0.000	0.000	0.000	Concanavalin A-like lectin/glucanases superfamily	0.422
PF07726	+	0.000	0.000	0.000	0.000	0.058	0.059	0.023	0.000	0.000	0.000	0.000	0.000	0.000	ATPase family associated with various cellular activities (AAA)	0.412
PF01944	+	0.044	0.057	0.104	0.070	0.074	0.042	0.032	0.000	0.000	0.000	0.000	0.000	0.000	Integral membrane protein DUF95	0.410
PF01841	+	0.044	0.103	0.166	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transglutaminase-like superfamily	0.408
PF12823	+	0.000	0.000	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF3817)	0.385
PF08668	+	0.087	0.059	0.120	0.124	0.153	0.153	0.152	0.000	0.000	0.000	0.000	0.000	0.000	HDOD domain	0.376
