	class	0.7_0	1_0	0.5_0	0.2_0	0.1_0	0.07_0	0.05_0	0.02_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	Pfam_desc	cor
PF08532	+	0.500	0.467	0.519	0.517	0.416	0.395	0.360	0.106	0.000	0.000	0.000	0.000	0.000	Beta-galactosidase trimerisation domain	0.599
PF02065	+	0.046	0.064	0.024	0.004	0.029	0.057	0.101	0.038	0.000	0.000	0.000	0.000	0.000	Melibiase	0.542
PF02449	+	0.000	0.000	0.000	0.023	0.026	0.036	0.039	0.050	0.000	0.000	0.000	0.000	0.000	Beta-galactosidase	0.537
PF05592	+	0.121	0.168	0.050	0.019	0.091	0.098	0.077	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial alpha-L-rhamnosidase	0.511
PF04616	+	0.000	0.000	0.012	0.030	0.123	0.174	0.198	0.008	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 43	0.487
PF02929	+	0.000	0.000	0.000	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Beta galactosidase small chain	0.470
PF05870	+	0.505	0.516	0.590	0.409	0.328	0.209	0.102	0.000	0.000	0.000	0.000	0.000	0.000	Phenolic acid decarboxylase (PAD)	0.456
PF06134	+	0.041	0.066	0.098	0.289	0.270	0.267	0.194	0.000	0.000	0.000	0.000	0.000	0.000	L-rhamnose isomerase (RhaA)	0.444
PF07929	+	0.000	0.000	0.000	0.021	0.076	0.065	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Plasmid pRiA4b ORF-3-like protein	0.439
PF11175	+	0.527	0.415	0.387	0.151	0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2961)	0.404
PF13636	+	0.034	0.000	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	pre-rRNA processing and ribosome biogenesis	0.394
PF01306	+	0.116	0.091	0.118	0.071	0.139	0.139	0.097	0.000	0.000	0.000	0.000	0.000	0.000	LacY proton/sugar symporter	0.384
PF07748	+	0.000	0.000	0.000	0.064	0.081	0.076	0.023	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 38 C-terminal domain	0.384
PF13811	+	0.740	0.834	0.731	0.514	0.232	0.084	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4186)	0.382
PF00909	+	0.219	0.239	0.216	0.000	0.043	0.032	0.005	0.000	0.000	0.000	0.000	0.000	0.000	Ammonium Transporter Family	0.374
PF09363	+	0.000	0.000	0.000	0.000	0.124	0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	XFP C-terminal domain	0.355
PF03894	+	0.000	0.000	0.000	0.090	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	D-xylulose 5-phosphate/D-fructose 6-phosphate phosphoketolase	0.355
PF02614	+	0.063	0.106	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glucuronate isomerase	0.348
PF03051	+	0.123	0.216	0.130	0.116	0.143	0.157	0.142	0.000	0.000	0.000	0.000	0.000	0.000	Peptidase C1-like family	0.343
PF14897	+	0.000	0.000	0.000	0.088	0.061	0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	EpsG family	0.341
PF05336	+	0.000	0.000	0.000	0.000	0.021	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF718)	0.336
PF03881	+	0.120	0.066	0.189	0.092	0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Fructosamine kinase	0.331
PF11622	+	0.306	0.407	0.117	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3251)	0.328
PF13473	+	0.049	0.037	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cupredoxin-like domain	0.318
PF11700	+	0.217	0.220	0.224	0.169	0.139	0.097	0.074	0.000	0.000	0.000	0.000	0.000	0.000	Vacuole effluxer Atg22 like	0.315
PF03649	+	0.148	0.206	0.195	0.062	0.039	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterised protein family (UPF0014)	0.307
PF02586	+	0.091	0.062	0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterised ACR, COG2135	0.298
PF09250	+	0.000	0.000	0.000	0.000	0.142	0.148	0.062	0.000	0.000	0.000	0.000	0.000	0.000	Bifunctional DNA primase/polymerase, N-terminal	0.292
PF07662	+	0.324	0.383	0.298	0.244	0.107	0.060	0.024	0.000	0.000	0.000	0.000	0.000	0.000	Na+ dependent nucleoside transporter C-terminus	0.291
PF09364	+	0.141	0.175	0.152	0.111	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	XFP N-terminal domain	0.288
PF08244	+	0.000	0.006	0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 32 C terminal	0.286
PF01301	+	0.035	0.000	0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 35	0.273
PF01223	+	0.000	0.000	0.000	0.054	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DNA/RNA non-specific endonuclease	0.273
PF13565	+	0.074	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Homeodomain-like domain	0.260
PF13461	+	0.232	0.204	0.167	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cell-wall surface anchor repeat	0.253
PF01988	+	0.169	0.169	0.205	0.169	0.122	0.114	0.076	0.000	0.000	0.000	0.000	0.000	0.000	VIT family	0.252
PF13587	+	0.000	0.000	0.000	0.000	0.039	0.025	0.039	0.000	0.000	0.000	0.000	0.000	0.000	N-terminal domain of DJ-1_PfpI family	0.242
PF06210	+	0.012	0.028	0.000	0.096	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1003)	0.234
PF10022	-	-0.012	-0.040	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized protein conserved in bacteria (DUF2264)	0.231
PF06800	+	0.259	0.245	0.248	0.156	0.054	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Sugar transport protein	0.220
PF03390	+	0.000	0.016	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2-hydroxycarboxylate transporter family	0.215
PF01427	+	0.209	0.177	0.173	0.115	0.059	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	D-ala-D-ala dipeptidase	0.201
PF02275	+	0.189	0.171	0.150	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Linear amide C-N hydrolases, choloylglycine hydrolase family	0.189
PF12320	+	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Type 5 capsule protein repressor C-terminal domain	0.189
PF01634	+	0.028	0.121	0.112	0.129	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ATP phosphoribosyltransferase	0.173
PF00815	+	0.096	0.073	0.114	0.179	0.072	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Histidinol dehydrogenase	0.173
PF00475	+	0.078	0.094	0.000	0.000	0.076	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Imidazoleglycerol-phosphate dehydratase	0.173
PF07731	-	0.000	-0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Multicopper oxidase	0.169
PF12674	+	0.030	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative zinc ribbon domain	0.162
PF04029	+	0.333	0.365	0.377	0.237	0.103	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2-phosphosulpholactate phosphatase	0.158
PF07099	+	0.286	0.259	0.228	0.265	0.188	0.161	0.098	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1361)	0.154
PF01610	+	0.000	0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transposase	0.153
PF09382	-	-0.272	-0.310	-0.306	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	RQC domain	0.145
PF08887	+	0.091	0.204	0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GAD-like domain	0.129
PF13468	+	0.051	0.043	0.000	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glyoxalase-like domain	0.128
PF04138	-	-0.029	-0.058	-0.055	-0.097	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GtrA-like protein	0.127
PF02371	-	0.000	-0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transposase IS116/IS110/IS902 family	0.123
PF01921	+	0.076	0.050	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	tRNA synthetases class I (K)	0.114
PF00543	+	0.000	0.000	0.024	0.069	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Nitrogen regulatory protein P-II	0.088
PF13480	-	-0.208	-0.200	-0.187	-0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Acetyltransferase (GNAT) domain	0.079
PF13306	+	0.183	0.225	0.166	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Leucine rich repeats (6 copies)	0.074
PF04464	-	-0.094	0.000	-0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase	0.072
PF02423	+	0.000	0.000	0.096	0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ornithine cyclodeaminase/mu-crystallin family	0.069
PF00591	+	0.000	0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl transferase family, a/b domain	0.069
PF13378	-	0.000	-0.058	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Enolase C-terminal domain-like	0.060
PF00697	+	0.169	0.000	0.168	0.032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	N-(5'phosphoribosyl)anthranilate (PRA) isomerase	0.057
PF01257	+	0.087	0.084	0.057	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Thioredoxin-like [2Fe-2S] ferredoxin	0.045
PF01174	+	0.145	0.163	0.073	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	SNO glutamine amidotransferase family	0.045
PF13345	-	-0.089	-0.128	-0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4098)	0.031
PF07476	-	-0.050	-0.067	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Methylaspartate ammonia-lyase C-terminus	0.022
PF13800	+	0.000	0.000	0.000	0.137	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Sigma factor regulator N-terminal	0.019
PF10110	-	0.000	-0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Membrane domain of glycerophosphoryl diester phosphodiesterase	0.018
PF05015	-	-0.007	-0.057	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Plasmid maintenance system killer protein	0.013
PF11611	+	0.076	0.152	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4352)	0.007
PF01844	-	0.000	-0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	HNH endonuclease	0.003
PF02302	-	0.000	0.000	0.000	-0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PTS system, Lactose/Cellobiose specific IIB subunit	-0.002
PF03083	-	0.000	-0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Sugar efflux transporter for intercellular exchange	-0.005
PF03610	-	0.000	0.000	0.000	-0.054	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PTS system fructose IIA component	-0.017
PF13509	-	0.000	0.000	0.000	-0.053	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	S1 domain	-0.022
PF13643	-	-0.033	-0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4145)	-0.024
PF01192	-	0.000	0.000	-0.033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	RNA polymerase Rpb6	-0.051
PF05866	-	-0.135	-0.136	-0.228	-0.082	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Endodeoxyribonuclease RusA	-0.054
PF04198	-	0.000	-0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative sugar-binding domain	-0.054
PF02686	-	0.000	0.000	-0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glu-tRNAGln amidotransferase C subunit	-0.058
PF10397	-	-0.286	-0.325	-0.239	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Adenylosuccinate lyase C-terminus	-0.062
PF03432	-	-0.025	-0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Relaxase/Mobilisation nuclease domain	-0.066
PF03848	-	-0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tellurite resistance protein TehB	-0.075
PF08351	-	-0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF1726)	-0.091
PF06081	-	-0.002	-0.015	0.000	-0.041	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial protein of unknown function (DUF939)	-0.094
PF03743	-	0.000	0.000	-0.116	-0.087	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial conjugation TrbI-like protein	-0.099
PF03934	-	-0.292	-0.252	-0.167	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Type II secretion system (T2SS), protein K	-0.115
PF04014	-	-0.143	-0.155	-0.125	-0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Antidote-toxin recognition MazE	-0.118
PF01471	-	-0.584	-0.588	-0.514	-0.352	-0.172	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative peptidoglycan binding domain	-0.119
PF05194	-	-0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	UreE urease accessory protein, C-terminal domain	-0.120
PF00033	+	0.000	0.033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cytochrome b(N-terminal)/b6/petB	-0.126
PF00359	-	0.000	0.000	0.000	-0.034	-0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2	-0.126
PF03781	-	0.000	-0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Sulfatase-modifying factor enzyme 1	-0.137
PF09084	-	-0.222	-0.194	-0.196	-0.172	-0.158	-0.110	-0.015	0.000	0.000	0.000	0.000	0.000	0.000	NMT1/THI5 like	-0.139
PF02814	-	0.000	0.000	-0.149	-0.153	-0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	UreE urease accessory protein, N-terminal domain	-0.145
PF13424	-	0.000	0.000	0.000	-0.033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tetratricopeptide repeat	-0.168
PF07521	-	-0.156	-0.096	-0.145	-0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	RNA-metabolising metallo-beta-lactamase	-0.196
PF03916	-	-0.285	-0.383	-0.219	-0.143	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Polysulphide reductase, NrfD	-0.216
PF01555	-	0.000	0.000	0.000	0.000	-0.022	-0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DNA methylase	-0.220
PF00565	-	0.000	-0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Staphylococcal nuclease homologue	-0.236
PF03572	-	-0.068	-0.055	-0.072	-0.138	-0.129	-0.087	-0.004	0.000	0.000	0.000	0.000	0.000	0.000	Peptidase family S41	-0.307
