	class	1_0	0.5_0	0.2_0	0.7_0	0.1_0	0.07_0	0.05_0	0.02_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	Pfam_desc	cor
PF00263	+	0.000	0.040	0.048	0.241	0.204	0.286	0.309	0.133	0.000	0.000	0.000	0.000	0.000	Bacterial type II and III secretion system protein	0.578
PF00873	+	0.332	0.270	0.287	0.217	0.344	0.406	0.472	0.314	0.000	0.000	0.000	0.000	0.049	AcrB/AcrD/AcrF family	0.532
PF03350	+	0.364	0.402	0.298	0.456	0.277	0.247	0.145	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized protein family, UPF0114	0.503
PF06808	+	0.000	0.000	0.033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DctM-like transporters	0.497
PF03824	+	0.069	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	High-affinity nickel-transport protein	0.496
PF07549	+	0.072	0.177	0.000	0.079	0.052	0.048	0.012	0.000	0.000	0.000	0.000	0.000	0.000	SecD/SecF GG Motif	0.495
PF04241	+	0.000	0.000	0.000	0.000	0.012	0.010	0.013	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF423)	0.486
PF04748	+	0.000	0.166	0.264	0.140	0.123	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Divergent polysaccharide deacetylase	0.457
PF02578	+	0.183	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Multi-copper polyphenol oxidoreductase laccase	0.455
PF03737	+	0.041	0.069	0.040	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Demethylmenaquinone methyltransferase	0.438
PF08212	+	0.000	0.000	0.000	0.000	0.041	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Lipocalin-like domain	0.436
PF01810	+	0.000	0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	LysE type translocator	0.433
PF04879	+	0.045	0.000	0.000	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Molybdopterin oxidoreductase Fe4S4 domain	0.424
PF04247	+	0.048	0.228	0.045	0.196	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Invasion gene expression up-regulator, SirB	0.417
PF05728	+	0.168	0.105	0.072	0.169	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterised protein family (UPF0227)	0.393
PF02541	+	0.159	0.199	0.037	0.105	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ppx/GppA phosphatase family	0.390
PF04286	+	0.000	0.000	0.000	0.000	0.004	0.008	0.002	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF445)	0.387
PF12167	+	0.145	0.135	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF3596)	0.384
PF04290	+	0.116	0.022	0.000	0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tripartite ATP-independent periplasmic transporters, DctQ component	0.382
PF01019	+	0.000	0.000	0.009	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Gamma-glutamyltranspeptidase	0.377
PF13974	+	0.224	0.000	0.000	0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	YebO-like protein	0.373
PF10697	+	0.000	0.000	0.000	0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2502)	0.373
PF04945	+	0.235	0.120	0.103	0.162	0.057	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	YHS domain	0.368
PF03212	+	0.000	0.000	0.090	0.053	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Pertactin	0.368
PF01293	+	0.175	0.150	0.180	0.147	0.172	0.134	0.030	0.000	0.000	0.000	0.000	0.000	0.000	Phosphoenolpyruvate carboxykinase	0.359
PF11612	+	0.000	0.140	0.071	0.217	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Type II secretion system (T2SS), protein J	0.347
PF06415	+	0.000	0.000	0.057	0.000	0.163	0.175	0.117	0.000	0.000	0.000	0.000	0.000	0.000	BPG-independent PGAM N-terminus (iPGM_N)	0.333
PF07287	+	0.000	0.000	0.027	0.096	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1446)	0.333
PF13644	+	0.000	0.000	0.288	0.214	0.067	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DKNYY family	0.316
PF02230	+	0.000	0.054	0.050	0.000	0.165	0.135	0.094	0.000	0.000	0.000	0.000	0.000	0.000	Phospholipase/Carboxylesterase	0.313
PF04235	+	0.063	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF418)	0.310
PF01558	+	0.147	0.141	0.113	0.042	0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Pyruvate ferredoxin/flavodoxin oxidoreductase	0.309
PF10369	+	0.408	0.324	0.292	0.346	0.109	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Small subunit of acetolactate synthase	0.307
PF05872	+	0.000	0.000	0.016	0.126	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial protein of unknown function (DUF853)	0.298
PF13704	+	0.000	0.079	0.072	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl transferase family 2	0.288
PF08298	+	0.117	0.171	0.050	0.162	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PrkA AAA domain	0.269
PF07286	+	0.080	0.116	0.000	0.122	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1445)	0.267
PF05845	+	0.109	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial phosphonate metabolism protein (PhnH)	0.262
PF06007	+	0.000	0.000	0.000	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phosphonate metabolism protein PhnJ	0.262
PF13244	+	0.000	0.000	0.000	0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4040)	0.257
PF06074	+	0.000	0.000	0.056	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF935)	0.237
PF01095	+	0.220	0.154	0.000	0.169	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Pectinesterase	0.233
PF00782	-	-0.038	0.000	0.000	-0.087	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Dual specificity phosphatase, catalytic domain	0.231
PF14281	+	0.000	0.118	0.101	0.107	0.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PD-(D/E)XK nuclease superfamily	0.230
PF05069	+	0.156	0.034	0.000	0.019	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage virion morphogenesis family	0.230
PF14226	+	0.274	0.180	0.110	0.094	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	non-haem dioxygenase in morphine synthesis N-terminal	0.213
PF07030	+	0.000	0.000	0.000	0.070	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1320)	0.206
PF00135	+	0.142	0.079	0.129	0.127	0.112	0.113	0.083	0.000	0.000	0.000	0.000	0.000	0.000	Carboxylesterase family	0.202
PF13336	+	0.000	0.000	0.350	0.192	0.260	0.125	0.048	0.000	0.000	0.000	0.000	0.000	0.000	Acetyl-CoA hydrolase/transferase C-terminal domain	0.194
