	class	0.7_0	1_0	0.5_0	0.05_0	0.1_0	0.2_0	0.07_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	0.02_0	Pfam_desc	cor
PF03060	+	0.671	0.727	0.726	0.386	0.640	0.687	0.550	0.000	0.000	0.000	0.000	0.000	0.000	Nitronate monooxygenase	0.829
PF04828	+	0.376	0.092	0.223	0.011	0.340	0.416	0.197	0.000	0.000	0.000	0.000	0.000	0.000	Glutathione-dependent formaldehyde-activating enzyme	0.676
PF06175	+	0.000	0.470	0.342	0.000	0.000	0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	tRNA-(MS[2]IO[6]A)-hydroxylase (MiaE)	0.657
PF03350	+	0.623	0.804	0.732	0.000	0.223	0.476	0.041	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized protein family, UPF0114	0.542
PF08521	+	0.254	0.308	0.166	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Two-component sensor kinase N-terminal	0.478
PF06821	+	0.146	0.000	0.033	0.000	0.000	0.120	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Serine hydrolase	0.478
PF05232	+	0.281	0.337	0.194	0.000	0.000	0.087	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial Transmembrane Pair family	0.371
PF06226	+	0.081	0.000	0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1007)	0.371
PF05726	+	0.100	0.060	0.075	0.000	0.000	0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Pirin C-terminal cupin domain	0.371
PF01596	+	0.159	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	O-methyltransferase	0.306
PF01425	+	0.000	0.088	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Amidase	0.200
PF04303	-	-0.106	-0.115	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PrpF protein	-0.143
PF14031	-	0.000	-0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative serine dehydratase domain	-0.170
PF01501	-	-0.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl transferase family 8	-0.240
PF03480	-	0.000	0.000	-0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial extracellular solute-binding protein, family 7	-0.387
PF03918	-	-0.111	-0.250	-0.422	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cytochrome C biogenesis protein	-0.447
PF02371	-	0.000	-0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transposase IS116/IS110/IS902 family	-0.478
PF02283	-	-0.271	0.000	-0.105	0.000	0.000	-0.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cobinamide kinase / cobinamide phosphate guanyltransferase	-0.486
PF02277	-	0.000	-0.074	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phosphoribosyltransferase	-0.486
PF13333	-	0.000	0.000	-0.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Integrase core domain	-0.488
PF04995	-	-0.208	-0.351	0.000	0.000	0.000	-0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Heme exporter protein D (CcmD)	-0.529
PF13269	-	-0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF4060)	-0.542
PF03264	-	0.000	-0.072	-0.120	0.000	-0.008	-0.156	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NapC/NirT cytochrome c family, N-terminal region	-0.573
PF01609	-	-0.100	-0.041	-0.113	0.000	-0.053	-0.202	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transposase DDE domain	-0.657
PF03892	-	-0.120	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Nitrate reductase cytochrome c-type subunit (NapB)	-0.657
