	class	0.7_0	0.2_0	0.07_0	0.5_0	0.02_0	1_0	0.05_0	0.1_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	Pfam_desc	cor
PF04616	+	0.193	0.216	0.212	0.196	0.000	0.185	0.141	0.234	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 43	0.650
PF08525	+	0.057	0.137	0.266	0.295	0.045	0.107	0.311	0.238	0.000	0.000	0.000	0.000	0.000	Opacity-associated protein A N-terminal motif	0.594
PF09994	+	0.120	0.213	0.102	0.210	0.000	0.069	0.019	0.183	0.000	0.000	0.000	0.000	0.000	Uncharacterized alpha/beta hydrolase domain (DUF2235)	0.570
PF10678	+	0.376	0.273	0.000	0.000	0.000	0.421	0.000	0.040	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2492)	0.567
PF12917	+	0.000	0.101	0.148	0.074	0.161	0.005	0.119	0.185	0.000	0.000	0.000	0.000	0.000	HD containing hydrolase-like enzyme	0.564
PF07273	+	0.194	0.060	0.000	0.210	0.000	0.229	0.000	0.011	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1439)	0.560
PF00445	+	0.402	0.319	0.214	0.407	0.000	0.306	0.058	0.284	0.000	0.000	0.000	0.000	0.000	Ribonuclease T2 family	0.559
PF06992	+	0.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Replication protein P	0.504
PF13503	+	0.053	0.114	0.000	0.000	0.000	0.071	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4123)	0.478
PF05651	+	0.082	0.036	0.000	0.042	0.000	0.083	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative sugar diacid recognition	0.474
PF00959	+	0.078	0.000	0.000	0.102	0.000	0.174	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage lysozyme	0.442
PF11756	+	0.113	0.038	0.070	0.131	0.000	0.105	0.076	0.044	0.000	0.000	0.000	0.000	0.000	Nitrous oxide-stimulated promoter	0.442
PF02369	+	0.006	0.163	0.000	0.000	0.000	0.000	0.000	0.012	0.000	0.000	0.000	0.000	0.000	Bacterial Ig-like domain (group 1)	0.437
PF10022	+	0.037	0.015	0.000	0.062	0.000	0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized protein conserved in bacteria (DUF2264)	0.437
PF12408	+	0.198	0.053	0.000	0.245	0.000	0.254	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ribose-5-phosphate isomerase	0.434
PF03802	+	0.099	0.081	0.000	0.000	0.000	0.158	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase	0.429
PF04492	+	0.054	0.000	0.000	0.000	0.000	0.135	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacteriophage replication protein O	0.422
PF03450	+	0.046	0.000	0.000	0.035	0.000	0.058	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CO dehydrogenase flavoprotein C-terminal domain	0.418
PF10065	+	0.238	0.157	0.000	0.277	0.000	0.000	0.000	0.009	0.000	0.000	0.000	0.000	0.000	Uncharacterized conserved protein (DUF2303)	0.408
PF03830	+	0.221	0.193	0.120	0.105	0.000	0.310	0.144	0.132	0.000	0.000	0.000	0.000	0.000	PTS system sorbose subfamily IIB component	0.395
PF03609	+	0.026	0.043	0.165	0.165	0.000	0.000	0.104	0.105	0.000	0.000	0.000	0.000	0.000	PTS system sorbose-specific iic component	0.395
PF10437	+	0.186	0.078	0.060	0.241	0.000	0.141	0.041	0.048	0.000	0.000	0.000	0.000	0.000	Bacterial lipoate protein ligase C-terminus	0.368
