	class	0.2_0	0.5_0	0.7_0	1_0	0.1_0	0.07_0	0.05_0	0.005_0	0.007_0	0.01_0	0.02_0	0.001_0	0.002_0	Pfam_desc	cor
PF02613	+	0.208	0.262	0.255	0.330	0.241	0.293	0.362	0.000	0.045	0.237	0.469	0.000	0.000	Nitrate reductase delta subunit	0.820
PF13247	+	0.623	0.532	0.585	0.584	0.615	0.629	0.672	0.169	0.319	0.487	0.724	0.000	0.000	4Fe-4S dicluster domain	0.739
PF03459	+	0.007	0.170	0.208	0.130	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	TOBE domain	0.705
PF02665	+	0.772	0.889	0.814	0.757	0.719	0.585	0.384	0.000	0.000	0.000	0.005	0.000	0.000	Nitrate reductase gamma subunit	0.688
PF04879	+	0.000	0.058	0.116	0.029	0.042	0.016	0.036	0.000	0.000	0.000	0.062	0.000	0.000	Molybdopterin oxidoreductase Fe4S4 domain	0.660
PF01292	+	0.127	0.000	0.137	0.000	0.052	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Prokaryotic cytochrome b561	0.649
PF03892	+	0.164	0.047	0.249	0.207	0.407	0.400	0.262	0.000	0.000	0.000	0.000	0.000	0.000	Nitrate reductase cytochrome c-type subunit (NapB)	0.576
PF03927	+	0.085	0.149	0.036	0.071	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NapD protein	0.559
PF01127	+	0.011	0.021	0.033	0.020	0.028	0.018	0.032	0.000	0.000	0.000	0.026	0.000	0.000	Succinate dehydrogenase/Fumarate reductase transmembrane subunit	0.558
PF03824	+	0.216	0.221	0.243	0.087	0.185	0.175	0.154	0.000	0.000	0.000	0.021	0.000	0.000	High-affinity nickel-transport protein	0.526
PF13977	+	0.067	0.000	0.025	0.000	0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial transcriptional repressor	0.525
PF04324	+	0.000	0.000	0.000	0.115	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	BFD-like [2Fe-2S] binding domain	0.523
PF03738	+	0.098	0.162	0.155	0.162	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glutathionylspermidine synthase preATP-grasp	0.514
PF13806	+	0.000	0.044	0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Rieske-like [2Fe-2S] domain	0.501
PF02652	+	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	L-lactate permease	0.484
PF04717	+	0.110	0.242	0.283	0.187	0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage-related baseplate assembly protein	0.467
PF03349	+	0.000	0.080	0.022	0.118	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Outer membrane protein transport protein (OMPP1/FadL/TodX)	0.466
PF02599	+	0.000	0.000	0.000	0.000	0.068	0.095	0.068	0.000	0.000	0.000	0.000	0.000	0.000	Global regulator protein family	0.465
PF00975	+	0.134	0.119	0.000	0.145	0.168	0.109	0.067	0.000	0.000	0.000	0.000	0.000	0.000	Thioesterase domain	0.463
PF03887	+	0.115	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	YfbU domain	0.452
PF02962	+	0.014	0.205	0.235	0.267	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5-carboxymethyl-2-hydroxymuconate isomerase	0.452
PF00873	+	0.000	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AcrB/AcrD/AcrF family	0.450
PF03264	+	0.095	0.208	0.159	0.100	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NapC/NirT cytochrome c family, N-terminal region	0.443
PF06276	+	0.006	0.000	0.000	0.128	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ferric iron reductase FhuF-like transporter	0.443
PF06228	+	0.067	0.000	0.000	0.019	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Haem utilisation ChuX/HutX	0.432
PF04172	+	0.000	0.033	0.114	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	LrgB-like family	0.424
PF00875	+	0.059	0.015	0.000	0.000	0.063	0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DNA photolyase	0.418
PF03441	+	0.000	0.029	0.000	0.000	0.002	0.028	0.021	0.000	0.000	0.000	0.000	0.000	0.000	FAD binding domain of DNA photolyase	0.418
PF01490	+	0.000	0.039	0.000	0.025	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transmembrane amino acid transporter protein	0.396
PF12729	+	0.163	0.326	0.280	0.305	0.046	0.032	0.026	0.000	0.000	0.000	0.000	0.000	0.000	Four helix bundle sensory module for signal transduction	0.395
PF01957	+	0.120	0.099	0.228	0.216	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NfeD-like C-terminal, partner-binding	0.383
PF01730	+	0.000	0.000	0.000	0.000	0.047	0.055	0.026	0.000	0.000	0.000	0.000	0.000	0.000	UreF	0.370
PF04400	+	0.085	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF539)	0.368
PF01904	+	0.000	0.000	0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function DUF72	0.366
PF00850	+	0.000	0.000	0.024	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Histone deacetylase domain	0.353
PF05069	+	0.000	0.000	0.000	0.080	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage virion morphogenesis family	0.343
PF02743	+	0.000	0.000	0.051	0.055	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cache domain	0.341
PF00449	+	0.133	0.141	0.191	0.124	0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Urease alpha-subunit, N-terminal domain	0.330
PF01037	+	0.000	0.000	0.103	0.043	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AsnC family	0.325
PF05016	+	0.015	0.092	0.053	0.106	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Plasmid stabilisation system protein	0.315
PF13483	+	0.000	0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Beta-lactamase superfamily domain	0.294
PF00282	+	0.000	0.040	0.077	0.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Pyridoxal-dependent decarboxylase conserved domain	0.293
PF10442	+	0.040	0.000	0.048	0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	FIST C domain	0.276
PF04860	+	0.063	0.181	0.167	0.182	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage portal protein	0.274
PF12679	-	0.000	0.000	0.000	-0.126	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ABC-2 family transporter protein	0.268
PF00563	-	0.000	0.000	0.000	-0.057	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	EAL domain	0.265
PF14248	+	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4345)	0.264
PF06821	-	0.000	-0.077	-0.089	-0.097	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Serine hydrolase	0.264
PF07836	+	0.052	0.055	0.200	0.111	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DmpG-like communication domain	0.264
PF09981	+	0.000	0.154	0.260	0.041	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized protein conserved in bacteria (DUF2218)	0.264
PF01081	-	0.000	-0.042	-0.026	-0.084	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	KDPG and KHG aldolase	0.262
PF05239	+	0.132	0.258	0.199	0.260	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PRC-barrel domain	0.250
PF02342	+	0.116	0.126	0.074	0.142	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	TerD domain	0.248
PF11162	-	0.000	-0.041	-0.159	-0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2946)	0.248
PF13407	+	0.000	0.163	0.139	0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Periplasmic binding protein domain	0.236
PF11932	+	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3450)	0.229
PF13581	-	-0.121	-0.151	-0.149	-0.251	-0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Histidine kinase-like ATPase domain	0.227
PF00532	+	0.012	0.067	0.000	0.321	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Periplasmic binding proteins and sugar binding domain of LacI family	0.225
PF04963	-	0.000	0.000	-0.013	-0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Sigma-54 factor, core binding domain	0.223
PF08028	-	0.000	0.000	-0.180	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Acyl-CoA dehydrogenase, C-terminal domain	0.220
PF12837	-	-0.043	-0.077	-0.210	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4Fe-4S binding domain	0.220
PF11852	+	0.000	0.157	0.118	0.280	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF3372)	0.215
PF13577	-	-0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	SnoaL-like domain	0.203
PF10589	-	-0.018	-0.024	-0.013	-0.023	-0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NADH-ubiquinone oxidoreductase-F iron-sulfur binding region	0.202
PF09997	-	-0.105	-0.245	-0.351	-0.347	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Predicted membrane protein (DUF2238)	0.201
PF13447	+	0.085	0.173	0.022	0.205	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Seven times multi-haem cytochrome CxxCH	0.195
PF00614	+	0.000	0.000	0.043	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phospholipase D Active site motif	0.193
PF04286	+	0.084	0.084	0.094	0.096	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF445)	0.180
PF07484	-	0.000	0.000	-0.069	-0.072	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage Tail Collar Domain	0.179
PF00016	+	0.169	0.172	0.055	0.134	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ribulose bisphosphate carboxylase large chain, catalytic domain	0.178
PF05226	+	0.000	0.000	0.000	0.041	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CHASE2 domain	0.169
PF14501	+	0.025	0.075	0.057	0.165	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GHKL domain	0.168
PF01161	-	0.000	0.000	0.000	-0.056	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phosphatidylethanolamine-binding protein	0.164
PF00441	-	-0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Acyl-CoA dehydrogenase, C-terminal domain	0.164
PF14532	-	-0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Sigma-54 interaction domain	0.164
PF01925	-	0.000	-0.007	-0.096	-0.101	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Sulfite exporter TauE/SafE	0.159
PF03609	+	0.049	0.000	0.095	0.188	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PTS system sorbose-specific iic component	0.155
PF01850	-	0.000	-0.084	-0.096	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PIN domain	0.150
PF04014	-	-0.054	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Antidote-toxin recognition MazE	0.148
PF13576	+	0.000	0.000	0.000	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Pentapeptide repeats (9 copies)	0.142
PF13567	+	0.037	0.140	0.174	0.160	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4131)	0.127
PF13276	-	0.000	0.000	0.000	-0.073	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	HTH-like domain	0.125
PF14885	+	0.000	0.000	0.000	0.150	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Hypothetical glycosyl hydrolase family 15	0.122
PF04773	-	-0.061	-0.114	-0.040	-0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	FecR protein	0.116
PF10029	-	0.000	0.000	0.000	-0.061	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Predicted periplasmic protein (DUF2271)	0.112
PF13007	-	-0.063	0.000	0.000	-0.092	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transposase C of IS166 homeodomain	0.111
PF04268	+	0.000	0.000	0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Sarcosine oxidase, gamma subunit family	0.110
PF03009	-	-0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycerophosphoryl diester phosphodiesterase family	0.109
PF08643	-	0.000	0.000	0.000	-0.083	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Fungal family of unknown function (DUF1776)	0.099
PF05717	-	0.000	-0.070	-0.113	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	IS66 Orf2 like protein	0.096
PF13384	-	0.000	0.000	0.000	0.000	-0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Homeodomain-like domain	0.095
PF04230	-	0.000	-0.139	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Polysaccharide pyruvyl transferase	0.094
PF00255	-	0.000	-0.071	-0.063	-0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glutathione peroxidase	0.081
PF13011	+	0.000	0.000	0.086	0.159	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	leucine-zipper of insertion element IS481	0.078
PF01965	-	0.000	0.000	-0.100	-0.055	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DJ-1/PfpI family	0.075
PF02664	+	0.034	0.126	0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	S-Ribosylhomocysteinase (LuxS)	0.074
PF12728	-	-0.044	-0.170	-0.151	-0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Helix-turn-helix domain	0.067
PF00301	-	0.000	0.000	-0.108	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Rubredoxin	0.058
PF13768	-	-0.027	-0.065	-0.014	-0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	von Willebrand factor type A domain	0.044
PF04471	-	-0.077	-0.115	-0.262	-0.217	-0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Restriction endonuclease	0.033
PF03313	-	0.000	-0.070	-0.048	-0.098	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Serine dehydratase alpha chain	0.031
PF03315	-	-0.062	-0.137	-0.052	-0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Serine dehydratase beta chain	0.031
PF13087	-	0.000	-0.128	0.000	-0.151	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AAA domain	0.031
PF06314	+	0.000	0.000	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Acetoacetate decarboxylase (ADC)	0.029
PF02016	-	-0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	LD-carboxypeptidase	0.026
PF13575	+	0.017	0.150	0.248	0.171	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4135)	0.026
PF02535	-	-0.076	-0.106	0.000	0.000	-0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ZIP Zinc transporter	0.025
PF14535	-	-0.047	0.000	-0.162	-0.093	-0.043	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AMP-binding enzyme C-terminal domain	0.024
PF13470	-	0.000	-0.115	0.000	-0.093	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PIN domain	0.019
