	class	0.5_0	0.2_0	1_0	0.7_0	0.1_0	0.07_0	0.05_0	0.02_0	0.005_0	0.01_0	0.007_0	0.001_0	0.002_0	Pfam_desc	cor
PF02030	+	0.102	0.017	0.094	0.075	0.054	0.082	0.097	0.081	0.000	0.000	0.000	0.000	0.000	Hypothetical lipoprotein (MG045 family)	0.587
PF00874	+	0.000	0.070	0.022	0.008	0.048	0.019	0.038	0.175	0.000	0.099	0.016	0.000	0.000	PRD domain	0.556
PF02976	+	0.240	0.230	0.110	0.229	0.181	0.136	0.096	0.000	0.000	0.000	0.000	0.000	0.000	DNA mismatch repair enzyme MutH	0.499
PF10263	+	0.002	0.000	0.069	0.072	0.000	0.000	0.000	0.003	0.000	0.000	0.000	0.000	0.000	SprT-like family	0.495
PF01238	+	0.035	0.074	0.016	0.000	0.068	0.081	0.107	0.116	0.063	0.123	0.101	0.000	0.000	Phosphomannose isomerase type I	0.493
PF00367	+	0.000	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	phosphotransferase system, EIIB	0.482
PF03123	+	0.293	0.221	0.293	0.324	0.220	0.201	0.136	0.000	0.000	0.000	0.000	0.000	0.000	CAT RNA binding domain	0.482
PF02901	+	0.039	0.000	0.072	0.067	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Pyruvate formate lyase	0.478
PF00358	+	0.000	0.017	0.000	0.000	0.002	0.000	0.000	0.037	0.002	0.050	0.042	0.000	0.000	phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1	0.478
PF01228	+	0.292	0.292	0.335	0.280	0.263	0.235	0.225	0.240	0.000	0.166	0.082	0.000	0.000	Glycine radical	0.476
PF04131	+	0.045	0.000	0.100	0.077	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative N-acetylmannosamine-6-phosphate epimerase	0.463
PF00365	+	0.000	0.000	0.000	0.000	0.004	0.034	0.061	0.113	0.073	0.114	0.086	0.000	0.000	Phosphofructokinase	0.455
PF07694	+	0.043	0.017	0.280	0.198	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5TMR of 5TMR-LYT	0.453
PF07972	+	0.384	0.394	0.402	0.412	0.315	0.224	0.156	0.135	0.000	0.040	0.000	0.000	0.000	NrdI Flavodoxin like	0.443
PF04245	+	0.000	0.058	0.144	0.157	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	37-kD nucleoid-associated bacterial protein	0.426
PF01791	+	0.000	0.000	0.000	0.000	0.001	0.033	0.075	0.107	0.000	0.012	0.000	0.000	0.000	DeoC/LacD family aldolase	0.424
PF03610	+	0.000	0.000	0.000	0.000	0.020	0.031	0.008	0.000	0.000	0.000	0.000	0.000	0.000	PTS system fructose IIA component	0.422
PF02664	+	0.000	0.000	0.000	0.000	0.078	0.104	0.111	0.098	0.000	0.004	0.000	0.000	0.000	S-Ribosylhomocysteinase (LuxS)	0.416
PF07085	+	0.088	0.037	0.075	0.028	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DRTGG domain	0.416
PF03672	+	0.800	0.717	0.957	0.794	0.463	0.319	0.249	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterised protein family (UPF0154)	0.411
PF01633	+	0.000	0.000	0.000	0.000	0.021	0.031	0.023	0.000	0.000	0.000	0.000	0.000	0.000	Choline/ethanolamine kinase	0.409
PF04167	+	0.437	0.327	0.458	0.472	0.273	0.205	0.166	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF402)	0.407
PF14635	+	0.000	0.000	0.000	0.000	0.009	0.011	0.005	0.000	0.000	0.000	0.000	0.000	0.000	Helix-hairpin-helix motif	0.397
PF03605	+	0.182	0.197	0.141	0.152	0.193	0.156	0.154	0.014	0.000	0.000	0.000	0.000	0.000	Anaerobic c4-dicarboxylate membrane transporter	0.397
PF03831	+	0.000	0.000	0.096	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PhnA protein	0.388
PF02903	+	0.082	0.131	0.000	0.112	0.093	0.064	0.030	0.000	0.000	0.000	0.000	0.000	0.000	Alpha amylase, N-terminal ig-like domain	0.372
PF01154	+	0.264	0.233	0.385	0.277	0.131	0.098	0.061	0.000	0.000	0.000	0.000	0.000	0.000	Hydroxymethylglutaryl-coenzyme A synthase N terminal	0.369
PF01184	+	0.000	0.000	0.000	0.000	0.013	0.051	0.048	0.000	0.000	0.000	0.000	0.000	0.000	GPR1/FUN34/yaaH family	0.365
PF06426	+	0.137	0.177	0.000	0.056	0.139	0.147	0.151	0.000	0.000	0.000	0.000	0.000	0.000	Serine acetyltransferase, N-terminal	0.350
PF07437	+	0.293	0.134	0.346	0.199	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	YfaZ precursor	0.340
PF04393	+	0.150	0.099	0.144	0.164	0.099	0.082	0.029	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF535)	0.332
PF03502	+	0.000	0.000	0.000	0.000	0.066	0.076	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Nucleoside-specific channel-forming protein, Tsx	0.325
PF12911	+	0.127	0.019	0.122	0.105	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	N-terminal TM domain of oligopeptide transport permease C	0.318
PF04320	+	0.252	0.094	0.305	0.246	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein with unknown function (DUF469)	0.316
PF04237	+	0.076	0.000	0.059	0.098	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	YjbR	0.308
PF04405	+	0.032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of Unknown function (DUF542)	0.304
PF03799	+	0.052	0.000	0.053	0.088	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cell division protein FtsQ	0.304
PF02624	+	0.108	0.025	0.122	0.138	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	YcaO-like family	0.302
PF08352	+	0.064	0.109	0.174	0.048	0.104	0.104	0.047	0.000	0.000	0.000	0.000	0.000	0.000	Oligopeptide/dipeptide transporter, C-terminal region	0.302
PF13038	+	0.178	0.035	0.155	0.184	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF3899)	0.293
PF12481	+	0.119	0.036	0.243	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Aluminium induced protein	0.284
PF13344	-	-0.056	-0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Haloacid dehalogenase-like hydrolase	0.263
PF15432	+	0.413	0.043	0.778	0.555	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Accessory Sec secretory system ASP3	0.262
PF01095	+	0.000	0.012	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Pectinesterase	0.253
PF13273	+	0.261	0.096	0.388	0.274	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF4064)	0.247
PF07759	+	0.111	0.000	0.000	0.026	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1615)	0.245
PF01712	+	0.174	0.121	0.097	0.113	0.160	0.131	0.061	0.000	0.000	0.000	0.000	0.000	0.000	Deoxynucleoside kinase	0.239
PF01676	+	0.074	0.071	0.077	0.109	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Metalloenzyme superfamily	0.231
PF14256	+	0.275	0.260	0.177	0.280	0.192	0.150	0.068	0.000	0.000	0.000	0.000	0.000	0.000	YwiC-like protein	0.216
PF04958	+	0.000	0.191	0.211	0.111	0.151	0.058	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Arginine N-succinyltransferase beta subunit	0.207
PF07252	+	0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1433)	0.205
PF07274	-	0.000	0.000	-0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1440)	0.197
PF01268	+	0.322	0.289	0.283	0.304	0.214	0.144	0.071	0.000	0.000	0.000	0.000	0.000	0.000	Formate--tetrahydrofolate ligase	0.191
PF11070	+	0.075	0.046	0.000	0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2871)	0.185
PF03486	+	0.062	0.049	0.103	0.129	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	HI0933-like protein	0.180
PF14319	+	0.134	0.000	0.162	0.112	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transposase zinc-binding domain	0.180
PF04986	+	0.214	0.322	0.203	0.232	0.136	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative transposase	0.180
PF13726	+	0.295	0.194	0.315	0.292	0.090	0.070	0.074	0.000	0.000	0.000	0.000	0.000	0.000	Na+-H+ antiporter family	0.169
