	class	0.1_0	0.2_0	0.07_0	0.05_0	0.7_0	0.5_0	0.02_0	1_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	Pfam_desc	cor
PF06923	+	0.654	0.530	0.588	0.526	0.734	0.391	0.212	0.491	0.000	0.000	0.000	0.000	0.000	Glucitol operon activator protein (GutM)	0.715
PF03612	+	0.000	0.208	0.000	0.000	0.051	0.321	0.000	0.164	0.000	0.000	0.000	0.000	0.000	Sorbitol phosphotransferase enzyme II N-terminus	0.695
PF03812	+	0.444	0.560	0.387	0.291	0.659	0.543	0.000	0.628	0.000	0.000	0.000	0.000	0.000	2-keto-3-deoxygluconate permease	0.524
PF02694	+	0.048	0.038	0.092	0.132	0.065	0.089	0.011	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterised BCR, YnfA/UPF0060 family	0.467
PF05171	+	0.000	0.080	0.000	0.000	0.118	0.000	0.000	0.206	0.000	0.000	0.000	0.000	0.000	Haemin-degrading HemS.ChuX domain	0.451
PF04951	+	0.247	0.282	0.209	0.103	0.164	0.236	0.000	0.157	0.000	0.000	0.000	0.000	0.000	D-aminopeptidase	0.418
PF07007	+	0.000	0.000	0.000	0.000	0.097	0.000	0.000	0.275	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1311)	0.416
PF05336	+	0.000	0.000	0.000	0.028	0.101	0.155	0.000	0.359	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF718)	0.405
PF02056	+	0.000	0.000	0.018	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Family 4 glycosyl hydrolase	0.388
PF05063	+	0.135	0.261	0.086	0.000	0.292	0.381	0.000	0.313	0.000	0.000	0.000	0.000	0.000	MT-A70	0.366
PF13577	+	0.073	0.086	0.065	0.019	0.066	0.000	0.000	0.081	0.000	0.000	0.000	0.000	0.000	SnoaL-like domain	0.365
PF04794	+	0.000	0.000	0.000	0.000	0.030	0.116	0.000	0.059	0.000	0.000	0.000	0.000	0.000	YdjC-like protein	0.351
PF02955	+	0.000	0.000	0.000	0.000	0.134	0.223	0.000	0.008	0.000	0.000	0.000	0.000	0.000	Prokaryotic glutathione synthetase, ATP-grasp domain	0.350
PF06067	+	0.119	0.049	0.178	0.204	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF932)	0.350
PF12708	+	0.023	0.037	0.026	0.033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Pectate lyase superfamily protein	0.344
PF00847	+	0.689	0.525	0.659	0.610	0.417	0.552	0.035	0.396	0.000	0.000	0.000	0.000	0.000	AP2 domain	0.335
PF03972	+	0.042	0.057	0.024	0.000	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	MmgE/PrpD family	0.316
PF09224	+	0.000	0.000	0.000	0.000	0.331	0.584	0.000	0.477	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF1961)	0.314
PF01526	+	0.038	0.139	0.012	0.000	0.223	0.000	0.000	0.254	0.000	0.000	0.000	0.000	0.000	Tn3 transposase DDE domain	0.303
PF00295	+	0.000	0.024	0.000	0.000	0.055	0.000	0.000	0.110	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 28	0.302
PF01894	+	0.000	0.000	0.000	0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterised protein family UPF0047	0.294
PF14549	+	0.000	0.023	0.000	0.000	0.129	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DNA-binding transcriptional regulator Cro	0.266
PF07732	-	0.000	0.000	0.000	0.000	-0.125	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Multicopper oxidase	0.264
PF01161	+	0.034	0.004	0.000	0.000	0.023	0.056	0.000	0.043	0.000	0.000	0.000	0.000	0.000	Phosphatidylethanolamine-binding protein	0.261
PF13728	+	0.065	0.029	0.017	0.000	0.097	0.245	0.000	0.218	0.000	0.000	0.000	0.000	0.000	F plasmid transfer operon protein	0.253
PF03606	+	0.090	0.211	0.022	0.000	0.404	0.274	0.000	0.446	0.000	0.000	0.000	0.000	0.000	C4-dicarboxylate anaerobic carrier	0.251
PF01175	+	0.000	0.000	0.000	0.000	0.072	0.000	0.000	0.088	0.000	0.000	0.000	0.000	0.000	Urocanase	0.248
PF05534	+	0.033	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	HicB family	0.240
PF06750	+	0.000	0.000	0.000	0.000	0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial Peptidase A24 N-terminal domain	0.233
PF03412	+	0.010	0.109	0.000	0.000	0.056	0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Peptidase C39 family	0.233
PF00875	+	0.000	0.000	0.000	0.000	0.116	0.070	0.000	0.029	0.000	0.000	0.000	0.000	0.000	DNA photolyase	0.229
PF00245	+	0.082	0.103	0.088	0.080	0.204	0.203	0.000	0.201	0.000	0.000	0.000	0.000	0.000	Alkaline phosphatase	0.229
PF00441	+	0.000	0.068	0.000	0.000	0.270	0.217	0.000	0.330	0.000	0.000	0.000	0.000	0.000	Acyl-CoA dehydrogenase, C-terminal domain	0.229
PF13814	+	0.000	0.067	0.000	0.000	0.221	0.077	0.000	0.175	0.000	0.000	0.000	0.000	0.000	Replication-relaxation	0.228
PF00190	+	0.050	0.010	0.039	0.022	0.000	0.115	0.000	0.098	0.000	0.000	0.000	0.000	0.000	Cupin	0.226
PF00221	+	0.000	0.000	0.000	0.000	0.031	0.033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Aromatic amino acid lyase	0.224
PF08433	+	0.000	0.172	0.000	0.000	0.250	0.000	0.000	0.294	0.000	0.000	0.000	0.000	0.000	Chromatin associated protein KTI12	0.216
PF06042	+	0.000	0.064	0.000	0.000	0.130	0.246	0.000	0.113	0.000	0.000	0.000	0.000	0.000	Bacterial protein of unknown function (DUF925)	0.212
PF13521	+	0.000	0.000	0.000	0.000	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AAA domain	0.208
PF11459	+	0.000	0.028	0.000	0.000	0.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknwon function (DUF2893)	0.208
PF04616	+	0.097	0.107	0.054	0.000	0.123	0.130	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 43	0.206
PF05935	+	0.165	0.235	0.109	0.003	0.264	0.265	0.000	0.273	0.000	0.000	0.000	0.000	0.000	Arylsulfotransferase (ASST)	0.202
PF05015	+	0.000	0.000	0.000	0.000	0.062	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Plasmid maintenance system killer protein	0.171
PF07411	+	0.000	0.000	0.000	0.000	0.055	0.000	0.000	0.081	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF1508)	0.169
PF12169	-	0.000	0.000	0.000	0.000	-0.111	-0.130	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DNA polymerase III subunits gamma and tau domain III	0.168
PF00931	+	0.013	0.238	0.000	0.000	0.253	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NB-ARC domain	0.163
PF08922	+	0.000	0.108	0.000	0.000	0.000	0.000	0.000	0.156	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF1905)	0.163
PF09314	+	0.000	0.026	0.000	0.000	0.000	0.087	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF1972)	0.151
PF02368	-	0.000	0.000	0.000	0.000	-0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial Ig-like domain (group 2)	0.149
PF13379	-	0.000	0.000	0.000	0.000	-0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NMT1-like family	0.146
PF14145	+	0.000	0.000	0.000	0.000	0.111	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	YrhK-like protein	0.145
PF04143	-	0.000	0.000	0.000	0.000	-0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Sulphur transport	0.143
PF01891	+	0.000	0.069	0.000	0.000	0.059	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cobalt uptake substrate-specific transmembrane region	0.135
PF02534	-	0.000	0.000	0.000	0.000	-0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Type IV secretory system Conjugative DNA transfer	0.133
PF09423	+	0.086	0.073	0.028	0.000	0.043	0.149	0.000	0.185	0.000	0.000	0.000	0.000	0.000	PhoD-like phosphatase	0.132
PF09588	+	0.071	0.034	0.036	0.000	0.056	0.187	0.000	0.145	0.000	0.000	0.000	0.000	0.000	YqaJ-like viral recombinase domain	0.125
PF05065	-	0.000	0.000	0.000	0.000	-0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage capsid family	0.081
PF08415	-	0.000	0.000	0.000	0.000	-0.088	-0.022	0.000	-0.041	0.000	0.000	0.000	0.000	0.000	Nonribosomal peptide synthase	0.074
PF06508	-	0.000	0.000	0.000	0.000	-0.320	-0.291	0.000	-0.255	0.000	0.000	0.000	0.000	0.000	Queuosine biosynthesis protein QueC	0.069
PF10415	-	0.000	-0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Fumarase C C-terminus	0.055
