	class	0.5_0	1_0	0.2_0	0.7_0	0.1_0	0.07_0	0.05_0	0.02_0	0.01_0	0.007_0	0.005_0	0.001_0	0.002_0	Pfam_desc	cor
PF01238	+	0.602	0.504	0.453	0.547	0.319	0.278	0.284	0.353	0.331	0.284	0.163	0.000	0.000	Phosphomannose isomerase type I	0.697
PF05116	+	0.152	0.239	0.252	0.232	0.297	0.336	0.367	0.437	0.396	0.317	0.213	0.000	0.000	Sucrose-6F-phosphate phosphohydrolase	0.657
PF02664	+	0.207	0.305	0.198	0.239	0.154	0.161	0.165	0.165	0.112	0.026	0.000	0.000	0.000	S-Ribosylhomocysteinase (LuxS)	0.632
PF10509	+	0.262	0.305	0.199	0.170	0.175	0.190	0.210	0.177	0.123	0.020	0.000	0.000	0.000	Galactokinase galactose-binding signature	0.631
PF00358	+	0.243	0.259	0.235	0.236	0.246	0.230	0.217	0.207	0.171	0.112	0.010	0.000	0.000	phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1	0.630
PF03611	+	0.000	0.000	0.000	0.000	0.008	0.029	0.034	0.000	0.000	0.000	0.000	0.000	0.000	PTS system sugar-specific permease component	0.626
PF00367	+	0.026	0.000	0.048	0.002	0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	phosphotransferase system, EIIB	0.605
PF00232	+	0.022	0.062	0.000	0.025	0.000	0.011	0.033	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolase family 1	0.603
PF03123	+	0.000	0.000	0.000	0.000	0.040	0.048	0.056	0.000	0.000	0.000	0.000	0.000	0.000	CAT RNA binding domain	0.600
PF02744	+	0.180	0.077	0.135	0.212	0.156	0.084	0.016	0.000	0.000	0.000	0.000	0.000	0.000	Galactose-1-phosphate uridyl transferase, C-terminal domain	0.597
PF00251	+	0.093	0.086	0.002	0.048	0.038	0.081	0.079	0.030	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 32 N-terminal domain	0.588
PF02863	+	0.017	0.167	0.000	0.090	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Arginine repressor, C-terminal domain	0.574
PF01316	+	0.000	0.075	0.000	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Arginine repressor, DNA binding domain	0.563
PF10437	+	0.074	0.000	0.071	0.000	0.000	0.012	0.022	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial lipoate protein ligase C-terminus	0.551
PF02929	+	0.361	0.338	0.397	0.429	0.416	0.436	0.425	0.102	0.000	0.000	0.000	0.000	0.000	Beta galactosidase small chain	0.524
