	class	0.5_0	0.7_0	0.2_0	1_0	0.1_0	0.07_0	0.05_0	0.02_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	Pfam_desc	cor
PF08820	+	0.046	0.032	0.253	0.062	0.186	0.083	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF1803)	0.804
PF11217	+	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3013)	0.735
PF11240	+	0.003	0.000	0.000	0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3042)	0.627
PF11184	+	0.724	0.778	0.405	0.742	0.349	0.381	0.388	0.060	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2969)	0.601
PF02229	+	0.066	0.056	0.046	0.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transcriptional Coactivator p15 (PC4)	0.555
PF06177	+	0.032	0.000	0.051	0.000	0.074	0.072	0.031	0.000	0.000	0.000	0.000	0.000	0.000	QueT transporter	0.547
PF11858	+	0.620	0.573	0.502	0.581	0.264	0.121	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF3378)	0.541
PF04260	+	0.000	0.000	0.000	0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF436)	0.522
PF01487	+	0.175	0.176	0.252	0.172	0.431	0.507	0.604	0.324	0.000	0.000	0.000	0.000	0.000	Type I 3-dehydroquinase	0.521
PF04525	+	0.347	0.355	0.182	0.284	0.107	0.077	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tubby C 2	0.520
PF02486	+	0.000	0.000	0.106	0.000	0.160	0.097	0.028	0.000	0.000	0.000	0.000	0.000	0.000	Replication initiation factor	0.497
PF06962	+	0.082	0.105	0.036	0.097	0.015	0.018	0.041	0.000	0.000	0.000	0.000	0.000	0.000	Putative rRNA methylase	0.480
PF03444	+	0.000	0.000	0.024	0.000	0.021	0.040	0.066	0.000	0.000	0.000	0.000	0.000	0.000	Winged helix-turn-helix transcription repressor, HrcA DNA-binding	0.463
PF09314	+	0.000	0.006	0.000	0.081	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF1972)	0.459
PF02829	+	0.045	0.072	0.000	0.128	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3H domain	0.433
PF06961	+	0.065	0.046	0.064	0.000	0.017	0.016	0.040	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1294)	0.406
PF02388	+	0.205	0.213	0.071	0.224	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	FemAB family	0.393
PF11694	+	0.081	0.081	0.099	0.000	0.036	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3290)	0.362
PF14131	+	0.091	0.063	0.145	0.084	0.190	0.121	0.026	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4298)	0.331
PF06044	+	0.359	0.434	0.073	0.447	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Dam-replacing family	0.318
PF03062	+	0.017	0.031	0.114	0.057	0.114	0.115	0.115	0.000	0.000	0.000	0.000	0.000	0.000	MBOAT, membrane-bound O-acyltransferase family	0.300
PF01076	+	0.190	0.195	0.017	0.244	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Plasmid recombination enzyme	0.286
PF02608	+	0.105	0.141	0.000	0.085	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Basic membrane protein	0.270
PF15569	+	0.677	0.702	0.408	0.735	0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Immunity protein 21	0.270
PF10552	+	0.000	0.030	0.000	0.053	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ORF6C domain	0.257
PF11283	+	0.116	0.270	0.000	0.475	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3084)	0.253
PF03390	+	0.000	0.000	0.000	0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2-hydroxycarboxylate transporter family	0.250
PF02324	+	0.000	0.041	0.000	0.118	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolase family 70	0.219
PF04087	+	0.023	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF389)	0.218
PF04245	+	0.250	0.269	0.139	0.290	0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	37-kD nucleoid-associated bacterial protein	0.190
PF03610	-	-0.058	-0.099	0.000	-0.117	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PTS system fructose IIA component	0.170
PF00367	-	-0.015	-0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	phosphotransferase system, EIIB	0.162
PF11840	+	0.000	0.000	0.000	0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3360)	0.142
PF04830	+	0.003	0.046	0.000	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Possible hemagglutinin (DUF637)	0.111
PF13515	+	0.000	0.071	0.000	0.043	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Fusaric acid resistance protein-like	0.093
PF01238	-	-0.010	-0.016	0.000	-0.096	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phosphomannose isomerase type I	0.090
PF11208	-	-0.001	-0.036	0.000	-0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2992)	0.090
PF14393	+	0.005	0.008	0.000	0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4422)	0.089
PF02734	-	-0.042	-0.047	-0.013	-0.078	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DAK2 domain	0.083
PF07669	-	0.000	0.000	0.000	-0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Eco57I restriction-modification methylase	0.075
PF01633	-	-0.011	-0.029	0.000	-0.066	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Choline/ethanolamine kinase	0.074
PF08367	+	0.330	0.268	0.409	0.227	0.236	0.055	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Peptidase M16C associated	0.065
PF06857	+	0.034	0.057	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Malonate decarboxylase delta subunit (MdcD)	0.057
PF00485	-	-0.030	-0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phosphoribulokinase / Uridine kinase family	0.055
PF03432	-	0.000	0.000	0.000	-0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Relaxase/Mobilisation nuclease domain	0.031
PF03848	-	-0.069	-0.098	-0.000	-0.136	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tellurite resistance protein TehB	0.023
PF00078	-	0.000	0.000	0.000	-0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Reverse transcriptase (RNA-dependent DNA polymerase)	0.022
PF05658	+	0.140	0.140	0.126	0.156	0.131	0.102	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Head domain of trimeric autotransporter adhesin	0.022
PF00708	-	-0.026	-0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Acylphosphatase	0.013
PF03895	+	0.391	0.353	0.420	0.323	0.403	0.284	0.105	0.000	0.000	0.000	0.000	0.000	0.000	YadA-like C-terminal region	0.005
PF00188	+	0.056	0.076	0.000	0.117	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cysteine-rich secretory protein family	0.004
PF10412	-	0.000	-0.034	0.000	-0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Type IV secretion-system coupling protein DNA-binding domain	0.004
PF13018	+	0.403	0.387	0.207	0.397	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Extended Signal Peptide of Type V secretion system	-0.002
PF12724	-	-0.047	-0.060	-0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Flavodoxin domain	-0.008
PF07991	+	0.066	0.133	0.000	0.153	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Acetohydroxy acid isomeroreductase, catalytic domain	-0.010
PF12696	-	-0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	TraM recognition site of TraD and TraG	-0.016
PF05690	+	0.000	0.039	0.000	0.186	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Thiazole biosynthesis protein ThiG	-0.020
PF01427	+	0.011	0.026	0.000	0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	D-ala-D-ala dipeptidase	-0.023
PF02629	-	-0.000	-0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CoA binding domain	-0.025
PF07179	-	0.000	0.000	0.000	-0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	SseB protein N-terminal domain	-0.027
PF01791	-	0.000	0.000	-0.092	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DeoC/LacD family aldolase	-0.029
PF13173	-	-0.090	-0.101	0.000	-0.099	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AAA domain	-0.030
