	class	0.2_0	0.5_0	0.7_0	1_0	0.1_0	0.07_0	0.05_0	0.01_0	0.02_0	0.007_0	0.001_0	0.002_0	0.005_0	Pfam_desc	cor
PF02906	+	0.110	0.164	0.160	0.197	0.094	0.073	0.059	0.000	0.000	0.000	0.000	0.000	0.000	Iron only hydrogenase large subunit, C-terminal domain	0.738
PF09989	+	0.252	0.114	0.091	0.079	0.312	0.331	0.320	0.000	0.204	0.000	0.000	0.000	0.000	CoA enzyme activase uncharacterised domain (DUF2229)	0.732
PF06050	+	0.000	0.000	0.015	0.000	0.000	0.011	0.017	0.000	0.000	0.000	0.000	0.000	0.000	2-hydroxyglutaryl-CoA dehydratase, D-component	0.659
PF04961	+	0.000	0.000	0.000	0.000	0.029	0.042	0.053	0.000	0.000	0.000	0.000	0.000	0.000	Formiminotransferase-cyclodeaminase	0.654
PF10105	+	0.471	0.681	0.705	0.757	0.355	0.288	0.169	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized protein conserved in bacteria (DUF2344)	0.590
PF12437	+	0.013	0.107	0.160	0.184	0.000	0.024	0.067	0.000	0.000	0.000	0.000	0.000	0.000	Glutamine synthetase type III N terminal	0.578
PF10418	+	0.184	0.109	0.087	0.089	0.296	0.388	0.487	0.294	0.650	0.082	0.000	0.000	0.000	Iron-sulfur cluster binding domain of dihydroorotate dehydrogenase B	0.575
PF04015	+	0.000	0.063	0.112	0.159	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF362)	0.562
PF13635	+	0.449	0.399	0.389	0.361	0.436	0.435	0.390	0.000	0.052	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4143)	0.484
PF02579	+	0.000	0.080	0.079	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Dinitrogenase iron-molybdenum cofactor	0.483
PF03577	+	0.046	0.000	0.000	0.000	0.089	0.075	0.012	0.000	0.000	0.000	0.000	0.000	0.000	Peptidase family C69	0.429
PF13240	+	0.046	0.024	0.000	0.000	0.034	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	zinc-ribbon domain	0.429
PF12900	+	0.000	0.000	0.000	0.000	0.001	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Pyridoxamine 5'-phosphate oxidase	0.426
PF03030	+	0.090	0.125	0.162	0.179	0.096	0.052	0.010	0.000	0.000	0.000	0.000	0.000	0.000	Inorganic H+ pyrophosphatase	0.419
PF01268	+	0.000	0.095	0.118	0.142	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Formate--tetrahydrofolate ligase	0.368
PF08486	+	0.119	0.155	0.179	0.203	0.077	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Stage II sporulation protein	0.367
PF02457	+	0.119	0.105	0.129	0.091	0.099	0.064	0.030	0.000	0.000	0.000	0.000	0.000	0.000	DisA bacterial checkpoint controller nucleotide-binding	0.345
PF13399	+	0.000	0.038	0.098	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	LytR cell envelope-related transcriptional attenuator	0.338
PF07664	+	0.201	0.173	0.171	0.188	0.167	0.116	0.092	0.000	0.000	0.000	0.000	0.000	0.000	Ferrous iron transport protein B C terminus	0.332
PF03116	+	0.077	0.031	0.010	0.014	0.121	0.102	0.060	0.000	0.000	0.000	0.000	0.000	0.000	NQR2, RnfD, RnfE family	0.332
PF01228	+	0.165	0.037	0.000	0.000	0.131	0.117	0.068	0.000	0.000	0.000	0.000	0.000	0.000	Glycine radical	0.318
PF05896	+	0.000	0.000	0.000	0.000	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Na(+)-translocating NADH-quinone reductase subunit A (NQRA)	0.307
PF03853	+	0.220	0.190	0.227	0.201	0.193	0.184	0.165	0.000	0.007	0.000	0.000	0.000	0.000	YjeF-related protein N-terminus	0.304
PF14691	+	0.185	0.233	0.219	0.253	0.063	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster	0.294
PF02901	+	0.000	0.063	0.090	0.087	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Pyruvate formate lyase	0.291
PF13686	+	0.121	0.174	0.180	0.152	0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DsrE/DsrF/DrsH-like family	0.260
PF04551	+	0.000	0.065	0.086	0.158	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GcpE protein	0.252
PF06250	+	0.024	0.000	0.005	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1016)	0.233
PF00754	-	0.000	0.000	-0.002	-0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	F5/8 type C domain	0.233
PF13196	+	0.000	0.143	0.191	0.174	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF4012)	0.208
PF07670	+	0.106	0.183	0.179	0.177	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Nucleoside recognition	0.206
PF03275	+	0.128	0.083	0.053	0.108	0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	UDP-galactopyranose mutase	0.206
PF07510	-	0.000	0.000	-0.018	-0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1524)	0.201
PF04246	+	0.211	0.341	0.331	0.325	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Positive regulator of sigma(E), RseC/MucC	0.201
PF11387	+	0.000	0.000	0.000	0.032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2795)	0.186
PF01734	+	0.000	0.000	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Patatin-like phospholipase	0.185
PF00389	+	0.003	0.022	0.013	0.093	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain	0.181
PF00722	-	0.000	0.000	0.000	-0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 16	0.178
PF13690	+	0.025	0.000	0.009	0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Chemotaxis phosphatase CheX	0.173
PF02589	-	0.000	-0.001	-0.014	-0.056	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterised ACR, YkgG family COG1556	0.155
PF01863	+	0.121	0.135	0.124	0.143	0.083	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function DUF45	0.149
PF01643	-	0.000	-0.035	-0.058	-0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Acyl-ACP thioesterase	0.142
PF04511	+	0.000	0.671	0.894	1.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Der1-like family	0.131
PF02632	+	0.097	0.000	0.000	0.000	0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	BioY family	0.127
PF01008	-	0.000	-0.011	0.000	-0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Initiation factor 2 subunit family	0.122
PF13600	+	0.217	0.203	0.160	0.141	0.096	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	N-terminal domain of unknown function (DUF4140)	0.120
PF13657	+	0.007	0.000	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	HipA N-terminal domain	0.103
PF09913	+	0.011	0.029	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Predicted membrane protein (DUF2142)	0.088
