	class	1_0	0.5_0	0.7_0	0.2_0	0.1_0	0.07_0	0.05_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	0.02_0	Pfam_desc	cor
PF06605	+	0.128	0.207	0.151	0.094	0.088	0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Prophage endopeptidase tail	0.444
PF12363	+	0.499	0.400	0.453	0.340	0.217	0.158	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage protein	0.405
PF05565	+	0.040	0.000	0.000	0.000	0.029	0.083	0.090	0.000	0.000	0.000	0.000	0.000	0.000	Siphovirus Gp157	0.400
PF13848	+	0.146	0.027	0.210	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Thioredoxin-like domain	0.387
PF05135	+	0.345	0.333	0.281	0.400	0.475	0.511	0.469	0.000	0.000	0.000	0.000	0.000	0.184	Phage gp6-like head-tail connector protein	0.387
PF14265	+	0.000	0.000	0.000	0.000	0.014	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4355)	0.387
PF11193	+	0.139	0.230	0.212	0.116	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2812)	0.374
PF02868	+	0.003	0.000	0.000	0.108	0.178	0.182	0.178	0.000	0.000	0.000	0.000	0.000	0.000	Thermolysin metallopeptidase, alpha-helical domain	0.370
PF01447	+	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Thermolysin metallopeptidase, catalytic domain	0.370
PF04183	+	0.121	0.109	0.075	0.127	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	IucA / IucC family	0.362
PF07194	+	0.293	0.179	0.232	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	P2 response regulator binding domain	0.357
PF11070	+	0.048	0.000	0.076	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2871)	0.357
PF07299	+	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Fibronectin-binding protein (FBP)	0.354
PF03243	+	0.022	0.000	0.000	0.000	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Alkylmercury lyase	0.346
PF15542	+	0.137	0.150	0.168	0.229	0.136	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Putative toxin 64	0.339
PF01289	+	0.413	0.330	0.413	0.264	0.136	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Thiol-activated cytolysin	0.339
PF02624	+	0.179	0.158	0.142	0.093	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	YcaO-like family	0.336
PF04531	+	0.124	0.241	0.210	0.145	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacteriophage holin	0.322
PF02679	+	0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	(2R)-phospho-3-sulfolactate synthase (ComA)	0.321
PF08010	+	0.000	0.588	0.701	0.258	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacteriophage protein GP30.3	0.315
PF08309	+	0.765	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	LVIVD repeat	0.315
PF13620	+	0.299	0.344	0.327	0.220	0.129	0.129	0.142	0.000	0.000	0.000	0.000	0.000	0.000	Carboxypeptidase regulatory-like domain	0.314
PF05521	+	0.000	0.000	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage head-tail joining protein	0.312
PF04630	+	0.065	0.091	0.049	0.100	0.059	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage major tail protein	0.307
PF13783	+	0.007	0.000	0.059	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4177)	0.307
PF04466	+	0.169	0.069	0.085	0.092	0.045	0.054	0.059	0.000	0.000	0.000	0.000	0.000	0.000	Phage terminase large subunit	0.307
PF04066	+	0.071	0.130	0.153	0.158	0.224	0.182	0.100	0.000	0.000	0.000	0.000	0.000	0.000	Multiple resistance and pH regulation protein F (MrpF / PhaF)	0.298
PF02436	+	0.000	0.000	0.000	0.000	0.032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Conserved carboxylase domain	0.295
PF03142	+	0.000	0.196	0.254	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Chitin synthase	0.292
PF06152	+	0.185	0.049	0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage minor capsid protein 2	0.291
PF08937	+	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	MTH538 TIR-like domain (DUF1863)	0.279
PF12811	+	0.092	0.087	0.085	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bax inhibitor 1 like	0.277
PF01905	+	0.955	0.838	0.918	0.495	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CRISPR-associated negative auto-regulator DevR/Csa2	0.275
PF08817	+	0.000	0.000	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	WXG100 protein secretion system (Wss), protein YukD	0.272
PF13244	+	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4040)	0.267
PF12686	+	0.000	0.000	0.081	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3800)	0.266
PF13730	+	0.030	0.032	0.070	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Helix-turn-helix domain	0.263
PF12729	+	0.061	0.306	0.250	0.344	0.244	0.227	0.219	0.000	0.000	0.000	0.000	0.000	0.000	Four helix bundle sensory module for signal transduction	0.259
PF00882	+	0.113	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Zinc dependent phospholipase C	0.258
PF10340	+	0.041	0.122	0.000	0.191	0.224	0.204	0.185	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2424)	0.251
PF05076	+	0.093	0.180	0.130	0.297	0.303	0.179	0.033	0.000	0.000	0.000	0.000	0.000	0.000	Suppressor of fused protein (SUFU)	0.246
PF00708	+	0.120	0.000	0.065	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Acylphosphatase	0.246
PF12835	+	0.164	0.191	0.183	0.251	0.200	0.155	0.061	0.000	0.000	0.000	0.000	0.000	0.000	Integrase	0.243
PF03592	+	0.008	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Terminase small subunit	0.236
PF09586	+	0.476	0.486	0.512	0.169	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial membrane protein YfhO	0.220
PF02901	+	0.000	0.000	0.000	0.048	0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Pyruvate formate lyase	0.213
PF06634	+	0.570	0.380	0.373	0.228	0.053	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1156)	0.211
PF13274	+	0.008	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF4065)	0.204
PF07694	-	-0.023	0.000	-0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5TMR of 5TMR-LYT	0.204
PF02652	+	0.150	0.116	0.107	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	L-lactate permease	0.187
PF01797	+	0.121	0.051	0.060	0.116	0.064	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transposase IS200 like	0.184
PF00821	+	0.092	0.071	0.085	0.043	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phosphoenolpyruvate carboxykinase	0.176
PF13826	+	0.010	0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4188)	0.161
PF07508	-	-0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Recombinase	0.153
PF13539	+	0.075	0.049	0.062	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	D-alanyl-D-alanine carboxypeptidase	0.153
PF05448	+	0.162	0.144	0.165	0.227	0.137	0.067	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Acetyl xylan esterase (AXE1)	0.149
PF11734	-	-0.018	-0.011	-0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	TilS substrate C-terminal domain	0.146
PF08031	+	0.100	0.059	0.087	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Berberine and berberine like	0.140
PF02633	+	0.116	0.065	0.085	0.099	0.066	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Creatinine amidohydrolase	0.133
PF01930	+	0.000	0.037	0.015	0.089	0.113	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function DUF83	0.131
PF08244	-	-0.054	-0.032	-0.085	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 32 C terminal	0.126
PF02744	+	0.012	0.043	0.080	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Galactose-1-phosphate uridyl transferase, C-terminal domain	0.121
PF10593	+	0.148	0.000	0.095	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Z1 domain	0.119
PF03441	+	0.053	0.000	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	FAD binding domain of DNA photolyase	0.113
PF00875	+	0.074	0.072	0.084	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DNA photolyase	0.113
PF07669	-	-0.063	0.000	-0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Eco57I restriction-modification methylase	0.110
PF13452	+	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	N-terminal half of MaoC dehydratase	0.096
PF13484	-	-0.103	-0.046	-0.011	-0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4Fe-4S double cluster binding domain	0.091
PF13518	-	0.000	0.000	-0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Helix-turn-helix domain	0.083
PF05164	-	-0.045	-0.037	-0.067	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cell division protein ZapA	0.075
PF00899	-	-0.083	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ThiF family	0.074
PF07498	-	0.000	0.000	-0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Rho termination factor, N-terminal domain	0.071
PF14690	+	0.126	0.052	0.112	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	zinc-finger of transposase IS204/IS1001/IS1096/IS1165	0.064
PF12161	+	0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	HsdM N-terminal domain	0.064
PF13348	-	-0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tyrosine phosphatase family C-terminal region	0.060
PF13683	-	-0.022	-0.005	-0.040	-0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Integrase core domain	0.059
PF02498	-	-0.196	-0.082	-0.074	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	BRO family, N-terminal domain	0.053
PF01458	-	-0.093	-0.139	-0.135	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized protein family (UPF0051)	0.049
PF06969	-	0.000	0.000	-0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	HemN C-terminal domain	0.047
PF01575	+	0.101	0.000	0.061	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	MaoC like domain	0.046
PF13309	+	0.015	0.093	0.080	0.100	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	HTH domain	0.041
PF08348	+	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	YheO-like PAS domain	0.041
