	class	0.5_0	0.2_0	0.7_0	1_0	0.1_0	0.07_0	0.05_0	0.02_0	0.01_0	0.007_0	0.005_0	0.001_0	0.002_0	Pfam_desc	cor
PF01220	+	0.376	0.321	0.313	0.330	0.389	0.390	0.358	0.246	0.144	0.039	0.000	0.000	0.000	Dehydroquinase class II	0.582
PF03880	+	0.200	0.182	0.193	0.131	0.234	0.204	0.130	0.069	0.023	0.000	0.000	0.000	0.000	DbpA RNA binding domain	0.522
PF01188	+	0.248	0.205	0.176	0.152	0.207	0.185	0.167	0.113	0.023	0.000	0.000	0.000	0.000	Mandelate racemase / muconate lactonizing enzyme, C-terminal domain	0.499
PF07638	+	0.000	0.057	0.000	0.000	0.080	0.072	0.052	0.000	0.000	0.000	0.000	0.000	0.000	ECF sigma factor	0.494
PF00733	+	0.140	0.129	0.144	0.147	0.115	0.105	0.126	0.143	0.079	0.000	0.000	0.000	0.000	Asparagine synthase	0.486
PF13292	+	0.024	0.024	0.000	0.000	0.075	0.108	0.148	0.200	0.178	0.000	0.040	0.000	0.000	1-deoxy-D-xylulose-5-phosphate synthase	0.464
PF13624	+	0.337	0.259	0.321	0.234	0.147	0.090	0.054	0.000	0.000	0.000	0.000	0.000	0.000	SurA N-terminal domain	0.437
PF10410	+	0.000	0.018	0.000	0.000	0.037	0.067	0.084	0.038	0.000	0.000	0.000	0.000	0.000	DnaB-helicase binding domain of primase	0.430
PF03775	+	0.619	0.405	0.759	0.960	0.243	0.197	0.139	0.000	0.000	0.000	0.000	0.000	0.000	Septum formation inhibitor MinC, C-terminal domain	0.421
PF13401	+	0.112	0.187	0.067	0.018	0.174	0.167	0.184	0.218	0.186	0.207	0.052	0.000	0.000	AAA domain	0.420
PF02602	+	0.000	0.000	0.150	0.127	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uroporphyrinogen-III synthase HemD	0.415
PF02355	+	0.000	0.042	0.000	0.000	0.007	0.000	0.000	0.018	0.034	0.017	0.000	0.000	0.000	Protein export membrane protein	0.413
PF06609	+	0.066	0.070	0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Fungal trichothecene efflux pump (TRI12)	0.403
PF13286	+	0.000	0.000	0.000	0.142	0.000	0.028	0.053	0.000	0.000	0.000	0.000	0.000	0.000	Phosphohydrolase-associated domain	0.403
PF00563	+	0.000	0.004	0.000	0.000	0.043	0.052	0.054	0.031	0.000	0.000	0.000	0.000	0.000	EAL domain	0.403
PF09339	+	0.000	0.020	0.000	0.110	0.037	0.030	0.024	0.000	0.000	0.000	0.000	0.000	0.000	IclR helix-turn-helix domain	0.399
PF13231	+	0.212	0.144	0.245	0.143	0.089	0.055	0.019	0.000	0.000	0.000	0.000	0.000	0.000	Dolichyl-phosphate-mannose-protein mannosyltransferase	0.397
PF03176	+	0.000	0.033	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	MMPL family	0.394
PF02277	+	0.000	0.000	0.000	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phosphoribosyltransferase	0.391
PF00022	+	0.062	0.137	0.131	0.000	0.156	0.152	0.133	0.017	0.000	0.000	0.000	0.000	0.000	Actin	0.386
PF06965	+	0.000	0.008	0.101	0.185	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Na+/H+ antiporter 1	0.378
PF13464	+	0.000	0.072	0.011	0.000	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4115)	0.376
PF01923	+	0.101	0.041	0.000	0.000	0.015	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cobalamin adenosyltransferase	0.370
PF13432	+	0.082	0.035	0.123	0.145	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Tetratricopeptide repeat	0.362
PF07885	+	0.077	0.047	0.063	0.109	0.052	0.053	0.040	0.000	0.000	0.000	0.000	0.000	0.000	Ion channel	0.346
PF01882	+	0.000	0.073	0.000	0.000	0.102	0.119	0.108	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function DUF58	0.330
PF06305	+	0.000	0.000	0.000	0.102	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1049)	0.328
PF02678	-	-0.041	0.000	-0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Pirin	0.314
PF08666	-	0.000	0.000	-0.002	-0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	SAF domain	0.311
PF00668	+	0.127	0.097	0.092	0.110	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Condensation domain	0.307
PF14310	+	0.201	0.113	0.135	0.158	0.102	0.080	0.013	0.000	0.000	0.000	0.000	0.000	0.000	Fibronectin type III-like domain	0.302
PF12146	+	0.063	0.019	0.000	0.000	0.042	0.035	0.012	0.000	0.000	0.000	0.000	0.000	0.000	Putative lysophospholipase	0.300
PF00596	+	0.272	0.222	0.243	0.223	0.184	0.155	0.119	0.024	0.000	0.000	0.000	0.000	0.000	Class II Aldolase and Adducin N-terminal domain	0.295
PF01583	+	0.000	0.000	0.000	0.076	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Adenylylsulphate kinase	0.292
PF02634	+	0.054	0.000	0.016	0.074	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	FdhD/NarQ family	0.291
PF02574	+	0.000	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Homocysteine S-methyltransferase	0.278
PF05899	+	0.189	0.073	0.091	0.234	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF861)	0.262
PF00041	+	0.000	0.039	0.000	0.000	0.044	0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Fibronectin type III domain	0.257
PF06347	+	0.000	0.050	0.000	0.000	0.069	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial SH3 domain	0.256
PF01914	-	0.000	0.000	0.000	-0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	MarC family integral membrane protein	0.255
PF01841	+	0.151	0.000	0.166	0.122	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transglutaminase-like superfamily	0.251
PF00325	+	0.000	0.000	0.000	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial regulatory proteins, crp family	0.236
PF13458	+	0.000	0.069	0.000	0.000	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Periplasmic binding protein	0.228
PF13473	+	0.103	0.044	0.094	0.000	0.023	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cupredoxin-like domain	0.227
