	class	1_0	0.2_0	0.07_0	0.5_0	0.1_0	0.7_0	0.05_0	0.02_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	Pfam_desc	cor
PF06519	+	0.483	0.380	0.193	0.359	0.267	0.333	0.128	0.000	0.000	0.000	0.000	0.000	0.000	TolA C-terminal	0.502
PF06368	+	0.584	0.263	0.000	0.463	0.069	0.522	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Methylaspartate mutase E chain (MutE)	0.476
PF04338	+	0.101	0.000	0.000	0.033	0.000	0.079	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function, DUF481	0.454
PF14537	+	0.240	0.130	0.000	0.229	0.001	0.216	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Cytochrome c3	0.431
PF11659	+	0.173	0.133	0.222	0.190	0.243	0.176	0.111	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3261)	0.431
PF08029	+	0.000	0.000	0.079	0.000	0.030	0.000	0.099	0.035	0.000	0.000	0.000	0.000	0.000	HisG, C-terminal domain	0.428
PF04187	+	0.044	0.219	0.240	0.173	0.253	0.125	0.264	0.123	0.000	0.000	0.000	0.000	0.000	Protein of unknown function, DUF399	0.426
PF01184	+	0.107	0.070	0.036	0.073	0.079	0.072	0.023	0.000	0.000	0.000	0.000	0.000	0.000	GPR1/FUN34/yaaH family	0.398
PF10554	+	0.000	0.096	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ash protein family	0.374
PF13808	+	0.289	0.402	0.288	0.304	0.393	0.227	0.156	0.000	0.000	0.000	0.000	0.000	0.000	DDE_Tnp_1-associated	0.373
PF04224	+	0.000	0.069	0.185	0.000	0.202	0.000	0.034	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function, DUF417	0.349
PF04170	+	0.064	0.000	0.000	0.013	0.000	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NlpE N-terminal domain	0.345
PF02335	+	0.240	0.199	0.159	0.157	0.189	0.176	0.112	0.000	0.000	0.000	0.000	0.000	0.000	Cytochrome c552	0.343
PF08273	+	0.000	0.000	0.000	0.000	0.020	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Zinc-binding domain of primase-helicase	0.331
PF00801	+	0.056	0.000	0.000	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PKD domain	0.321
PF06992	+	0.255	0.238	0.000	0.277	0.122	0.247	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Replication protein P	0.305
PF03932	+	0.000	0.000	0.000	0.036	0.000	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	CutC family	0.304
PF13583	+	0.365	0.054	0.000	0.198	0.000	0.246	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Metallo-peptidase family M12B Reprolysin-like	0.302
