	class	0.2_0	0.7_0	1_0	0.1_0	0.5_0	0.07_0	0.05_0	0.02_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	Pfam_desc	cor
PF02694	+	0.782	0.833	0.819	0.665	0.818	0.612	0.536	0.298	0.000	0.000	0.000	0.000	0.000	Uncharacterised BCR, YnfA/UPF0060 family	0.703
PF01904	+	0.000	0.000	0.053	0.000	0.020	0.019	0.069	0.029	0.000	0.000	0.000	0.000	0.000	Protein of unknown function DUF72	0.632
PF08327	+	0.000	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Activator of Hsp90 ATPase homolog 1-like protein	0.615
PF12708	+	0.512	0.424	0.414	0.561	0.400	0.567	0.501	0.189	0.000	0.000	0.000	0.000	0.000	Pectate lyase superfamily protein	0.574
PF04309	+	0.295	0.118	0.093	0.257	0.150	0.192	0.066	0.000	0.000	0.000	0.000	0.000	0.000	Glycerol-3-phosphate responsive antiterminator	0.561
PF07683	+	0.012	0.000	0.000	0.018	0.000	0.011	0.030	0.000	0.000	0.000	0.000	0.000	0.000	Cobalamin synthesis protein cobW C-terminal domain	0.556
PF01019	+	0.000	0.000	0.000	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Gamma-glutamyltranspeptidase	0.533
PF10588	+	0.000	0.000	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NADH-ubiquinone oxidoreductase-G iron-sulfur binding region	0.450
PF09588	+	0.208	0.159	0.136	0.257	0.173	0.222	0.124	0.000	0.000	0.000	0.000	0.000	0.000	YqaJ-like viral recombinase domain	0.444
PF05724	+	0.000	0.000	0.000	0.042	0.000	0.035	0.013	0.000	0.000	0.000	0.000	0.000	0.000	Thiopurine S-methyltransferase (TPMT)	0.436
PF06779	+	0.000	0.034	0.061	0.000	0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1228)	0.433
PF01526	+	0.045	0.035	0.000	0.240	0.000	0.176	0.084	0.000	0.000	0.000	0.000	0.000	0.000	Tn3 transposase DDE domain	0.431
PF00990	+	0.072	0.091	0.081	0.000	0.091	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	GGDEF domain	0.420
PF14464	+	0.250	0.342	0.354	0.058	0.327	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Prokaryotic homologs of the JAB domain	0.420
PF02203	+	0.097	0.000	0.013	0.129	0.000	0.106	0.043	0.000	0.000	0.000	0.000	0.000	0.000	Tar ligand binding domain homologue	0.415
PF00245	+	0.285	0.350	0.369	0.269	0.339	0.260	0.234	0.000	0.000	0.000	0.000	0.000	0.000	Alkaline phosphatase	0.412
PF13700	+	0.242	0.365	0.438	0.000	0.385	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4158)	0.406
PF13493	+	0.000	0.000	0.000	0.000	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4118)	0.395
PF14411	+	0.000	0.046	0.088	0.000	0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	A nuclease of the HNH/ENDO VII superfamily with conserved LHH	0.368
PF06751	+	0.076	0.124	0.078	0.099	0.099	0.116	0.124	0.000	0.000	0.000	0.000	0.000	0.000	Ethanolamine ammonia lyase large subunit (EutB)	0.361
PF12996	+	0.000	0.126	0.090	0.000	0.116	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DUF based on E. rectale Gene description (DUF3880)	0.361
PF11611	+	0.130	0.227	0.276	0.144	0.190	0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4352)	0.354
PF00232	+	0.000	0.000	0.000	0.000	0.056	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolase family 1	0.350
PF01418	+	0.014	0.032	0.000	0.000	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Helix-turn-helix domain, rpiR family	0.346
PF06081	+	0.000	0.042	0.077	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial protein of unknown function (DUF939)	0.345
PF01008	+	0.006	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Initiation factor 2 subunit family	0.341
PF01558	+	0.034	0.052	0.051	0.000	0.053	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Pyruvate ferredoxin/flavodoxin oxidoreductase	0.341
PF13620	+	0.064	0.087	0.115	0.000	0.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Carboxypeptidase regulatory-like domain	0.340
