	class	0.5_0	1_0	0.7_0	0.2_0	0.1_0	0.07_0	0.05_0	0.02_0	0.007_0	0.01_0	0.001_0	0.002_0	0.005_0	Pfam_desc	cor
PF07702	+	0.125	0.055	0.100	0.067	0.061	0.058	0.033	0.055	0.054	0.065	0.000	0.000	0.000	UTRA domain	0.564
PF00232	+	0.338	0.413	0.348	0.325	0.280	0.258	0.230	0.234	0.035	0.149	0.000	0.000	0.000	Glycosyl hydrolase family 1	0.561
PF03932	+	0.092	0.032	0.088	0.076	0.082	0.090	0.142	0.088	0.000	0.000	0.000	0.000	0.000	CutC family	0.548
PF04069	+	0.059	0.049	0.093	0.082	0.047	0.022	0.007	0.148	0.092	0.130	0.000	0.000	0.000	Substrate binding domain of ABC-type glycine betaine transport system	0.523
PF04237	+	0.000	0.044	0.000	0.061	0.067	0.093	0.095	0.090	0.000	0.000	0.000	0.000	0.000	YjbR	0.502
PF00667	+	0.280	0.357	0.298	0.219	0.164	0.105	0.047	0.000	0.000	0.000	0.000	0.000	0.000	FAD binding domain	0.500
PF00265	+	0.008	0.000	0.034	0.000	0.000	0.000	0.000	0.000	0.000	0.019	0.000	0.000	0.000	Thymidine kinase	0.491
PF00251	+	0.233	0.364	0.204	0.227	0.274	0.289	0.295	0.162	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 32 N-terminal domain	0.474
PF00854	+	0.000	0.000	0.024	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	POT family	0.472
PF03551	+	0.216	0.287	0.229	0.145	0.112	0.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Transcriptional regulator PadR-like family	0.469
PF11975	+	0.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Family 4 glycosyl hydrolase C-terminal domain	0.463
PF02056	+	0.000	0.172	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Family 4 glycosyl hydrolase	0.463
PF06445	+	0.351	0.335	0.286	0.330	0.313	0.290	0.250	0.166	0.000	0.000	0.000	0.000	0.000	GyrI-like small molecule binding domain	0.458
PF04235	+	0.060	0.076	0.087	0.073	0.077	0.037	0.055	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF418)	0.456
PF08402	+	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	TOBE domain	0.448
PF01583	+	0.125	0.168	0.174	0.160	0.154	0.169	0.184	0.049	0.000	0.000	0.000	0.000	0.000	Adenylylsulphate kinase	0.444
PF12464	+	0.343	0.378	0.330	0.344	0.277	0.225	0.173	0.168	0.000	0.000	0.000	0.000	0.000	Maltose acetyltransferase	0.433
PF05343	+	0.000	0.065	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	M42 glutamyl aminopeptidase	0.430
PF03611	+	0.064	0.000	0.049	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PTS system sugar-specific permease component	0.418
PF02733	+	0.294	0.363	0.248	0.255	0.170	0.141	0.092	0.000	0.000	0.000	0.000	0.000	0.000	Dak1 domain	0.412
PF00781	+	0.000	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Diacylglycerol kinase catalytic domain	0.402
PF00393	+	0.000	0.000	0.019	0.000	0.015	0.041	0.044	0.065	0.000	0.000	0.000	0.000	0.000	6-phosphogluconate dehydrogenase, C-terminal domain	0.401
PF02901	+	0.144	0.180	0.155	0.168	0.175	0.140	0.084	0.000	0.000	0.000	0.000	0.000	0.000	Pyruvate formate lyase	0.399
PF14526	+	0.054	0.000	0.084	0.004	0.000	0.019	0.022	0.000	0.000	0.000	0.000	0.000	0.000	Integron-associated effector binding protein	0.393
PF00365	+	0.057	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phosphofructokinase	0.391
PF06224	+	0.000	0.000	0.000	0.008	0.056	0.065	0.116	0.000	0.000	0.000	0.000	0.000	0.000	Winged helix DNA-binding domain	0.389
PF04657	+	0.131	0.156	0.158	0.130	0.126	0.145	0.142	0.003	0.000	0.000	0.000	0.000	0.000	Protein of unknown function, DUF606	0.388
PF02016	+	0.069	0.024	0.000	0.031	0.046	0.074	0.067	0.000	0.000	0.000	0.000	0.000	0.000	LD-carboxypeptidase	0.382
PF01943	+	0.000	0.000	0.065	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Polysaccharide biosynthesis protein	0.379
PF02030	+	0.000	0.066	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Hypothetical lipoprotein (MG045 family)	0.373
PF03390	+	0.055	0.000	0.000	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2-hydroxycarboxylate transporter family	0.370
PF13360	+	0.000	0.052	0.011	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PQQ-like domain	0.358
PF05336	+	0.000	0.000	0.000	0.000	0.007	0.025	0.010	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF718)	0.358
PF06993	+	0.000	0.000	0.000	0.000	0.042	0.059	0.062	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1304)	0.353
PF00334	+	0.000	0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Nucleoside diphosphate kinase	0.349
PF01503	+	0.081	0.110	0.000	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phosphoribosyl-ATP pyrophosphohydrolase	0.347
PF03773	+	0.018	0.039	0.000	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Predicted permease	0.331
PF04860	+	0.115	0.132	0.074	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage portal protein	0.327
PF04993	+	0.000	0.000	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	TfoX N-terminal domain	0.322
PF13521	+	0.089	0.000	0.071	0.067	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	AAA domain	0.311
PF13906	+	0.137	0.095	0.076	0.176	0.178	0.177	0.186	0.000	0.000	0.000	0.000	0.000	0.000	C-terminus of AA_permease	0.310
PF02894	+	0.225	0.241	0.264	0.154	0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Oxidoreductase family, C-terminal alpha/beta domain	0.308
PF00343	+	0.020	0.104	0.060	0.041	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Carbohydrate phosphorylase	0.293
PF03354	+	0.000	0.000	0.000	0.000	0.026	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage Terminase	0.292
PF05135	+	0.000	0.000	0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage gp6-like head-tail connector protein	0.290
PF01699	+	0.000	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Sodium/calcium exchanger protein	0.288
PF02806	+	0.000	0.000	0.000	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Alpha amylase, C-terminal all-beta domain	0.278
