	class	0.7_0	1_0	0.2_0	0.5_0	0.1_0	0.05_0	0.07_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	0.02_0	Pfam_desc	cor
PF07237	+	0.045	0.027	0.000	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1428)	0.626
PF08908	+	0.000	0.036	0.078	0.000	0.140	0.000	0.061	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF1852)	0.602
PF02253	+	0.314	0.275	0.141	0.286	0.184	0.090	0.141	0.000	0.000	0.000	0.000	0.000	0.000	Phospholipase A1	0.600
PF01055	+	0.356	0.385	0.354	0.377	0.140	0.000	0.097	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 31	0.596
PF11659	+	0.050	0.000	0.008	0.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF3261)	0.559
PF03649	+	0.024	0.044	0.000	0.000	0.026	0.043	0.049	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterised protein family (UPF0014)	0.544
PF13286	+	0.000	0.000	0.000	0.030	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phosphohydrolase-associated domain	0.544
PF10994	+	0.144	0.158	0.156	0.149	0.082	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF2817)	0.533
PF03230	+	0.000	0.000	0.000	0.000	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Antirestriction protein	0.519
PF04227	+	0.238	0.240	0.174	0.221	0.149	0.000	0.079	0.000	0.000	0.000	0.000	0.000	0.000	Indigoidine synthase A like protein	0.519
PF12910	+	0.364	0.377	0.329	0.343	0.193	0.000	0.025	0.000	0.000	0.000	0.000	0.000	0.000	Antitoxin of toxin-antitoxin stability system N-terminal	0.519
PF00295	+	0.471	0.386	0.390	0.492	0.169	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolases family 28	0.465
PF06966	+	0.000	0.195	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1295)	0.465
